Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701808416874	t	prison_testcue_storefront_right	0.0	11	0	4.8399	903.5999999999999	997.7600000000001	1.0	4.805	891.504	1060.48	0.8057	-0.2632	-0.1455	0.9537	2.6146	-0.8617	-29.7899	0.0	9	1.0	1.0	0.5	100	MYKEYWORD 100
1701808416882	t	prison_testcue_storefront_right	0.0	11	0	4.869	899.4240000000001	997.9200000000001	1.0	4.7931	889.92	1059.84	0.8057	-0.2545	-0.1439	0.9563	-2.2913	-0.9663	-29.7336	0.0	9	1.0	1.0	0.5	0	0
1701808416890	t	prison_testcue_storefront_right	0.0	11	0	4.7971	897.408	996.48	1.0	4.7422	884.8800000000001	1059.68	1.0	-0.2513	-0.1454	0.9569	-2.9157	-0.9698	-29.7003	0.0	9	1.0	1.0	0.5	0	0
1701808416898	t	prison_testcue_storefront_right	0.0	11	0	4.839	895.968	996.32	1.0	4.716	883.2959999999999	1063.2	1.0	-0.2501	-0.1513	0.9563	3.3839	-0.8407	-29.7643	0.0	9	1.0	1.0	0.5	0	0
1701808416907	t	prison_testcue_storefront_right	0.0	11	0	4.8752	892.5120000000001	995.52	1.0	4.7949	880.7040000000001	1060.0	1.0	-0.2475	-0.1505	0.9571	4.9459	-0.7861	-29.7702	0.0	9	1.0	1.0	0.5	0	0
1701808416915	t	prison_testcue_storefront_right	0.0	11	0	4.8314	889.776	994.88	1.0	4.7554	877.6800000000001	1060.32	1.0	-0.241	-0.1532	0.9583	5.0232	-0.7737	-29.7566	0.0	9	1.0	1.0	0.5	0	0
1701808416923	t	prison_testcue_storefront_right	0.0	11	0	4.8359	886.32	992.8000000000001	1.0	4.7608	875.9519999999999	1058.08	1.0	-0.2359	-0.1485	0.9603	5.0265	-0.7677	-29.742	0.0	9	1.0	1.0	0.5	0	0
1701808416932	t	prison_testcue_storefront_right	0.0	11	0	4.8104	882.8639999999999	993.12	1.0	4.7773	872.0640000000001	1058.3999999999999	1.0	-0.2285	-0.1522	0.9616	4.6223	-0.7695	-29.7261	0.0	9	1.0	1.0	0.5	0	0
1701808416940	t	prison_testcue_storefront_right	0.0	11	0	4.7788	879.696	990.56	1.0	4.7258	870.0479999999999	1057.44	1.0	-0.2209	-0.1517	0.9634	4.0284	-0.7597	-29.7031	0.0	9	1.0	1.0	0.5	0	0
1701808416949	t	prison_testcue_storefront_right	0.0	11	0	4.7287	877.3919999999999	989.6000000000001	1.0	4.7543	868.1759999999999	1054.4	1.0	-0.2136	-0.1487	0.9655	2.4086	-0.7817	-29.6818	0.0	9	1.0	1.0	0.5	0	0
