Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701981069303	t	ballroom_testcue_weddingtent_left	0.0	7	0	3.7337	632.736	961.5999999999999	1.0	3.7254	640.8	1084.0	1.0	0.0977	0.008	0.9952	-31.7453	-1.5977	-32.8753	0.0	19	1.0	1.0	1.0	100	MYKEYWORD 100
1701981069311	t	ballroom_testcue_weddingtent_left	0.0	7	0	3.789	632.592	961.5999999999999	1.0	3.7758	642.24	1083.2	1.0	0.0984	0.0051	0.9951	-31.7746	-1.5261	-33.0097	0.0	19	1.0	1.0	1.0	0	0
1701981069320	t	ballroom_testcue_weddingtent_left	0.0	7	0	3.7793	633.6	959.36	1.0	3.7625	644.544	1082.08	1.0	0.099	0.0095	0.995	-31.8259	-1.4318	-33.3212	0.0	19	1.0	1.0	1.0	0	0
1701981069328	t	ballroom_testcue_weddingtent_left	0.0	7	0	3.7363	638.208	961.12	1.0	3.877	645.696	1082.08	1.0	0.1013	0.006	0.9948	-31.8516	-1.3489	-33.5203	0.0	19	1.0	1.0	1.0	0	0
1701981069336	t	ballroom_testcue_weddingtent_left	0.0	7	0	3.7653	643.104	960.3199999999999	1.0	3.8374	651.168	1081.76	1.0	0.0841	0.0018	0.9964	-31.7677	-1.4107	-33.2339	0.0	19	1.0	1.0	1.0	0	0
1701981069344	t	ballroom_testcue_weddingtent_left	0.0	7	0	3.674	643.824	960.6400000000001	1.0	3.7	654.768	1084.32	1.0	0.0757	-0.0101	0.9971	-30.8497	-1.3205	-33.4271	0.0	19	1.0	1.0	1.0	0	0
1701981069353	t	ballroom_testcue_weddingtent_left	0.0	7	0	3.76	646.416	958.56	1.0	3.7866	657.072	1083.52	1.0	0.0764	-0.0039	0.9971	-29.9112	-1.2338	-33.6581	0.0	19	1.0	1.0	1.0	0	0
1701981069361	t	ballroom_testcue_weddingtent_left	0.0	7	0	3.7366	652.8960000000001	963.3599999999999	1.0	3.7868	660.24	1086.72	1.0	0.0705	-0.0074	0.9975	-31.465	-1.2964	-33.7194	0.0	19	1.0	1.0	1.0	0	0
1701981069369	t	ballroom_testcue_weddingtent_left	0.0	7	0	3.6803	654.192	962.5600000000001	1.0	3.8333	664.7040000000001	1088.16	1.0	0.0584	-0.0081	0.9983	-31.9773	-1.3938	-33.5113	0.0	19	1.0	1.0	1.0	0	0
1701981069378	t	ballroom_testcue_weddingtent_left	0.0	7	0	3.7302	656.784	962.5600000000001	1.0	3.8253	665.856	1088.8	1.0	0.058	-0.0065	0.9983	-32.0493	-1.4632	-33.3467	0.0	19	1.0	1.0	1.0	0	0
