Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701722146778	t	supermarket_testcue_greenhouse_left	0.0	1	0	3.172	868.4639999999999	928.48	1.0	3.3472	928.368	1013.28	1.0	-0.2082	0.0613	0.9762	-34.1738	2.4633	-43.1589	0.0	4	1.0	1.0	1.0	100	MYKEYWORD 100
1701722146786	t	supermarket_testcue_greenhouse_left	0.0	1	0	3.0045	858.5279999999999	929.12	1.0	3.2518	922.7520000000001	1012.8	1.0	-0.1957	0.0603	0.9788	-35.2501	2.4631	-43.1947	0.0	4	1.0	1.0	1.0	0	0
1701722146794	t	supermarket_testcue_greenhouse_left	0.0	1	0	3.0592	854.928	925.76	1.0	3.2901	919.008	1009.6	1.0	-0.1878	0.0694	0.9798	-35.0619	2.473	-43.1893	0.0	4	1.0	1.0	1.0	0	0
1701722146803	t	supermarket_testcue_greenhouse_left	0.0	1	0	3.0856	849.168	924.16	1.0	3.2946	914.832	1006.56	1.0	-0.179	0.0777	0.9808	-34.5781	2.481	-43.1638	0.0	4	1.0	1.0	1.0	0	0
1701722146811	t	supermarket_testcue_greenhouse_left	0.0	1	0	3.0819	850.032	924.8	1.0	3.3085	910.656	1010.3999999999999	1.0	-0.1736	0.061	0.9829	-35.1947	2.4809	-43.1625	0.0	4	1.0	1.0	1.0	0	0
1701722146820	t	supermarket_testcue_greenhouse_left	0.0	1	0	3.1355	846.0	925.92	1.0	3.3528	906.624	1008.8	1.0	-0.1638	0.0658	0.9843	-35.3068	2.4842	-43.1672	0.0	4	1.0	1.0	1.0	0	0
1701722146828	t	supermarket_testcue_greenhouse_left	0.0	1	0	3.1458	843.408	926.24	1.0	3.3046	902.88	1005.5999999999999	1.0	-0.1558	0.0744	0.985	-35.3421	2.4908	-43.1664	0.0	4	1.0	1.0	1.0	0	0
1701722146836	t	supermarket_testcue_greenhouse_left	0.0	1	0	3.1402	838.944	926.8800000000001	1.0	3.4055	899.2800000000001	1011.2	1.0	-0.1534	0.0538	0.9867	-35.4039	2.4851	-43.1361	0.0	4	1.0	1.0	1.0	0	0
1701722146844	t	supermarket_testcue_greenhouse_left	0.0	1	0	3.1152	833.328	927.8399999999999	1.0	3.3864	896.112	1009.2800000000001	1.0	-0.148	0.06	0.9872	-35.3907	2.4861	-43.1338	0.0	4	1.0	1.0	1.0	0	0
1701722146853	t	supermarket_testcue_greenhouse_left	0.0	1	0	3.0952	831.744	928.48	1.0	3.2278	892.5120000000001	1009.76	1.0	-0.1414	0.0578	0.9883	-35.3803	2.4764	-43.1235	0.0	4	1.0	1.0	1.0	0	0
