Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1702056842534	t	attic_testcue_childrensroom_right	0.0	8	0	5.1738	931.1039999999999	610.72	0.1998	5.6924	694.944	804.8	0.212	-0.1901	-0.2582	0.9472	28.4735	8.5161	-35.4849	0.0	24	1.0	1.0	1.0	100	MYKEYWORD 100
1702056842543	t	attic_testcue_childrensroom_right	0.0	8	0	5.3264	931.392	600.16	0.1998	5.4273	679.968	845.92	0.212	-0.1975	-0.2154	0.9563	28.5031	8.4789	-35.4775	0.0	24	1.0	1.0	1.0	0	0
1702056842551	t	attic_testcue_childrensroom_right	0.0	8	0	5.1743	930.672	614.72	0.2061	5.6219	702.72	832.64	0.2244	-0.2066	-0.2667	0.9414	28.5562	8.4946	-35.4824	0.0	24	1.0	1.0	1.0	0	0
1702056842561	t	attic_testcue_childrensroom_right	0.0	8	0	5.4177	923.04	619.0400000000001	0.2061	6.0701	689.616	848.1600000000001	0.2244	-0.1806	-0.2802	0.9428	24.4436	8.3075	-35.8365	0.0	24	1.0	1.0	1.0	0	0
1702056842568	t	attic_testcue_childrensroom_right	0.0	8	0	5.1892	923.04	606.72	0.2139	6.0086	686.592	844.3199999999999	0.2353	-0.1807	-0.2328	0.9556	24.9594	8.3005	-35.7928	0.0	24	1.0	1.0	1.0	0	0
1702056842576	t	attic_testcue_childrensroom_right	0.0	8	0	5.0473	922.0319999999999	615.0400000000001	0.2139	5.7248	685.008	838.88	0.2353	-0.1839	-0.2618	0.9474	25.2181	8.3289	-35.7758	0.0	24	1.0	1.0	1.0	0	0
1702056842584	t	attic_testcue_childrensroom_right	0.0	8	0	5.2523	913.2479999999999	604.8	0.244	5.7824	676.512	860.96	0.2465	-0.1566	-0.2357	0.9591	25.6213	8.3479	-35.7244	0.0	24	1.0	1.0	1.0	0	0
1702056842593	t	attic_testcue_childrensroom_right	0.0	8	0	5.0759	911.664	611.84	0.244	3.9642	648.0	814.56	0.2465	-0.1609	-0.257	0.9529	28.575	8.4858	-35.4739	0.0	24	1.0	1.0	1.0	0	0
1702056842602	t	attic_testcue_childrensroom_right	0.0	8	0	4.958	917.424	610.88	0.2606	5.0148	652.176	856.0	0.2552	-0.1821	-0.2524	0.9503	28.032	8.4584	-35.5228	0.0	24	1.0	1.0	1.0	0	0
1702056842610	t	attic_testcue_childrensroom_right	0.0	8	0	5.0853	908.3520000000001	611.84	0.2606	4.0478	651.888	814.4	0.2552	-0.1519	-0.2588	0.9539	28.7311	8.4985	-35.4565	0.0	24	1.0	1.0	1.0	0	0
1702056842618	t	attic_testcue_childrensroom_right	0.0	8	0	5.1656	909.072	609.2800000000001	0.2822	4.7869	653.184	832.9599999999999	0.2776	-0.1582	-0.2525	0.9546	28.747	8.507	-35.4491	0.0	24	1.0	1.0	1.0	0	0
1702056842627	t	attic_testcue_childrensroom_right	0.0	8	0	5.8126	897.264	615.0400000000001	0.2822	4.3306	631.728	787.04	0.2776	-0.1104	-0.2801	0.9536	28.7348	8.5227	-35.4376	0.0	24	1.0	1.0	1.0	0	0
1702056842635	t	attic_testcue_childrensroom_right	0.0	8	0	5.2227	910.224	603.2	0.2966	5.258	666.288	830.72	0.2899	-0.1593	-0.2412	0.9573	28.7307	8.5494	-35.4372	0.0	24	1.0	1.0	1.0	0	0
1702056842643	t	attic_testcue_childrensroom_right	0.0	8	0	4.8444	913.2479999999999	593.12	0.2966	4.9596	640.224	843.36	0.2899	-0.1721	-0.2125	0.9619	28.7451	8.5868	-35.4331	0.0	24	1.0	1.0	1.0	0	0
1702056842652	t	attic_testcue_childrensroom_right	0.0	8	0	4.8764	909.648	586.08	0.3079	5.3212	657.792	813.5999999999999	0.3061	-0.1572	-0.1956	0.968	28.7435	8.6195	-35.4193	0.0	24	1.0	1.0	1.0	0	0
1702056842660	t	attic_testcue_childrensroom_right	0.0	8	0	5.1568	904.176	591.84	0.3079	4.6474	645.552	819.8399999999999	0.3061	-0.1383	-0.2187	0.9659	28.751	8.6257	-35.4103	0.0	24	1.0	1.0	1.0	0	0
1702056842669	t	attic_testcue_childrensroom_right	0.0	8	0	5.202	902.592	587.84	0.2898	5.1615	654.48	815.04	0.308	-0.1312	-0.2025	0.9705	28.7492	8.6118	-35.4086	0.0	24	1.0	1.0	1.0	0	0
1702056842677	t	attic_testcue_childrensroom_right	0.0	8	0	5.03	909.936	601.76	0.2898	5.5561	681.408	815.3600000000001	0.308	-0.1624	-0.2496	0.9546	28.7542	8.6144	-35.4102	0.0	24	1.0	1.0	1.0	0	0
1702056842685	t	attic_testcue_childrensroom_right	0.0	8	0	5.0067	908.784	607.84	0.3076	5.3446	676.9440000000001	811.2	0.3444	-0.1677	-0.2729	0.9473	28.7986	8.6283	-35.4188	0.0	24	1.0	1.0	1.0	0	0
1702056842693	t	attic_testcue_childrensroom_right	0.0	8	0	5.2877	893.952	588.48	0.3076	4.2307	652.0319999999999	797.2800000000001	0.3444	-0.111	-0.2124	0.9708	28.8162	8.644	-35.3979	0.0	24	1.0	1.0	1.0	0	0
1702056842702	t	attic_testcue_childrensroom_right	0.0	8	0	5.3224	900.0	590.7199999999999	0.3275	5.4919	674.64	818.5600000000001	0.3992	-0.1325	-0.2264	0.965	28.8012	8.6702	-35.3857	0.0	24	1.0	1.0	1.0	0	0
1702056842710	t	attic_testcue_childrensroom_right	0.0	8	0	5.2347	895.5360000000001	576.64	0.3275	5.1983	666.576	824.8	0.3992	-0.12	-0.1846	0.9754	28.8329	8.707	-35.3783	0.0	24	1.0	1.0	1.0	0	0
1702056842718	t	attic_testcue_childrensroom_right	0.0	8	0	5.6499	889.92	583.84	0.3292	5.2871	666.576	823.84	0.4002	-0.0995	-0.215	0.9715	28.8338	8.7204	-35.3766	0.0	24	1.0	1.0	1.0	0	0
1702056842726	t	attic_testcue_childrensroom_right	0.0	8	0	5.6112	888.624	586.56	0.3292	5.4388	643.5360000000001	831.04	0.4002	-0.0927	-0.2287	0.9691	28.8292	8.7425	-35.377	0.0	24	1.0	1.0	1.0	0	0
1702056842735	t	attic_testcue_childrensroom_right	0.0	8	0	5.1687	893.088	565.6	0.341	5.5359	663.552	824.9599999999999	0.3993	-0.1045	-0.1553	0.9823	28.8086	8.7508	-35.376	0.0	24	1.0	1.0	1.0	0	0
1702056842743	t	attic_testcue_childrensroom_right	0.0	8	0	5.2821	892.08	575.04	0.341	4.8581	637.7760000000001	839.3599999999999	0.3993	-0.1029	-0.1921	0.976	28.7989	8.763	-35.3679	0.0	24	1.0	1.0	1.0	0	0
1702056842752	t	attic_testcue_childrensroom_right	0.0	8	0	5.0426	893.6640000000001	578.56	0.3487	5.5322	649.44	830.5600000000001	0.4107	-0.1034	-0.2094	0.9723	25.2774	8.6218	-35.6736	0.0	24	1.0	1.0	1.0	0	0
1702056842760	t	attic_testcue_childrensroom_right	0.0	8	0	5.2605	891.6479999999999	575.36	0.3487	5.0771	661.3919999999999	812.1600000000001	0.4107	-0.1034	-0.2021	0.9739	25.2187	8.6469	-35.6676	0.0	24	1.0	1.0	1.0	0	0
1702056842768	t	attic_testcue_childrensroom_right	0.0	8	0	5.1306	890.928	573.12	0.3458	5.2974	648.432	822.88	0.4148	-0.0972	-0.2066	0.9736	25.2815	8.6953	-35.6601	0.0	24	1.0	1.0	1.0	0	0
1702056842776	t	attic_testcue_childrensroom_right	0.0	8	0	5.1742	898.272	568.96	0.3458	5.5657	666.288	827.9999999999999	0.4148	-0.1186	-0.2051	0.9715	12.7228	8.1254	-36.7833	0.0	24	1.0	1.0	1.0	0	0
1702056842785	t	attic_testcue_childrensroom_right	0.0	8	0	5.0281	889.776	562.5600000000001	0.3479	5.5428	658.224	822.88	0.4099	-0.0863	-0.1821	0.9795	11.6813	8.073	-36.9043	0.0	24	1.0	1.0	1.0	0	0
