Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1702060373081	t	prison_testcue_storefront_right	0.0	31	0	4.2683	763.2	881.9200000000001	0.8297	3.9983	787.5360000000001	908.96	0.7502	-0.0907	-0.1707	0.9811	6.9327	3.8194	-37.3692	0.0	25	1.0	1.0	1.0	100	MYKEYWORD 100
1702060373089	t	prison_testcue_storefront_right	0.0	31	0	4.3386	763.776	883.84	0.9182	3.9314	786.96	908.3199999999999	0.7901	-0.0898	-0.1697	0.9814	5.0526	3.8214	-37.4719	0.0	25	1.0	1.0	1.0	0	0
1702060373097	t	prison_testcue_storefront_right	0.0	31	0	4.2771	764.928	884.0	0.9182	3.9118	782.64	907.5200000000001	0.7901	-0.0848	-0.1666	0.9824	3.1869	3.8308	-37.5774	0.0	25	1.0	1.0	1.0	0	0
1702060373106	t	prison_testcue_storefront_right	0.0	31	0	4.0638	762.6239999999999	884.96	0.9513	4.2214	787.2479999999999	903.36	0.8576	-0.0876	-0.1604	0.9832	3.0699	3.8277	-37.5832	0.0	25	1.0	1.0	1.0	0	0
1702060373114	t	prison_testcue_storefront_right	0.0	31	0	4.2311	764.3520000000001	883.6800000000001	0.9513	4.2059	789.408	901.2800000000001	0.8576	-0.0961	-0.1497	0.984	2.2532	3.8195	-37.6307	0.0	25	1.0	1.0	1.0	0	0
1702060373123	t	prison_testcue_storefront_right	0.0	31	0	4.2585	763.344	886.0799999999999	0.9774	4.2975	786.96	900.6399999999999	0.8823	-0.0901	-0.1508	0.9845	0.9745	3.8272	-37.7094	0.0	25	1.0	1.0	1.0	0	0
1702060373131	t	prison_testcue_storefront_right	0.0	31	0	4.2301	763.056	884.6399999999999	0.9774	4.2327	785.9519999999999	899.6800000000001	0.8823	-0.0882	-0.1457	0.9854	1.2656	3.8208	-37.698	0.0	25	1.0	1.0	1.0	0	0
1702060373139	t	prison_testcue_storefront_right	0.0	31	0	4.1901	762.336	885.6	1.0	4.2009	785.664	902.72	1.0	-0.0874	-0.1493	0.9849	1.5735	3.802	-37.6912	0.0	25	1.0	1.0	1.0	0	0
1702060373148	t	prison_testcue_storefront_right	0.0	31	0	4.2571	764.928	882.4	1.0	4.2466	785.0880000000001	902.0799999999999	1.0	-0.0924	-0.1421	0.9855	1.315	3.8063	-37.7039	0.0	25	1.0	1.0	1.0	0	0
1702060373156	t	prison_testcue_storefront_right	0.0	31	0	4.2386	762.912	884.16	1.0	4.1958	781.1999999999999	904.1600000000001	1.0	-0.0814	-0.1482	0.9856	1.3499	3.7995	-37.6992	0.0	25	1.0	1.0	1.0	0	0
