Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701805035460	t	campsite_testcue_resort_left	0.0	18	0	4.253	788.544	802.5600000000001	1.0	3.8446	823.3919999999999	973.28	1.0	0.1248	0.0283	0.9918	11.0382	3.5613	-37.5451	0.0	8	0.0	1.0	0.5	100	MYKEYWORD 100
1701805035468	t	campsite_testcue_resort_left	0.0	18	0	4.1557	790.1279999999999	802.0799999999999	1.0	3.8403	826.4159999999999	974.56	1.0	0.1146	0.027	0.993	13.1028	3.6458	-37.4994	0.0	8	0.0	1.0	0.5	0	0
1701805035477	t	campsite_testcue_resort_left	0.0	18	0	4.1721	786.96	801.76	1.0	3.7528	824.4	973.44	1.0	0.1257	0.0352	0.9914	24.3941	3.8774	-36.5516	0.0	8	0.0	1.0	0.5	0	0
1701805035486	t	campsite_testcue_resort_left	0.0	18	0	4.2175	787.5360000000001	802.0799999999999	1.0	3.9507	822.2399999999999	974.24	1.0	0.1224	0.0354	0.9918	28.6898	3.9785	-36.2297	0.0	8	0.0	1.0	0.5	0	0
1701805035494	t	campsite_testcue_resort_left	0.0	18	0	4.2626	786.96	801.76	1.0	3.8635	823.536	973.28	1.0	0.1237	0.0363	0.9917	29.1031	4.0098	-36.262	0.0	8	0.0	1.0	0.5	0	0
1701805035502	t	campsite_testcue_resort_left	0.0	18	0	4.2644	786.96	800.96	1.0	3.7424	822.528	973.28	1.0	0.1229	0.0381	0.9917	29.0866	4.0189	-36.2845	0.0	8	0.0	1.0	0.5	0	0
1701805035511	t	campsite_testcue_resort_left	0.0	18	0	4.2601	786.96	801.76	1.0	3.7974	821.952	973.1199999999999	1.0	0.1221	0.0344	0.9919	28.752	4.0223	-36.336	0.0	8	0.0	1.0	0.5	0	0
1701805035519	t	campsite_testcue_resort_left	0.0	18	0	4.2608	786.96	801.6	1.0	3.8523	821.52	972.9599999999999	1.0	0.1217	0.0328	0.992	27.4614	4.0075	-36.4663	0.0	8	0.0	1.0	0.5	0	0
1701805035527	t	campsite_testcue_resort_left	0.0	18	0	4.2619	787.1039999999999	801.6	1.0	3.8145	819.936	973.1199999999999	1.0	0.1218	0.0291	0.9921	23.9104	3.9499	-36.7819	0.0	8	0.0	1.0	0.5	0	0
1701805035536	t	campsite_testcue_resort_left	0.0	18	0	4.2651	786.96	800.96	1.0	3.8524	819.936	973.1199999999999	1.0	0.1236	0.0245	0.992	13.0965	3.7565	-37.7736	0.0	8	0.0	1.0	0.5	0	0
1701805035546	t	campsite_testcue_resort_left	0.0	18	0	4.2659	786.96	801.6	1.0	3.8595	820.08	972.9599999999999	1.0	0.126	0.0142	0.9919	-1.045	3.5041	-39.0646	0.0	8	0.0	1.0	0.5	0	0
1701805035552	t	campsite_testcue_resort_left	0.0	18	0	4.2648	786.96	800.96	1.0	3.8663	820.08	973.1199999999999	1.0	0.1268	0.0115	0.9919	-6.4505	3.4088	-39.5574	0.0	8	0.0	1.0	0.5	0	0
1701805035560	t	campsite_testcue_resort_left	0.0	18	0	4.2661	786.96	801.6	1.0	3.8831	820.224	973.1199999999999	1.0	0.1263	0.0108	0.9919	-5.5454	3.4257	-39.4762	0.0	8	0.0	1.0	0.5	0	0
1701805035568	t	campsite_testcue_resort_left	0.0	18	0	4.2664	786.528	801.6	1.0	3.9002	820.3679999999999	973.28	1.0	0.1265	0.0117	0.9919	-3.7794	3.4589	-39.3185	0.0	8	0.0	1.0	0.5	0	0
1701805035577	t	campsite_testcue_resort_left	0.0	18	0	4.2668	786.0960000000001	801.6	1.0	3.8897	820.224	973.1199999999999	1.0	0.1274	0.0123	0.9918	-3.0564	3.471	-39.2495	0.0	8	0.0	1.0	0.5	0	0
1701805035585	t	campsite_testcue_resort_left	0.0	18	0	4.3637	784.8000000000001	801.92	1.0	3.9115	819.648	973.1199999999999	1.0	0.1305	0.0094	0.9914	-0.21	3.5236	-38.9224	0.0	8	0.0	1.0	0.5	0	0
1701805035593	t	campsite_testcue_resort_left	0.0	18	0	4.4086	783.936	802.3999999999999	1.0	3.6982	824.976	975.84	1.0	0.1269	0.0097	0.9919	13.834	3.7955	-37.6408	0.0	8	0.0	1.0	0.5	0	0
1701805035602	t	campsite_testcue_resort_left	0.0	18	0	4.3182	785.808	798.88	1.0	3.9176	820.3679999999999	967.84	1.0	0.1269	0.0248	0.9916	22.7759	3.9833	-36.822	0.0	8	0.0	1.0	0.5	0	0
1701805035610	t	campsite_testcue_resort_left	0.0	18	0	4.2876	787.6800000000001	797.2800000000001	1.0	3.8649	822.96	968.16	1.0	0.1209	0.0287	0.9922	26.3001	4.031	-36.3855	0.0	8	0.0	1.0	0.5	0	0
1701805035618	t	campsite_testcue_resort_left	0.0	18	0	4.2506	788.112	796.0	1.0	4.0572	821.952	966.56	1.0	0.1208	0.0286	0.9922	27.1214	4.0679	-36.3032	0.0	8	0.0	1.0	0.5	0	0
1701805035627	t	campsite_testcue_resort_left	0.0	18	0	4.2661	789.552	796.48	1.0	4.0508	819.2159999999999	966.08	1.0	0.1171	0.0224	0.9929	25.9642	4.0542	-36.3658	0.0	8	0.0	1.0	0.5	0	0
1701805035635	t	campsite_testcue_resort_left	0.0	18	0	4.3465	790.2719999999999	792.3199999999999	1.0	3.972	823.104	966.4	1.0	0.1169	0.0281	0.9927	16.8765	3.8599	-37.0433	0.0	8	0.0	1.0	0.5	0	0
1701805035643	t	campsite_testcue_resort_left	0.0	18	0	4.428	787.3919999999999	795.2	1.0	3.9611	821.0880000000001	968.16	1.0	0.1323	0.0059	0.9912	0.3482	3.5719	-38.566	0.0	8	0.0	1.0	0.5	0	0
1701805035652	t	campsite_testcue_resort_left	0.0	18	0	4.2621	793.8720000000001	795.36	1.0	3.9491	823.104	970.0799999999999	1.0	0.1277	-0.0139	0.9917	-23.4302	3.1097	-40.6668	0.0	8	0.0	1.0	0.5	0	0
1701805035660	t	campsite_testcue_resort_left	0.0	18	0	4.3108	789.552	795.04	1.0	4.1109	821.952	970.72	1.0	0.1392	-0.0179	0.9901	-31.2953	2.9456	-41.3623	0.0	8	0.0	1.0	0.5	0	0
1701805035668	t	campsite_testcue_resort_left	0.0	18	0	4.2153	792.432	793.76	1.0	3.9333	822.672	972.64	1.0	0.1372	-0.0265	0.9902	-32.2054	2.9247	-41.4241	0.0	8	0.0	1.0	0.5	0	0
1701805035677	t	campsite_testcue_resort_left	0.0	18	0	4.3225	787.9680000000001	796.64	1.0	3.9733	820.9440000000001	974.24	1.0	0.1463	-0.0349	0.9886	-32.2535	2.9405	-41.4341	0.0	8	0.0	1.0	0.5	0	0
