Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701804794089	t	highway_testcue_river_right	0.0	4	0	4.6177	878.112	858.4	1.0	4.5161	922.8960000000001	1031.52	1.0	-0.0251	-0.0565	0.9981	6.1532	2.5223	-36.4689	0.0	8	1.0	1.0	0.5	100	MYKEYWORD 100
1701804794097	t	highway_testcue_river_right	0.0	4	0	4.6262	877.9680000000001	858.24	1.0	4.5272	922.7520000000001	1031.52	1.0	-0.025	-0.0562	0.9981	3.7876	2.4465	-36.588	0.0	8	1.0	1.0	0.5	0	0
1701804794106	t	highway_testcue_river_right	0.0	4	0	4.6263	877.9680000000001	858.08	1.0	4.5483	923.04	1031.52	1.0	-0.0255	-0.0563	0.9981	2.2569	2.3989	-36.6676	0.0	8	1.0	1.0	0.5	0	0
1701804794114	t	highway_testcue_river_right	0.0	4	0	4.6291	877.9680000000001	857.9200000000001	1.0	4.5277	923.184	1031.36	1.0	-0.0258	-0.056	0.9981	1.4351	2.3734	-36.7091	0.0	8	1.0	1.0	0.5	0	0
1701804794122	t	highway_testcue_river_right	0.0	4	0	4.6298	877.2479999999999	857.9200000000001	1.0	4.5273	923.184	1031.36	1.0	-0.0241	-0.0561	0.9981	0.5759	2.3463	-36.7514	0.0	8	1.0	1.0	0.5	0	0
1701804794130	t	highway_testcue_river_right	0.0	4	0	4.6303	877.1039999999999	857.9200000000001	1.0	4.5274	923.04	1031.36	1.0	-0.024	-0.0561	0.9981	-0.002	2.3277	-36.7814	0.0	8	1.0	1.0	0.5	0	0
1701804794139	t	highway_testcue_river_right	0.0	4	0	4.6255	875.664	856.32	1.0	4.5487	922.6080000000001	1031.36	1.0	-0.0208	-0.0529	0.9984	-0.551	2.305	-36.7947	0.0	8	1.0	1.0	0.5	0	0
1701804794147	t	highway_testcue_river_right	0.0	4	0	4.6564	876.0960000000001	857.2800000000001	1.0	4.5497	922.6080000000001	1031.36	1.0	-0.0231	-0.0544	0.9982	-2.4659	2.2364	-36.8736	0.0	8	1.0	1.0	0.5	0	0
1701804794156	t	highway_testcue_river_right	0.0	4	0	4.6402	876.0960000000001	856.48	1.0	4.5547	922.4639999999999	1031.2	1.0	-0.0234	-0.0529	0.9983	-4.8735	2.1606	-37.0046	0.0	8	1.0	1.0	0.5	0	0
1701804794164	t	highway_testcue_river_right	0.0	4	0	4.6571	875.9519999999999	856.0	1.0	4.5577	922.3199999999999	1031.36	1.0	-0.0233	-0.0524	0.9984	-4.9662	2.1579	-37.0158	0.0	8	1.0	1.0	0.5	0	0
1701804794172	t	highway_testcue_river_right	0.0	4	0	4.6707	875.52	855.84	1.0	4.5714	922.0319999999999	1031.36	1.0	-0.0222	-0.0518	0.9984	-4.3803	2.1754	-36.9842	0.0	8	1.0	1.0	0.5	0	0
