Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701884356536	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.5433	565.2	538.0799999999999	1.0	4.3792	536.832	603.04	1.0	-0.0477	-0.0255	0.9985	30.7805	7.9925	-34.1882	0.0	12	1.0	1.0	1.0	100	MYKEYWORD 100
1701884356544	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.4785	561.6	535.68	1.0	4.2502	536.4	604.96	1.0	-0.0342	-0.0198	0.9992	35.2215	8.0863	-34.2883	0.0	12	1.0	1.0	1.0	0	0
1701884356552	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.4025	562.32	536.0	1.0	4.2186	536.832	606.56	1.0	-0.0368	-0.022	0.9991	35.3095	8.121	-34.4077	0.0	12	1.0	1.0	1.0	0	0
1701884356561	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.3524	563.904	537.28	1.0	4.1791	536.976	604.8	1.0	-0.0435	-0.0282	0.9986	35.3131	8.1417	-34.4604	0.0	12	1.0	1.0	1.0	0	0
1701884356569	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.318	562.176	535.68	1.0	3.9677	539.424	603.52	1.0	-0.0465	-0.0162	0.9988	35.3714	7.9664	-33.8366	0.0	12	1.0	1.0	1.0	0	0
1701884356577	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.2982	562.752	536.64	1.0	4.0773	539.424	603.2	1.0	-0.049	-0.0193	0.9986	35.3595	7.9368	-33.7124	0.0	12	1.0	1.0	1.0	0	0
1701884356586	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.3559	563.328	535.36	1.0	3.9202	534.24	605.44	1.0	-0.0527	-0.0167	0.9985	34.7201	7.913	-33.6115	0.0	12	1.0	1.0	1.0	0	0
1701884356594	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.2528	562.32	535.52	1.0	3.9454	537.408	605.92	1.0	-0.0496	-0.0194	0.9986	18.7825	7.6674	-33.5362	0.0	12	1.0	1.0	1.0	0	0
1701884356602	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.192	563.616	536.48	1.0	4.0072	539.28	603.84	1.0	-0.0595	-0.0143	0.9981	-16.6833	7.0243	-33.0294	0.0	12	1.0	1.0	1.0	0	0
1701884356611	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.1559	563.04	532.16	1.0	3.8691	536.256	604.3199999999999	1.0	-0.0438	-0.0139	0.9989	-26.8007	6.9228	-33.2541	0.0	12	1.0	1.0	1.0	0	0
1701884356619	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.1352	564.48	530.72	1.0	3.8201	537.264	600.0	1.0	-0.0561	0.0091	0.9984	-26.2027	6.7259	-32.5324	0.0	12	1.0	1.0	1.0	0	0
1701884356627	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.0175	564.192	533.4399999999999	1.0	3.9034	538.416	599.6800000000001	1.0	-0.0554	0.0075	0.9984	-26.9739	6.8333	-32.961	0.0	12	1.0	1.0	1.0	0	0
1701884356636	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.0621	564.48	534.88	1.0	3.888	539.568	600.0	1.0	-0.055	0.0027	0.9985	-27.1224	6.9564	-33.4136	0.0	12	1.0	1.0	1.0	0	0
1701884356643	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.0223	564.624	533.4399999999999	1.0	3.8381	540.144	600.0	1.0	-0.056	0.0029	0.9984	-27.1766	6.9675	-33.4719	0.0	12	1.0	1.0	1.0	0	0
1701884356652	t	supermarket_testcue_greenhouse_left	0.0	16	0	4.002	565.056	533.28	1.0	3.7889	539.568	600.16	1.0	-0.0535	0.0029	0.9986	-26.6971	6.9705	-33.4662	0.0	12	1.0	1.0	1.0	0	0
1701884356660	t	supermarket_testcue_greenhouse_left	0.0	16	0	3.9799	565.4879999999999	533.4399999999999	1.0	3.7718	539.856	601.2800000000001	1.0	-0.0543	-0.0038	0.9985	-18.337	7.1254	-33.5694	0.0	12	1.0	1.0	1.0	0	0
1701884356668	t	supermarket_testcue_greenhouse_left	0.0	16	0	3.9456	565.2	533.4399999999999	1.0	3.7548	540.144	602.24	1.0	-0.0511	-0.0163	0.9986	27.072	7.9951	-34.3126	0.0	12	1.0	1.0	1.0	0	0
1701884356677	t	supermarket_testcue_greenhouse_left	0.0	16	0	3.7693	566.784	535.8399999999999	1.0	3.7401	540.432	603.52	1.0	-0.0537	-0.0255	0.9982	35.0088	8.1651	-34.5317	0.0	12	1.0	1.0	1.0	0	0
1701884356685	t	supermarket_testcue_greenhouse_left	0.0	16	0	3.7964	568.08	536.64	1.0	3.7269	540.72	604.8	1.0	-0.0593	-0.0274	0.9978	31.8803	8.0797	-34.3738	0.0	12	1.0	1.0	1.0	0	0
1701884356693	t	supermarket_testcue_greenhouse_left	0.0	16	0	3.6983	565.7760000000001	536.8000000000001	1.0	3.719	541.0079999999999	604.96	1.0	-0.05	-0.0287	0.9983	32.7273	8.0647	-34.2473	0.0	12	1.0	1.0	1.0	0	0
1701884356702	t	supermarket_testcue_greenhouse_left	0.0	16	0	3.7242	568.08	534.0799999999999	1.0	3.7111	541.296	604.8	1.0	-0.061	-0.0137	0.998	-21.8628	7.034	-33.4334	0.0	12	1.0	1.0	1.0	0	0
1701884356710	t	supermarket_testcue_greenhouse_left	0.0	16	0	3.6918	567.648	538.0799999999999	1.0	3.688	541.0079999999999	604.96	1.0	-0.0602	-0.0141	0.9981	-26.8818	6.9466	-33.3859	0.0	12	1.0	1.0	1.0	0	0
1701884356718	t	supermarket_testcue_greenhouse_left	0.0	16	0	3.6817	567.504	537.12	1.0	3.6661	541.296	605.12	1.0	-0.0623	-0.0143	0.998	-27.1429	6.9388	-33.3715	0.0	12	1.0	1.0	1.0	0	0
1701884356728	t	supermarket_testcue_greenhouse_left	0.0	16	0	3.6716	567.36	536.32	1.0	3.64	541.44	605.76	1.0	-0.0656	-0.0116	0.9978	-27.1494	6.8537	-33.1205	0.0	12	1.0	1.0	1.0	0	0
