Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701883183276	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.6864	664.128	722.88	1.0	3.4551	616.7520000000001	782.88	1.0	-0.2292	-0.1288	0.9648	2.9303	5.4315	-35.8369	0.0	12	0.0	1.0	0.5	100	MYKEYWORD 100
1701883183284	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.4968	658.656	726.4	1.0	3.6398	616.6080000000001	795.2	1.0	-0.2214	-0.1571	0.9624	1.1892	5.3968	-35.8046	0.0	12	0.0	1.0	0.5	0	0
1701883183292	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.5838	660.8159999999999	723.36	1.0	3.5172	615.7439999999999	794.24	1.0	-0.2276	-0.1498	0.9622	-0.8758	5.3575	-35.7802	0.0	12	0.0	1.0	0.5	0	0
1701883183301	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.482	652.176	725.44	1.0	3.6533	614.16	797.6	1.0	-0.2165	-0.1594	0.9632	-1.4728	5.3209	-35.6976	0.0	12	0.0	1.0	0.5	0	0
1701883183309	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.5218	656.064	726.0799999999999	1.0	3.3766	605.52	795.04	1.0	-0.2071	-0.1571	0.9656	-1.2822	5.3281	-35.7001	0.0	12	0.0	1.0	0.5	0	0
1701883183318	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.6057	653.76	722.72	1.0	3.4868	602.496	799.52	1.0	-0.1998	-0.1628	0.9662	-0.1809	5.3595	-35.7277	0.0	12	0.0	1.0	0.5	0	0
1701883183326	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.6797	653.904	722.88	1.0	3.2585	597.888	795.52	1.0	-0.1969	-0.1558	0.968	6.5191	5.4909	-35.8276	0.0	12	0.0	1.0	0.5	0	0
1701883183334	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.6464	651.456	723.0400000000001	1.0	3.5472	605.808	797.76	1.0	-0.2083	-0.1588	0.9651	6.4849	5.4976	-35.8494	0.0	12	0.0	1.0	0.5	0	0
1701883183342	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.7089	650.0160000000001	725.12	1.0	3.5405	603.072	795.84	1.0	-0.2032	-0.1595	0.966	-1.3357	5.3287	-35.6629	0.0	12	0.0	1.0	0.5	0	0
1701883183350	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.6501	650.0160000000001	722.24	1.0	3.525	600.192	797.12	1.0	-0.1985	-0.1596	0.967	-2.2419	5.3202	-35.6648	0.0	12	0.0	1.0	0.5	0	0
1701883183359	t	garden_testcue_entertainmentroom_right	0.0	4	0	3.7019	647.1360000000001	719.2	1.0	3.7183	602.496	800.16	1.0	-0.2024	-0.163	0.9656	-4.1402	5.2813	-35.6105	0.0	12	0.0	1.0	0.5	0	0
