Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1702055955964	t	safari_testcue_windmill_left	0.0	18	0	4.2415	841.1039999999999	440.00000000000006	1.0	4.2028	590.256	696.16	1.0	0.1319	-0.1967	0.9715	6.9499	9.1985	-34.0341	0.0	24	0.0	1.0	0.5	100	MYKEYWORD 100
1702055955973	t	safari_testcue_windmill_left	0.0	18	0	4.2615	840.9599999999999	439.68	1.0	4.2135	590.256	696.16	1.0	0.1321	-0.1967	0.9715	6.9587	9.2011	-34.0329	0.0	24	0.0	1.0	0.5	0	0
1702055955981	t	safari_testcue_windmill_left	0.0	18	0	4.2412	840.9599999999999	439.52	0.9716	4.2151	590.256	696.16	0.9927	0.1321	-0.1965	0.9715	7.0282	9.2064	-34.0262	0.0	24	0.0	1.0	0.5	0	0
1702055955989	t	safari_testcue_windmill_left	0.0	18	0	4.2615	840.9599999999999	439.68	0.9716	4.2136	590.4	696.0	0.9927	0.1319	-0.1975	0.9714	7.0769	9.2115	-34.0217	0.0	24	0.0	1.0	0.5	0	0
1702055955998	t	safari_testcue_windmill_left	0.0	18	0	4.2674	840.8159999999999	439.84	1.0	4.2094	590.832	696.0	1.0	0.1317	-0.1981	0.9713	7.1452	9.217	-34.0151	0.0	24	0.0	1.0	0.5	0	0
1702055956006	t	safari_testcue_windmill_left	0.0	18	0	4.2618	840.672	439.68	1.0	4.2136	590.832	695.6800000000001	1.0	0.132	-0.1973	0.9714	7.1958	9.22	-34.0107	0.0	24	0.0	1.0	0.5	0	0
1702055956015	t	safari_testcue_windmill_left	0.0	18	0	4.2411	840.672	439.52	1.0	4.2137	590.832	695.36	1.0	0.1322	-0.1966	0.9715	6.6642	9.1933	-34.0573	0.0	24	0.0	1.0	0.5	0	0
1702055956023	t	safari_testcue_windmill_left	0.0	18	0	4.2618	840.528	439.68	1.0	4.2137	590.832	694.88	1.0	0.1321	-0.1965	0.9716	6.5773	9.1891	-34.0651	0.0	24	0.0	1.0	0.5	0	0
1702055956031	t	safari_testcue_windmill_left	0.0	18	0	4.2414	840.384	439.52	0.9801	4.2157	590.976	694.88	0.9971	0.1324	-0.196	0.9716	6.53	9.1871	-34.0694	0.0	24	0.0	1.0	0.5	0	0
1702055956039	t	safari_testcue_windmill_left	0.0	18	0	4.2471	840.528	439.20000000000005	0.9801	4.2154	591.12	694.56	0.9971	0.1313	-0.1953	0.9719	6.3773	9.1795	-34.0828	0.0	24	0.0	1.0	0.5	0	0
1702055956048	t	safari_testcue_windmill_left	0.0	18	0	4.2334	840.672	439.03999999999996	1.0	4.2155	591.12	694.56	1.0	0.1311	-0.1949	0.972	6.3596	9.1788	-34.0843	0.0	24	0.0	1.0	0.5	0	0
1702055956056	t	safari_testcue_windmill_left	0.0	18	0	4.2199	840.528	438.88	1.0	4.2149	591.12	694.56	1.0	0.131	-0.1946	0.9721	6.2641	9.1741	-34.0928	0.0	24	0.0	1.0	0.5	0	0
1702055956064	t	safari_testcue_windmill_left	0.0	18	0	4.2147	840.096	438.88	1.0	4.2146	591.408	694.56	1.0	0.1315	-0.1948	0.972	6.1206	9.1675	-34.1055	0.0	24	0.0	1.0	0.5	0	0
1702055956073	t	safari_testcue_windmill_left	0.0	18	0	4.2113	840.096	438.88	1.0	4.2098	591.408	694.56	1.0	0.131	-0.1946	0.9721	6.1479	9.1688	-34.1033	0.0	24	0.0	1.0	0.5	0	0
1702055956081	t	safari_testcue_windmill_left	0.0	18	0	4.1921	840.096	438.88	1.0	4.209	591.408	694.4	1.0	0.131	-0.1946	0.9721	6.1618	9.1701	-34.1015	0.0	24	0.0	1.0	0.5	0	0
1702055956089	t	safari_testcue_windmill_left	0.0	18	0	4.1814	840.096	438.88	1.0	4.2091	591.408	694.24	1.0	0.1312	-0.1946	0.9721	6.2585	9.1763	-34.0929	0.0	24	0.0	1.0	0.5	0	0
1702055956098	t	safari_testcue_windmill_left	0.0	18	0	4.1814	840.096	438.88	0.9805	4.2065	591.408	694.24	0.9991	0.1313	-0.1952	0.9719	6.3755	9.185	-34.0816	0.0	24	0.0	1.0	0.5	0	0
1702055956106	t	safari_testcue_windmill_left	0.0	18	0	4.1784	839.8080000000001	438.88	0.9805	4.2061	591.408	694.24	0.9991	0.1322	-0.1955	0.9717	6.3827	9.1873	-34.0807	0.0	24	0.0	1.0	0.5	0	0
1702055956116	t	safari_testcue_windmill_left	0.0	18	0	4.1632	839.8080000000001	438.88	1.0	4.1899	591.8399999999999	694.24	1.0	0.1317	-0.1955	0.9718	6.4114	9.1887	-34.0779	0.0	24	0.0	1.0	0.5	0	0
1702055956123	t	safari_testcue_windmill_left	0.0	18	0	4.1629	839.8080000000001	438.88	1.0	4.1905	591.408	693.92	1.0	0.1326	-0.1951	0.9718	6.4634	9.1914	-34.0741	0.0	24	0.0	1.0	0.5	0	0
1702055956131	t	safari_testcue_windmill_left	0.0	18	0	4.1632	839.8080000000001	439.03999999999996	0.9763	4.1888	591.8399999999999	693.92	0.9989	0.132	-0.1954	0.9718	6.582	9.1979	-34.0633	0.0	24	0.0	1.0	0.5	0	0
