Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701909575862	t	prison_testcue_storefront_right	0.0	22	0	4.045	793.44	501.11999999999995	1.0	3.4964	864.0	792.3199999999999	1.0	0.1574	-0.0278	0.9871	24.7318	7.972	-32.1713	0.0	15	0.0	1.0	0.5	100	MYKEYWORD 100
1701909575870	t	prison_testcue_storefront_right	0.0	22	0	3.9981	794.016	507.52	1.0	3.4225	864.0	796.64	1.0	0.1504	-0.0308	0.9881	20.3095	7.688	-32.755	0.0	15	0.0	1.0	0.5	0	0
1701909575878	t	prison_testcue_storefront_right	0.0	22	0	3.7069	791.136	513.44	1.0	3.4129	863.424	803.9999999999999	1.0	0.1558	-0.0368	0.9871	14.6379	7.3605	-33.4439	0.0	15	0.0	1.0	0.5	0	0
1701909575887	t	prison_testcue_storefront_right	0.0	22	0	3.7954	792.0000000000001	525.44	1.0	3.3435	862.848	810.0799999999999	1.0	0.1496	-0.055	0.9872	12.7083	7.179	-33.6649	0.0	15	0.0	1.0	0.5	0	0
1701909575895	t	prison_testcue_storefront_right	0.0	22	0	3.7912	789.84	534.88	1.0	3.1921	863.424	816.3199999999999	1.0	0.153	-0.058	0.9865	13.7797	7.1011	-33.5725	0.0	15	0.0	1.0	0.5	0	0
1701909575903	t	prison_testcue_storefront_right	0.0	22	0	3.8133	789.9839999999999	539.36	1.0	3.177	863.712	822.24	1.0	0.1531	-0.0461	0.9871	18.2307	7.1569	-33.0669	0.0	15	0.0	1.0	0.5	0	0
1701909575912	t	prison_testcue_storefront_right	0.0	22	0	3.6974	790.2719999999999	553.5999999999999	1.0	3.1079	861.696	832.0	1.0	0.1514	-0.0644	0.9864	20.8775	7.1242	-32.7318	0.0	15	0.0	1.0	0.5	0	0
1701909575920	t	prison_testcue_storefront_right	0.0	22	0	3.6466	784.9440000000001	562.24	1.0	3.2205	858.816	842.56	1.0	0.1681	-0.0659	0.9836	19.6229	6.9336	-32.9044	0.0	15	0.0	1.0	0.5	0	0
1701909575928	t	prison_testcue_storefront_right	0.0	22	0	3.5967	785.9519999999999	571.04	1.0	3.245	859.968	850.56	1.0	0.1631	-0.0686	0.9842	20.6542	6.8434	-32.7993	0.0	15	0.0	1.0	0.5	0	0
1701909575936	t	prison_testcue_storefront_right	0.0	22	0	3.5987	787.1039999999999	578.56	1.0	3.2011	859.536	855.6800000000001	1.0	0.1555	-0.0693	0.9854	15.8115	6.5236	-33.4164	0.0	15	0.0	1.0	0.5	0	0
1701909575945	t	prison_testcue_storefront_right	0.0	22	0	3.6287	786.96	586.88	1.0	3.1029	860.544	860.0	1.0	0.1516	-0.0726	0.9858	13.2756	6.3136	-33.7643	0.0	15	0.0	1.0	0.5	0	0
1701909575953	t	prison_testcue_storefront_right	0.0	22	0	3.5174	784.2239999999999	596.8	1.0	2.8884	860.544	869.12	1.0	0.1481	-0.0849	0.9853	0.3957	5.7094	-35.3909	0.0	15	0.0	1.0	0.5	0	0
1701909575961	t	prison_testcue_storefront_right	0.0	22	0	3.4356	783.504	605.44	1.0	3.0002	862.4159999999999	877.92	1.0	0.1483	-0.0888	0.9849	1.07	5.6133	-35.3261	0.0	15	0.0	1.0	0.5	0	0
1701909575969	t	prison_testcue_storefront_right	0.0	22	0	3.4369	785.808	615.0400000000001	1.0	3.0828	859.824	887.04	1.0	0.1458	-0.0984	0.9844	0.7551	5.4961	-35.387	0.0	15	0.0	1.0	0.5	0	0
1701909575978	t	prison_testcue_storefront_right	0.0	22	0	3.4977	784.2239999999999	623.0400000000001	1.0	3.0662	858.96	891.5200000000001	1.0	0.1496	-0.1014	0.9835	-0.0379	5.3771	-35.5135	0.0	15	0.0	1.0	0.5	0	0
1701909575986	t	prison_testcue_storefront_right	0.0	22	0	3.5027	783.648	630.88	1.0	3.0122	859.536	896.96	1.0	0.1512	-0.1045	0.983	0.4192	5.2969	-35.474	0.0	15	0.0	1.0	0.5	0	0
1701909575994	t	prison_testcue_storefront_right	0.0	22	0	3.4655	783.936	636.96	1.0	2.9926	860.1120000000001	903.9999999999999	1.0	0.1505	-0.1131	0.9821	0.7189	5.2475	-35.4478	0.0	15	0.0	1.0	0.5	0	0
1701909576003	t	prison_testcue_storefront_right	0.0	22	0	3.4391	787.5360000000001	643.52	1.0	2.8449	860.688	906.56	1.0	0.1423	-0.1163	0.983	0.5982	5.1727	-35.4699	0.0	15	0.0	1.0	0.5	0	0
1701909576011	t	prison_testcue_storefront_right	0.0	22	0	3.3524	785.9519999999999	649.12	1.0	2.9146	861.984	913.5999999999999	1.0	0.146	-0.1259	0.9812	0.9913	5.1379	-35.4308	0.0	15	0.0	1.0	0.5	0	0
1701909576020	t	prison_testcue_storefront_right	0.0	22	0	3.2711	785.808	652.96	1.0	3.0212	863.712	916.64	1.0	0.1454	-0.1304	0.9807	1.6316	5.1282	-35.3583	0.0	15	0.0	1.0	0.5	0	0
1701909576028	t	prison_testcue_storefront_right	0.0	22	0	3.2411	787.1039999999999	653.92	1.0	2.985	864.0	920.32	1.0	0.1448	-0.1301	0.9809	2.6473	5.1288	-35.2369	0.0	15	0.0	1.0	0.5	0	0
1701909576036	t	prison_testcue_storefront_right	0.0	22	0	3.2828	788.112	656.96	1.0	3.033	862.848	920.64	1.0	0.1448	-0.1304	0.9808	3.1937	5.1147	-35.1739	0.0	15	0.0	1.0	0.5	0	0
1701909576045	t	prison_testcue_storefront_right	0.0	22	0	3.2395	786.816	659.36	1.0	3.0989	862.848	926.56	1.0	0.1499	-0.1358	0.9793	4.65	5.1388	-35.0024	0.0	15	0.0	1.0	0.5	0	0
1701909576053	t	prison_testcue_storefront_right	0.0	22	0	3.1416	788.8319999999999	664.0	1.0	3.0224	862.9920000000001	926.72	1.0	0.1453	-0.1404	0.9794	4.9797	5.121	-34.9642	0.0	15	0.0	1.0	0.5	0	0
1701909576061	t	prison_testcue_storefront_right	0.0	22	0	3.3237	788.688	667.52	1.0	3.034	862.272	929.4399999999999	1.0	0.1476	-0.1459	0.9782	5.4755	5.1129	-34.9076	0.0	15	0.0	1.0	0.5	0	0
1701909576070	t	prison_testcue_storefront_right	0.0	22	0	3.2094	789.9839999999999	666.88	1.0	3.037	864.144	930.88	1.0	0.142	-0.1406	0.9798	5.8593	5.0967	-34.8626	0.0	15	0.0	1.0	0.5	0	0
1701909576078	t	prison_testcue_storefront_right	0.0	22	0	3.2736	789.696	669.9200000000001	1.0	2.9137	864.2879999999999	932.64	1.0	0.1427	-0.1454	0.979	5.7101	5.0729	-34.885	0.0	15	0.0	1.0	0.5	0	0
1701909576086	t	prison_testcue_storefront_right	0.0	22	0	3.096	790.7040000000001	670.72	1.0	2.8597	866.592	935.8399999999999	1.0	0.1391	-0.1474	0.9792	5.7111	5.057	-34.886	0.0	15	0.0	1.0	0.5	0	0
1701909576095	t	prison_testcue_storefront_right	0.0	22	0	3.0328	790.8480000000001	674.56	1.0	2.894	866.88	934.72	1.0	0.1395	-0.1524	0.9784	5.5847	5.043	-34.9027	0.0	15	0.0	1.0	0.5	0	0
1701909576103	t	prison_testcue_storefront_right	0.0	22	0	3.2123	791.568	676.9599999999999	1.0	2.9626	864.864	935.52	1.0	0.1408	-0.1566	0.9776	5.3606	5.0265	-34.9328	0.0	15	0.0	1.0	0.5	0	0
1701909576111	t	prison_testcue_storefront_right	0.0	22	0	3.111	791.712	677.12	1.0	2.8029	867.6	938.5600000000001	1.0	0.1383	-0.1578	0.9777	5.5862	5.0212	-34.9084	0.0	15	0.0	1.0	0.5	0	0
1701909576119	t	prison_testcue_storefront_right	0.0	22	0	3.13	792.0000000000001	678.24	1.0	2.931	865.584	939.84	1.0	0.1407	-0.1582	0.9773	5.5871	5.0063	-34.9127	0.0	15	0.0	1.0	0.5	0	0
1701909576128	t	prison_testcue_storefront_right	0.0	22	0	3.1164	790.992	680.0	1.0	2.9037	864.72	939.1999999999999	1.0	0.1443	-0.1587	0.9767	5.6325	4.9946	-34.9129	0.0	15	0.0	1.0	0.5	0	0
1701909576136	t	prison_testcue_storefront_right	0.0	22	0	3.1487	791.136	681.6	1.0	2.8835	866.448	941.44	1.0	0.1415	-0.1619	0.9766	5.6232	4.9815	-34.9155	0.0	15	0.0	1.0	0.5	0	0
1701909576145	t	prison_testcue_storefront_right	0.0	22	0	3.1576	791.136	682.72	1.0	2.8833	864.864	942.0799999999999	1.0	0.1435	-0.1637	0.976	5.511	4.9716	-34.9313	0.0	15	0.0	1.0	0.5	0	0
1701909576153	t	prison_testcue_storefront_right	0.0	22	0	3.2407	797.904	682.4	1.0	2.8996	874.0799999999999	944.96	1.0	0.1343	-0.1632	0.9774	5.4521	4.9542	-34.9219	0.0	15	0.0	1.0	0.5	0	0
1701909576162	t	prison_testcue_storefront_right	0.0	22	0	3.1545	821.2320000000001	687.36	1.0	3.0232	904.752	946.08	1.0	0.0857	-0.1769	0.9805	7.4339	5.0355	-34.6558	0.0	15	0.0	1.0	0.5	0	0
1701909576170	t	prison_testcue_storefront_right	0.0	22	0	3.2063	855.6479999999999	685.76	1.0	3.0205	944.64	948.0	1.0	0.0137	-0.1593	0.9871	-9.4153	4.4148	-36.8328	0.0	15	0.0	1.0	0.5	0	0
1701909576179	t	prison_testcue_storefront_right	0.0	22	0	3.2001	892.944	687.04	1.0	3.0116	977.184	951.0400000000001	1.0	-0.0345	-0.1556	0.9872	-25.3973	3.8111	-38.7127	0.0	15	0.0	1.0	0.5	0	0
1701909576187	t	prison_testcue_storefront_right	0.0	22	0	3.3538	931.392	686.88	1.0	2.9739	1013.76	960.16	1.0	-0.0891	-0.16	0.9831	-23.1755	3.8209	-38.4071	0.0	15	0.0	1.0	0.5	0	0
1701909576195	t	prison_testcue_storefront_right	0.0	22	0	3.228	962.784	692.0	1.0	3.1411	1063.152	967.2	1.0	-0.1612	-0.161	0.9737	-16.3213	4.0216	-37.5724	0.0	15	0.0	1.0	0.5	0	0
1701909576203	t	prison_testcue_storefront_right	0.0	22	0	3.1784	1001.664	698.7199999999999	1.0	3.3555	1095.4080000000001	975.2	0.9614	-0.2173	-0.1732	0.9606	14.9442	5.1213	-33.6352	0.0	15	0.0	1.0	0.5	0	0
1701909576211	t	prison_testcue_storefront_right	0.0	22	0	3.3489	1037.52	700.3199999999999	1.0	3.4038	1129.68	981.28	0.9614	-0.2796	-0.1652	0.9458	14.82	5.0825	-33.7183	0.0	15	0.0	1.0	0.5	0	0
1701909576220	t	prison_testcue_storefront_right	0.0	22	0	3.3678	1062.432	706.88	1.0	3.377	1154.3039999999999	993.6	0.8283	-0.32	-0.1795	0.9303	17.0808	5.1498	-33.4756	0.0	15	0.0	1.0	0.5	0	0
1701909576228	t	prison_testcue_storefront_right	0.0	22	0	3.3688	1061.856	708.64	1.0	3.3887	1150.4160000000002	984.4799999999999	0.8283	-0.3163	-0.1868	0.9301	20.995	5.312	-32.9651	0.0	15	0.0	1.0	0.5	0	0
1701909576237	t	prison_testcue_storefront_right	0.0	22	0	3.4332	1055.088	709.12	1.0	3.2985	1150.272	997.9200000000001	0.8068	-0.3048	-0.1947	0.9323	23.5453	5.4154	-32.6255	0.0	15	0.0	1.0	0.5	0	0
1701909576245	t	prison_testcue_storefront_right	0.0	22	0	3.3812	1048.464	705.6	1.0	3.5459	1151.424	993.44	0.8068	-0.286	-0.186	0.94	24.0771	5.441	-32.5417	0.0	15	0.0	1.0	0.5	0	0
1701909576253	t	prison_testcue_storefront_right	0.0	22	0	3.2167	1045.7279999999998	704.8	1.0	3.35	1142.208	994.88	0.8171	-0.2765	-0.1857	0.9429	22.4634	5.3878	-32.7379	0.0	15	0.0	1.0	0.5	0	0
1701909576262	t	prison_testcue_storefront_right	0.0	22	0	3.2495	1040.688	704.3199999999999	1.0	3.2071	1136.16	993.44	0.8171	-0.2631	-0.1832	0.9472	16.9829	5.1689	-33.4322	0.0	15	0.0	1.0	0.5	0	0
1701909576270	t	prison_testcue_storefront_right	0.0	22	0	3.3664	1034.496	704.96	0.9523	3.3755	1129.68	999.04	0.8003	-0.2452	-0.1847	0.9517	9.9551	4.8727	-34.3243	0.0	15	0.0	1.0	0.5	0	0
1701909576278	t	prison_testcue_storefront_right	0.0	22	0	3.2757	1020.096	709.12	0.9523	3.319	1112.2559999999999	994.4000000000001	0.8003	-0.2076	-0.1885	0.9599	6.6877	4.712	-34.7185	0.0	15	0.0	1.0	0.5	0	0
1701909576287	t	prison_testcue_storefront_right	0.0	22	0	3.2511	1012.6080000000001	709.6	0.8834	3.5072	1106.3519999999999	999.84	0.7806	-0.1988	-0.1903	0.9614	5.6451	4.6455	-34.8527	0.0	15	0.0	1.0	0.5	0	0
1701909576295	t	prison_testcue_storefront_right	0.0	22	0	3.2737	1008.432	705.6	0.8834	3.2692	1096.272	1003.68	0.7806	-0.2008	-0.1837	0.9622	6.6309	4.6699	-34.7266	0.0	15	0.0	1.0	0.5	0	0
1701909576303	t	prison_testcue_storefront_right	0.0	22	0	3.1939	989.712	707.84	0.8476	3.2992	1083.024	996.1600000000001	0.8062	-0.1668	-0.1842	0.9686	7.7329	4.705	-34.5692	0.0	15	0.0	1.0	0.5	0	0
1701909576312	t	prison_testcue_storefront_right	0.0	22	0	3.2152	978.7679999999999	710.72	0.8476	3.2721	1067.472	998.4	0.8062	-0.1581	-0.1934	0.9683	9.4743	4.7624	-34.3512	0.0	15	0.0	1.0	0.5	0	0
1701909576320	t	prison_testcue_storefront_right	0.0	22	0	3.164	962.928	710.24	0.8054	3.0343	1037.376	986.88	0.8207	-0.121	-0.1836	0.9755	12.7154	4.8649	-33.953	0.0	15	0.0	1.0	0.5	0	0
1701909576328	t	prison_testcue_storefront_right	0.0	22	0	3.2419	949.392	707.6800000000001	0.8065	3.1261	1025.712	988.32	0.8218	-0.1079	-0.1775	0.9782	15.2253	4.9565	-33.6867	0.0	15	0.0	1.0	0.5	0	0
1701909576337	t	prison_testcue_storefront_right	0.0	22	0	3.2598	936.8639999999999	711.36	0.8286	3.15	1010.0160000000001	984.3199999999999	0.8588	-0.0959	-0.1881	0.9774	18.7255	5.0886	-33.2667	0.0	15	0.0	1.0	0.5	0	0
1701909576345	t	prison_testcue_storefront_right	0.0	22	0	3.1306	922.8960000000001	709.44	0.8286	3.0523	999.2159999999999	981.4399999999999	0.8588	-0.0717	-0.1856	0.98	18.2153	5.1252	-33.4981	0.0	15	0.0	1.0	0.5	0	0
1701909576353	t	prison_testcue_storefront_right	0.0	22	0	3.2441	911.664	710.56	0.8696	3.0552	986.4000000000001	979.04	0.8898	-0.0592	-0.1862	0.9807	18.6601	5.1511	-33.5646	0.0	15	0.0	1.0	0.5	0	0
1701909576361	t	prison_testcue_storefront_right	0.0	22	0	3.1349	896.6880000000001	707.36	0.8696	3.1686	970.992	977.28	0.8898	-0.0147	-0.1675	0.9857	-27.1024	3.4205	-39.0092	0.0	15	0.0	1.0	0.5	0	0
1701909576370	t	prison_testcue_storefront_right	0.0	22	0	3.2375	884.448	708.0	0.8757	3.1356	956.592	977.44	0.9346	0.0052	-0.1718	0.9851	-33.8649	3.1662	-39.7425	0.0	15	0.0	1.0	0.5	0	0
1701909576378	t	prison_testcue_storefront_right	0.0	22	0	3.1252	872.352	706.56	0.8757	2.9683	943.92	970.4000000000001	0.9346	0.0167	-0.1569	0.9875	-34.5897	3.121	-39.739	0.0	15	0.0	1.0	0.5	0	0
1701909576387	t	prison_testcue_storefront_right	0.0	22	0	3.1965	861.4079999999999	706.88	0.9328	2.9827	930.384	969.28	0.9697	0.0298	-0.1631	0.9862	-34.6186	3.1756	-39.7825	0.0	15	0.0	1.0	0.5	0	0
1701909576395	t	prison_testcue_storefront_right	0.0	22	0	3.016	848.7360000000001	706.72	0.9328	3.0086	915.696	968.4799999999999	0.9697	0.0508	-0.163	0.9853	-34.4729	3.2081	-39.8454	0.0	15	0.0	1.0	0.5	0	0
