Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701976571859	t	nursery_testcue_tearoom_right	0.0	26	0	4.0091	950.832	898.08	1.0	4.021	964.6560000000001	1024.0	1.0	-0.3815	0.3616	0.8507	-16.983	-2.8231	-30.6411	0.0	18	1.0	1.0	0.0	100	MYKEYWORD 100
1701976571869	t	nursery_testcue_tearoom_right	0.0	26	0	4.1119	952.56	905.9200000000001	1.0	3.9955	968.4	1029.6	1.0	-0.3908	0.3534	0.8499	-15.0016	-2.8204	-30.6561	0.0	18	1.0	1.0	0.0	0	0
1701976571876	t	nursery_testcue_tearoom_right	0.0	26	0	4.0535	949.824	904.64	1.0	4.1105	968.4	1038.24	1.0	-0.3866	0.3492	0.8536	-14.7289	-2.8947	-30.6356	0.0	18	1.0	1.0	0.0	0	0
1701976571884	t	nursery_testcue_tearoom_right	0.0	26	0	4.0349	943.056	906.08	1.0	4.0335	966.672	1037.92	1.0	-0.3693	0.3626	0.8556	7.7697	-2.1356	-30.9252	0.0	18	1.0	1.0	0.0	0	0
1701976571892	t	nursery_testcue_tearoom_right	0.0	26	0	3.9976	944.064	911.0400000000001	1.0	3.9626	968.544	1041.76	1.0	-0.3736	0.3491	0.8594	5.509	-2.2422	-30.8727	0.0	18	1.0	1.0	0.0	0	0
1701976571900	t	nursery_testcue_tearoom_right	0.0	26	0	4.2927	947.088	909.44	1.0	3.9162	969.9839999999999	1044.1599999999999	1.0	-0.3822	0.3516	0.8545	2.2644	-2.3611	-30.8438	0.0	18	1.0	1.0	0.0	0	0
1701976571909	t	nursery_testcue_tearoom_right	0.0	26	0	3.9582	942.6239999999999	911.2	1.0	3.9422	969.1200000000001	1044.32	1.0	-0.3699	0.3441	0.863	-1.9827	-2.5242	-30.7688	0.0	18	1.0	1.0	0.0	0	0
1701976571917	t	nursery_testcue_tearoom_right	0.0	26	0	3.9685	943.344	912.32	1.0	3.9604	970.1279999999999	1042.88	1.0	-0.3736	0.3443	0.8613	-3.9188	-2.5905	-30.7502	0.0	18	1.0	1.0	0.0	0	0
1701976571925	t	nursery_testcue_tearoom_right	0.0	26	0	4.1658	942.912	914.24	1.0	3.9646	969.9839999999999	1043.3600000000001	1.0	-0.375	0.3426	0.8614	-5.6698	-2.6642	-30.7218	0.0	18	1.0	1.0	0.0	0	0
1701976571933	t	nursery_testcue_tearoom_right	0.0	26	0	3.9508	942.6239999999999	917.1200000000001	1.0	3.9993	970.7040000000001	1047.8400000000001	1.0	-0.3762	0.3367	0.8632	-5.1051	-2.6892	-30.7136	0.0	18	1.0	1.0	0.0	0	0
1701976571942	t	nursery_testcue_tearoom_right	0.0	26	0	3.9517	939.024	918.4	1.0	3.7879	970.7040000000001	1053.76	1.0	-0.3702	0.3334	0.8671	-4.3005	-2.7242	-30.706	0.0	18	1.0	1.0	0.0	0	0
1701976571950	t	nursery_testcue_tearoom_right	0.0	26	0	3.9498	940.896	920.64	1.0	4.0014	972.432	1053.44	1.0	-0.3733	0.3361	0.8647	-4.404	-2.7473	-30.7151	0.0	18	1.0	1.0	0.0	0	0
1701976571959	t	nursery_testcue_tearoom_right	0.0	26	0	3.9911	938.16	921.7599999999999	1.0	3.9651	973.7280000000001	1054.72	1.0	-0.3671	0.3324	0.8688	-4.3978	-2.7527	-30.7083	0.0	18	1.0	1.0	0.0	0	0
1701976571967	t	nursery_testcue_tearoom_right	0.0	26	0	4.0623	940.464	923.04	1.0	3.9624	975.456	1062.4	1.0	-0.3723	0.319	0.8716	-3.8139	-2.747	-30.6943	0.0	18	1.0	1.0	0.0	0	0
1701976571975	t	nursery_testcue_tearoom_right	0.0	26	0	4.1247	941.904	924.16	1.0	3.9805	973.8720000000001	1057.2800000000002	1.0	-0.3712	0.3299	0.868	-3.5017	-2.7468	-30.7155	0.0	18	1.0	1.0	0.0	0	0
1701976571984	t	nursery_testcue_tearoom_right	0.0	26	0	3.9843	938.4479999999999	931.84	1.0	3.9321	973.5840000000001	1063.6799999999998	1.0	-0.3679	0.3121	0.8759	-3.9834	-2.822	-30.6638	0.0	18	1.0	1.0	0.0	0	0
1701976571992	t	nursery_testcue_tearoom_right	0.0	26	0	3.8547	939.5999999999999	940.0	1.0	3.8663	972.576	1070.56	1.0	-0.3689	0.2954	0.8813	-3.282	-2.8631	-30.6357	0.0	18	1.0	1.0	0.0	0	0
1701976572000	t	nursery_testcue_tearoom_right	0.0	26	0	3.9119	939.5999999999999	942.7199999999999	1.0	3.849	973.8720000000001	1066.3999999999999	1.0	-0.3698	0.3025	0.8785	-5.2785	-2.948	-30.6289	0.0	18	1.0	1.0	0.0	0	0
1701976572009	t	nursery_testcue_tearoom_right	0.0	26	0	3.8937	948.672	935.0400000000001	1.0	4.0651	984.8159999999999	1066.24	1.0	-0.3924	0.3173	0.8633	-2.5211	-2.8101	-30.7365	0.0	18	1.0	1.0	0.0	0	0
1701976572018	t	nursery_testcue_tearoom_right	0.0	26	0	4.0016	955.728	914.4	1.0	4.2343	983.808	1050.24	1.0	-0.392	0.3601	0.8466	-4.8068	-2.7395	-30.8221	0.0	18	1.0	1.0	0.0	0	0
1701976572025	t	nursery_testcue_tearoom_right	0.0	26	0	3.9393	957.1679999999999	906.24	1.0	3.9455	987.6959999999999	1046.24	1.0	-0.3983	0.3722	0.8383	-4.8248	-2.6808	-30.872	0.0	18	1.0	1.0	0.0	0	0
1701976572033	t	nursery_testcue_tearoom_right	0.0	26	0	4.0569	957.888	904.8	1.0	3.8414	983.6640000000001	1043.04	1.0	-0.3909	0.3683	0.8435	-10.9426	-2.8643	-30.7853	0.0	18	1.0	1.0	0.0	0	0
1701976572042	t	nursery_testcue_tearoom_right	0.0	26	0	3.9767	958.032	902.5600000000001	1.0	4.0183	978.48	1039.68	1.0	-0.3874	0.3817	0.8392	-16.7577	-3.1053	-30.7191	0.0	18	1.0	1.0	0.0	0	0
1701976572050	t	nursery_testcue_tearoom_right	0.0	26	0	4.0117	955.872	909.44	1.0	4.0253	979.776	1042.88	1.0	-0.3926	0.3776	0.8386	-17.3166	-3.1845	-30.6965	0.0	18	1.0	1.0	0.0	0	0
1701976572058	t	nursery_testcue_tearoom_right	0.0	26	0	3.9926	952.272	921.5999999999999	1.0	3.8774	973.1519999999999	1054.88	1.0	-0.3765	0.3507	0.8575	-17.8722	-3.3324	-30.5905	0.0	18	1.0	1.0	0.0	0	0
1701976572067	t	nursery_testcue_tearoom_right	0.0	26	0	4.0566	951.5520000000001	923.1999999999999	1.0	4.0502	974.16	1055.8400000000001	1.0	-0.3796	0.3664	0.8495	-14.8332	-3.3007	-30.6513	0.0	18	1.0	1.0	0.0	0	0
1701976572075	t	nursery_testcue_tearoom_right	0.0	26	0	4.0143	947.3760000000001	934.56	1.0	4.1391	973.1519999999999	1062.88	1.0	-0.3745	0.357	0.8557	-10.0998	-3.2461	-30.6674	0.0	18	1.0	1.0	0.0	0	0
1701976572084	t	nursery_testcue_tearoom_right	0.0	26	0	4.0081	945.792	946.88	1.0	4.0162	975.168	1070.24	1.0	-0.3783	0.349	0.8574	-5.4316	-3.2207	-30.6966	0.0	18	1.0	1.0	0.0	0	0
1701976572092	t	nursery_testcue_tearoom_right	0.0	26	0	3.9908	944.3520000000001	950.7199999999999	1.0	4.1139	973.8720000000001	1070.72	1.0	-0.3772	0.3577	0.8542	-5.4749	-3.3003	-30.7002	0.0	18	1.0	1.0	0.0	0	0
1701976572102	t	nursery_testcue_tearoom_right	0.0	26	0	4.1934	943.488	955.04	1.0	4.0184	967.8240000000001	1075.52	1.0	-0.3685	0.3555	0.859	-9.6213	-3.5273	-30.6203	0.0	18	1.0	1.0	0.0	0	0
1701976572109	t	nursery_testcue_tearoom_right	0.0	26	0	4.0471	936.288	960.96	1.0	4.058	970.8480000000001	1085.9199999999998	1.0	-0.3701	0.3403	0.8644	-14.4146	-3.7852	-30.5284	0.0	18	1.0	1.0	0.0	0	0
1701976572117	t	nursery_testcue_tearoom_right	0.0	26	0	4.0995	935.136	963.1999999999999	1.0	4.0306	969.552	1089.4399999999998	1.0	-0.372	0.3399	0.8637	-15.2358	-3.8718	-30.5076	0.0	18	1.0	1.0	0.0	0	0
1701976572125	t	nursery_testcue_tearoom_right	0.0	26	0	4.0781	933.552	968.8000000000001	1.0	4.0058	969.552	1093.92	1.0	-0.3719	0.3343	0.866	-12.2899	-3.8329	-30.5243	0.0	18	1.0	1.0	0.0	0	0
1701976572134	t	nursery_testcue_tearoom_right	0.0	26	0	4.0836	933.8399999999999	970.2400000000001	1.0	4.2185	965.9519999999999	1092.48	1.0	-0.364	0.3427	0.8661	-7.0464	-3.6855	-30.5855	0.0	18	1.0	1.0	0.0	0	0
1701976572142	t	nursery_testcue_tearoom_right	0.0	26	0	4.1532	929.376	970.5600000000001	1.0	4.1533	967.9680000000001	1093.92	1.0	-0.3617	0.3423	0.8671	-3.75	-3.5893	-30.6189	0.0	18	1.0	1.0	0.0	0	0
1701976572150	t	nursery_testcue_tearoom_right	0.0	26	0	4.0091	931.392	976.4799999999999	1.0	4.1857	967.3919999999999	1092.48	1.0	-0.3645	0.3377	0.8678	-2.3831	-3.5642	-30.6238	0.0	18	1.0	1.0	0.0	0	0
1701976572159	t	nursery_testcue_tearoom_right	0.0	26	0	4.0001	931.8240000000001	982.24	1.0	4.0183	963.36	1098.56	1.0	-0.362	0.3209	0.8752	-4.004	-3.6601	-30.5618	0.0	18	1.0	1.0	0.0	0	0
1701976572167	t	nursery_testcue_tearoom_right	0.0	26	0	4.0035	932.8320000000001	982.7199999999999	1.0	4.1606	964.2239999999999	1095.6799999999998	1.0	-0.3657	0.3347	0.8685	-4.6102	-3.7118	-30.5817	0.0	18	1.0	1.0	0.0	0	0
1701976572175	t	nursery_testcue_tearoom_right	0.0	26	0	3.9339	932.544	988.0000000000001	1.0	3.89	967.5360000000001	1109.44	1.0	-0.3715	0.3124	0.8743	-2.9547	-3.7358	-30.5658	0.0	18	1.0	1.0	0.0	0	0
1701976572184	t	nursery_testcue_tearoom_right	0.0	26	0	3.9577	929.088	992.96	1.0	3.9831	966.24	1110.08	1.0	-0.3658	0.3093	0.8778	-2.6648	-3.7673	-30.5502	0.0	18	1.0	1.0	0.0	0	0
