Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701976616894	t	campsite_testcue_resort_left	0.0	29	0	3.6897	629.136	972.1600000000001	1.0	3.666	655.2	1064.32	1.0	0.211	0.0556	0.9759	29.8969	-0.9148	-32.0158	0.0	18	1.0	1.0	1.0	100	MYKEYWORD 100
1701976616903	t	campsite_testcue_resort_left	0.0	29	0	3.7682	635.184	973.28	1.0	3.5297	658.944	1065.12	1.0	0.1958	0.0593	0.9788	31.6874	-0.8904	-32.0809	0.0	18	1.0	1.0	1.0	0	0
1701976616911	t	campsite_testcue_resort_left	0.0	29	0	3.6431	643.824	975.0400000000001	1.0	3.6314	664.5600000000001	1068.64	1.0	0.1743	0.0561	0.9831	30.9999	-0.945	-32.0398	0.0	18	1.0	1.0	1.0	0	0
1701976616920	t	campsite_testcue_resort_left	0.0	29	0	3.7356	649.1519999999999	976.4799999999999	1.0	3.5791	670.752	1067.52	1.0	0.1678	0.0551	0.9843	28.9553	-1.0329	-31.9454	0.0	18	1.0	1.0	1.0	0	0
1701976616928	t	campsite_testcue_resort_left	0.0	29	0	3.7547	655.2	974.8799999999999	1.0	3.6308	676.8	1067.3600000000001	1.0	0.1548	0.063	0.9859	27.102	-1.1136	-31.8626	0.0	18	1.0	1.0	1.0	0	0
1701976616936	t	campsite_testcue_resort_left	0.0	29	0	3.7564	663.264	974.08	1.0	3.5548	685.2959999999999	1068.48	1.0	0.1391	0.0654	0.9881	24.1713	-1.228	-31.7154	0.0	18	1.0	1.0	1.0	0	0
1701976616944	t	campsite_testcue_resort_left	0.0	29	0	3.8414	669.6	974.56	1.0	3.6502	691.776	1069.76	1.0	0.1274	0.0641	0.9898	24.6623	-1.1928	-31.7923	0.0	18	1.0	1.0	1.0	0	0
1701976616953	t	campsite_testcue_resort_left	0.0	29	0	3.7276	679.536	976.3199999999999	1.0	3.5209	697.68	1069.6	1.0	0.1069	0.0521	0.9929	30.555	-0.9583	-32.0238	0.0	18	1.0	1.0	1.0	0	0
1701976616961	t	campsite_testcue_resort_left	0.0	29	0	3.6638	685.008	975.0400000000001	1.0	3.609	705.7439999999999	1070.4	1.0	0.1021	0.0553	0.9932	32.7637	-0.838	-32.2331	0.0	18	1.0	1.0	1.0	0	0
1701976616970	t	campsite_testcue_resort_left	0.0	29	0	3.7318	693.648	974.8799999999999	1.0	3.5249	714.096	1071.04	1.0	0.0879	0.0498	0.9949	33.9994	-0.7343	-32.364	0.0	18	1.0	1.0	1.0	0	0
1701976616978	t	campsite_testcue_resort_left	0.0	29	0	3.8064	702.432	973.44	1.0	3.6268	724.032	1071.6799999999998	1.0	0.0806	0.0541	0.9953	33.9494	-0.8213	-32.0256	0.0	18	1.0	1.0	1.0	0	0
1701976616986	t	campsite_testcue_resort_left	0.0	29	0	3.7407	713.52	970.88	1.0	3.6506	732.528	1071.52	1.0	0.063	0.0559	0.9964	33.7873	-0.8548	-31.8041	0.0	18	1.0	1.0	1.0	0	0
