Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701808417374	t	prison_testcue_storefront_right	0.0	11	0	4.4845	819.3599999999999	964.9599999999999	1.0	4.4459	803.952	1021.12	1.0	-0.1036	-0.0876	0.9907	-30.5813	-1.3721	-28.8974	0.0	9	1.0	1.0	0.5	100	MYKEYWORD 100
1701808417382	t	prison_testcue_storefront_right	0.0	11	0	4.4843	818.784	964.48	1.0	4.4232	803.808	1023.5200000000001	1.0	-0.1023	-0.0965	0.9901	-29.803	-1.3592	-28.8861	0.0	9	1.0	1.0	0.5	0	0
1701808417391	t	prison_testcue_storefront_right	0.0	11	0	4.5153	818.928	962.2400000000001	1.0	4.4599	803.088	1019.2	1.0	-0.1013	-0.0835	0.9913	-25.6747	-1.2939	-28.8704	0.0	9	1.0	1.0	0.5	0	0
1701808417399	t	prison_testcue_storefront_right	0.0	11	0	4.5411	816.192	961.4399999999999	1.0	4.4662	799.92	1020.8000000000001	1.0	-0.087	-0.0878	0.9923	-30.504	-1.3406	-28.9826	0.0	9	1.0	1.0	0.5	0	0
1701808417407	t	prison_testcue_storefront_right	0.0	11	0	4.5874	803.808	963.1999999999999	1.0	4.4927	786.0960000000001	1029.28	1.0	-0.0985	-0.0989	0.9902	-23.925	-1.6019	-28.0506	0.0	9	1.0	1.0	0.5	0	0
1701808417416	t	prison_testcue_storefront_right	0.0	11	0	4.6098	781.7760000000001	967.6800000000001	1.0	4.5348	767.664	1028.64	1.0	-0.0349	-0.0981	0.9946	-30.9518	-1.1144	-30.0992	0.0	9	1.0	1.0	0.5	0	0
1701808417424	t	prison_testcue_storefront_right	0.0	11	0	4.6875	764.064	973.44	1.0	4.4772	740.304	1039.8400000000001	1.0	0.009	-0.1241	0.9922	-28.9565	-1.1344	-30.1565	0.0	9	1.0	1.0	0.5	0	0
1701808417432	t	prison_testcue_storefront_right	0.0	11	0	4.5261	745.7760000000001	984.3199999999999	1.0	4.5627	714.384	1049.92	1.0	0.0357	-0.1454	0.9887	18.6619	-0.259	-30.5747	0.0	9	1.0	1.0	0.5	0	0
1701808417441	t	prison_testcue_storefront_right	0.0	11	0	4.4258	730.9440000000001	990.56	1.0	4.4287	701.712	1057.92	1.0	0.0617	-0.1619	0.9849	31.2254	-0.1418	-30.3289	0.0	9	1.0	1.0	0.5	0	0
1701808417449	t	prison_testcue_storefront_right	0.0	11	0	4.4716	722.592	992.3199999999999	1.0	4.5918	696.24	1058.72	1.0	0.0868	-0.1622	0.9829	31.3164	-0.2923	-29.9049	0.0	9	1.0	1.0	0.5	0	0
