Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701728291538	t	safari_testcue_windmill_left	0.0	11	0	5.5979	878.4	960.6400000000001	0.6457	5.4992	858.816	1162.56	0.6162	-0.0241	-0.0395	0.9989	28.9952	-0.1168	-30.5566	0.0	6	1.0	1.0	1.0	100	MYKEYWORD 100
1701728291546	t	safari_testcue_windmill_left	0.0	11	0	5.4551	874.9440000000001	964.9599999999999	0.7036	5.4336	858.3839999999999	1166.24	0.6628	-0.0085	-0.0523	0.9986	28.9935	-0.1896	-30.3849	0.0	6	1.0	1.0	1.0	0	0
1701728291554	t	safari_testcue_windmill_left	0.0	11	0	5.5559	877.2479999999999	964.1600000000001	0.7036	5.4464	859.392	1161.44	0.6628	-0.018	-0.0371	0.9991	28.9805	-0.2911	-30.2096	0.0	6	1.0	1.0	1.0	0	0
1701728291562	t	safari_testcue_windmill_left	0.0	11	0	5.452	876.96	968.8000000000001	0.7126	5.4929	860.4000000000001	1162.88	0.7253	-0.0176	-0.0523	0.9985	28.9694	-0.3617	-30.0353	0.0	6	1.0	1.0	1.0	0	0
1701728291571	t	safari_testcue_windmill_left	0.0	11	0	5.6899	878.256	961.12	0.7126	5.6651	857.808	1166.24	0.7253	-0.0241	-0.018	0.9995	28.9767	-0.3682	-30.0282	0.0	6	1.0	1.0	1.0	0	0
1701728291579	t	safari_testcue_windmill_left	0.0	11	0	5.3224	874.3679999999999	975.6800000000001	0.7607	5.5292	860.976	1162.88	0.7347	-0.0081	-0.0809	0.9967	28.9896	-0.3555	-30.0482	0.0	6	1.0	1.0	1.0	0	0
1701728291589	t	safari_testcue_windmill_left	0.0	11	0	5.3334	877.9680000000001	973.28	0.7492	5.6031	858.24	1164.96	0.7336	-0.018	-0.0752	0.997	28.9652	-0.3063	-30.1558	0.0	6	1.0	1.0	1.0	0	0
1701728291596	t	safari_testcue_windmill_left	0.0	11	0	5.4835	878.544	971.52	0.7492	5.5726	861.984	1160.64	0.7336	-0.0184	-0.0586	0.9981	28.948	-0.4054	-29.9508	0.0	6	1.0	1.0	1.0	0	0
1701728291604	t	safari_testcue_windmill_left	0.0	11	0	5.4078	881.136	971.1999999999999	0.7492	5.565	857.664	1163.8400000000001	0.7336	-0.0333	-0.0564	0.9978	28.9654	-0.3761	-30.0647	0.0	6	1.0	1.0	1.0	0	0
1701728291613	t	safari_testcue_windmill_left	0.0	11	0	5.2709	880.8480000000001	969.4399999999999	0.7481	5.5447	858.816	1164.96	0.7598	-0.0303	-0.0472	0.9984	28.9567	-0.4099	-30.0036	0.0	6	1.0	1.0	1.0	0	0
1701728291621	t	safari_testcue_windmill_left	0.0	11	0	5.4179	881.136	970.72	0.7481	5.5922	857.808	1164.8	0.7598	-0.0323	-0.0511	0.9982	28.9584	-0.4231	-29.9623	0.0	6	1.0	1.0	1.0	0	0
1701728291629	t	safari_testcue_windmill_left	0.0	11	0	5.4572	878.688	974.8799999999999	0.7631	5.6553	858.3839999999999	1161.44	0.7969	-0.022	-0.0661	0.9976	28.9593	-0.4441	-29.9139	0.0	6	1.0	1.0	1.0	0	0
1701728291638	t	safari_testcue_windmill_left	0.0	11	0	5.5213	877.9680000000001	974.24	0.7631	5.641	858.816	1162.4	0.7969	-0.0184	-0.0621	0.9979	28.9532	-0.4767	-29.8181	0.0	6	1.0	1.0	1.0	0	0
1701728291646	t	safari_testcue_windmill_left	0.0	11	0	5.4011	878.9760000000001	972.48	0.7902	5.6417	859.104	1163.52	0.798	-0.0268	-0.0516	0.9983	28.9567	-0.5927	-29.4789	0.0	6	1.0	1.0	1.0	0	0
1701728291654	t	safari_testcue_windmill_left	0.0	11	0	5.3846	879.696	972.8	0.7902	5.6484	858.816	1163.52	0.798	-0.03	-0.0518	0.9982	28.9556	-0.6031	-29.46	0.0	6	1.0	1.0	1.0	0	0
