Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701987869507	t	safari_testcue_windmill_right	0.0	12	0	3.5921	694.368	638.88	1.0	3.597	659.52	694.88	1.0	-0.1761	0.0394	0.9836	-20.9145	5.4015	-34.0828	0.0	21	1.0	1.0	1.0	100	MYKEYWORD 100
1701987869516	t	safari_testcue_windmill_right	0.0	12	0	3.5703	693.792	639.36	1.0	3.6123	659.232	695.2	1.0	-0.175	0.039	0.9838	-20.4179	5.4135	-34.1103	0.0	21	1.0	1.0	1.0	0	0
1701987869524	t	safari_testcue_windmill_right	0.0	12	0	3.5484	693.36	638.88	1.0	3.6284	659.52	695.36	1.0	-0.1729	0.04	0.9841	-2.4516	5.9152	-35.1657	0.0	21	1.0	1.0	1.0	0	0
1701987869532	t	safari_testcue_windmill_right	0.0	12	0	3.5432	693.072	639.04	1.0	3.6373	659.232	695.84	1.0	-0.1718	0.0392	0.9843	0.0143	5.9848	-35.3164	0.0	21	1.0	1.0	1.0	0	0
1701987869541	t	safari_testcue_windmill_right	0.0	12	0	3.548	692.64	639.2	1.0	3.6458	658.944	696.3199999999999	1.0	-0.1711	0.0376	0.9845	-0.2483	5.9788	-35.2946	0.0	21	1.0	1.0	1.0	0	0
1701987869549	t	safari_testcue_windmill_right	0.0	12	0	3.5442	692.496	639.36	1.0	3.6464	659.088	696.3199999999999	1.0	-0.1712	0.0374	0.9845	-0.3425	5.9757	-35.2883	0.0	21	1.0	1.0	1.0	0	0
1701987869557	t	safari_testcue_windmill_right	0.0	12	0	3.5477	692.352	639.52	1.0	3.6466	658.944	696.3199999999999	1.0	-0.1705	0.0374	0.9846	1.0888	6.0152	-35.3715	0.0	21	1.0	1.0	1.0	0	0
1701987869566	t	safari_testcue_windmill_right	0.0	12	0	3.561	692.208	639.36	1.0	3.6673	658.944	695.84	1.0	-0.1701	0.0385	0.9847	3.0923	6.0695	-35.4822	0.0	21	1.0	1.0	1.0	0	0
1701987869574	t	safari_testcue_windmill_right	0.0	12	0	3.574	692.208	639.52	1.0	3.688	658.944	695.36	1.0	-0.1698	0.0391	0.9847	4.4495	6.1056	-35.5544	0.0	21	1.0	1.0	1.0	0	0
1701987869582	t	safari_testcue_windmill_right	0.0	12	0	3.5615	692.0640000000001	639.36	1.0	3.6927	658.656	695.36	1.0	-0.1694	0.0391	0.9848	4.153	6.0967	-35.5306	0.0	21	1.0	1.0	1.0	0	0
1701987869591	t	safari_testcue_windmill_right	0.0	12	0	3.5747	691.92	639.2	1.0	3.6971	658.512	695.36	1.0	-0.1694	0.0393	0.9848	3.5141	6.0783	-35.4871	0.0	21	1.0	1.0	1.0	0	0
1701987869599	t	safari_testcue_windmill_right	0.0	12	0	3.574	691.92	639.04	1.0	3.7001	658.512	695.04	1.0	-0.1697	0.0397	0.9847	2.474	6.0485	-35.4213	0.0	21	1.0	1.0	1.0	0	0
1701987869607	t	safari_testcue_windmill_right	0.0	12	0	3.5754	691.92	639.2	1.0	3.6992	658.3679999999999	695.36	1.0	-0.1698	0.0385	0.9847	1.853	6.0333	-35.3812	0.0	21	1.0	1.0	1.0	0	0
1701987869616	t	safari_testcue_windmill_right	0.0	12	0	3.5745	691.488	638.88	1.0	3.7118	658.3679999999999	695.36	1.0	-0.1695	0.0367	0.9848	0.6072	6.0034	-35.2806	0.0	21	1.0	1.0	1.0	0	0
1701987869624	t	safari_testcue_windmill_right	0.0	12	0	3.5778	691.344	638.88	1.0	3.7312	658.224	695.36	1.0	-0.1701	0.035	0.9848	-4.564	5.8583	-34.9428	0.0	21	1.0	1.0	1.0	0	0
1701987869632	t	safari_testcue_windmill_right	0.0	12	0	3.5808	691.1999999999999	638.72	1.0	3.7482	658.224	695.04	1.0	-0.1707	0.0338	0.9847	-13.1642	5.631	-34.4566	0.0	21	1.0	1.0	1.0	0	0
1701987869641	t	safari_testcue_windmill_right	0.0	12	0	3.5992	690.768	638.0799999999999	1.0	3.7475	657.9359999999999	695.04	1.0	-0.1706	0.0319	0.9848	-18.848	5.4871	-34.1423	0.0	21	1.0	1.0	1.0	0	0
