Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1702056758370	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.4	841.5360000000001	616.16	1.0	4.2969	607.392	838.4000000000001	1.0	-0.0099	-0.143	0.9897	10.347	7.244	-37.648	0.0	24	1.0	1.0	0.5	100	MYKEYWORD 100
1702056758379	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.3815	839.664	614.56	1.0	4.2755	606.816	836.6400000000001	1.0	-0.0044	-0.1414	0.9899	6.3112	7.0843	-37.9164	0.0	24	1.0	1.0	0.5	0	0
1702056758387	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.3244	836.7839999999999	612.16	1.0	4.1593	608.976	834.72	1.0	-0.003	-0.1408	0.99	-0.9923	6.7775	-38.3577	0.0	24	1.0	1.0	0.5	0	0
1702056758396	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.265	838.368	614.4	1.0	4.1665	607.9680000000001	834.56	1.0	-0.0036	-0.1522	0.9883	-14.0864	6.254	-39.3121	0.0	24	1.0	1.0	0.5	0	0
1702056758404	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.2829	836.352	611.84	1.0	4.1351	606.672	830.5600000000001	1.0	0.0029	-0.1422	0.9898	-24.4453	5.8445	-40.1151	0.0	24	1.0	1.0	0.5	0	0
1702056758412	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.3107	837.504	613.12	1.0	4.1679	607.9680000000001	832.64	1.0	-0.0033	-0.1512	0.9885	-27.8068	5.7364	-40.4616	0.0	24	1.0	1.0	0.5	0	0
1702056758420	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.1716	835.0559999999999	611.84	1.0	4.1051	606.96	832.3199999999999	1.0	-0.0003	-0.1507	0.9886	-27.9553	5.7509	-40.5512	0.0	24	1.0	1.0	0.5	0	0
1702056758429	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.2168	835.0559999999999	615.2	1.0	3.9539	608.688	833.2800000000001	1.0	-0.0088	-0.1542	0.988	-27.6171	5.763	-40.5253	0.0	24	1.0	1.0	0.5	0	0
1702056758437	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.1602	835.488	614.56	1.0	3.9427	610.128	830.88	1.0	-0.0153	-0.1453	0.9893	-25.7139	5.8428	-40.3919	0.0	24	1.0	1.0	0.5	0	0
1702056758445	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.1486	834.336	614.0799999999999	1.0	4.0438	605.376	833.44	1.0	0.0029	-0.1515	0.9884	-18.7006	6.1142	-39.819	0.0	24	1.0	1.0	0.5	0	0
1702056758454	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.1375	833.616	614.56	1.0	3.999	606.384	833.6	1.0	-0.0011	-0.1508	0.9886	-11.7648	6.3842	-39.2546	0.0	24	1.0	1.0	0.5	0	0
1702056758462	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.1317	833.472	613.92	1.0	3.9668	607.1039999999999	833.44	1.0	-0.0031	-0.1487	0.9889	-6.9846	6.575	-38.8755	0.0	24	1.0	1.0	0.5	0	0
1702056758470	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.0795	832.3199999999999	612.96	1.0	3.9679	607.248	832.8	1.0	-0.0033	-0.1499	0.9887	-15.9775	6.2351	-39.6352	0.0	24	1.0	1.0	0.5	0	0
1702056758479	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.0624	830.448	612.16	1.0	3.9687	607.248	832.3199999999999	1.0	-0.003	-0.1497	0.9887	-23.1305	5.95	-40.2007	0.0	24	1.0	1.0	0.5	0	0
1702056758487	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.0768	832.3199999999999	612.3199999999999	1.0	3.9675	607.392	832.16	1.0	-0.0047	-0.1503	0.9886	-25.2752	5.8663	-40.3615	0.0	24	1.0	1.0	0.5	0	0
1702056758495	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.042	830.592	610.88	1.0	3.9054	607.68	829.9200000000001	1.0	-0.0072	-0.1479	0.989	-25.7011	5.8714	-40.3938	0.0	24	1.0	1.0	0.5	0	0
1702056758504	t	trailerpark_testcue_shippingyard_right	0.0	3	0	4.0015	830.16	609.76	1.0	3.9297	606.96	830.24	1.0	-0.0047	-0.1496	0.9887	-24.2521	5.9532	-40.3394	0.0	24	1.0	1.0	0.5	0	0
1702056758513	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.9905	830.0160000000001	608.8	1.0	3.9053	606.384	828.8000000000001	1.0	-0.0025	-0.1456	0.9893	-20.8676	6.0862	-40.0338	0.0	24	1.0	1.0	0.5	0	0
1702056758520	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.9215	830.448	608.48	1.0	3.8927	606.96	828.8000000000001	1.0	-0.0055	-0.1471	0.9891	-19.8466	6.1275	-39.9245	0.0	24	1.0	1.0	0.5	0	0
1702056758529	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.9774	829.584	606.24	1.0	3.8597	605.952	828.96	1.0	-0.0013	-0.1485	0.9889	-20.1627	6.133	-39.9804	0.0	24	1.0	1.0	0.5	0	0
1702056758537	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.9609	839.664	608.64	1.0	3.8309	614.304	833.92	1.0	-0.0124	-0.1566	0.9876	-20.2308	6.0103	-39.672	0.0	24	1.0	1.0	0.5	0	0
1702056758545	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.8601	864.0	616.48	1.0	3.8056	635.184	844.8000000000001	1.0	-0.0448	-0.1712	0.9842	-20.7345	5.953	-39.904	0.0	24	1.0	1.0	0.5	0	0
1702056758553	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.9032	904.176	623.84	1.0	3.8004	667.008	856.0	1.0	-0.1063	-0.1969	0.9746	-19.1387	5.9987	-39.7992	0.0	24	1.0	1.0	0.5	0	0
1702056758562	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.8811	940.464	626.0799999999999	1.0	3.8465	698.4	863.84	1.0	-0.1629	-0.2064	0.9648	-15.7972	6.1352	-39.601	0.0	24	1.0	1.0	0.5	0	0
1702056758570	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.901	977.904	629.28	1.0	3.8618	728.64	877.44	1.0	-0.2162	-0.218	0.9517	-12.679	6.214	-39.4349	0.0	24	1.0	1.0	0.5	0	0
1702056758578	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.804	1011.1680000000001	633.76	1.0	3.8389	754.848	889.7600000000001	1.0	-0.262	-0.2337	0.9363	-12.2384	6.198	-39.4764	0.0	24	1.0	1.0	0.5	0	0
1702056758587	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.9838	1032.912	637.4399999999999	1.0	3.7879	776.3040000000001	891.84	1.0	-0.2983	-0.2311	0.9261	-14.2632	6.0846	-39.7025	0.0	24	1.0	1.0	0.5	0	0
1702056758595	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.9557	1043.856	637.76	1.0	3.8132	782.208	889.6000000000001	1.0	-0.309	-0.2264	0.9237	-14.1767	6.1063	-39.7131	0.0	24	1.0	1.0	0.5	0	0
1702056758603	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.8219	1034.928	640.0	1.0	3.8368	779.76	886.0799999999999	1.0	-0.2894	-0.224	0.9306	-13.4625	6.1518	-39.6383	0.0	24	1.0	1.0	0.5	0	0
1702056758612	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.8001	1032.624	640.16	1.0	3.7932	778.3199999999999	882.4	1.0	-0.2835	-0.2216	0.933	-11.511	6.266	-39.4715	0.0	24	1.0	1.0	0.5	0	0
1702056758620	t	trailerpark_testcue_shippingyard_right	0.0	3	0	3.8553	1029.744	641.76	1.0	3.7241	777.1679999999999	882.7199999999999	1.0	-0.2823	-0.2286	0.9317	-7.823	6.4539	-39.1733	0.0	24	1.0	1.0	0.5	0	0
