Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701717667384	t	safari_testcue_windmill_right	0.0	23	0	3.5719	823.2479999999999	775.36	1.0	3.8103	907.4879999999999	841.1199999999999	1.0	-0.2536	0.1143	0.9605	0.9301	3.3729	-35.6796	0.0	3	0.0	1.0	0.5	100	MYKEYWORD 100
1701717667392	t	safari_testcue_windmill_right	0.0	23	0	3.5663	820.9440000000001	776.64	1.0	3.9261	906.048	844.8000000000001	1.0	-0.2502	0.1058	0.9624	-2.9091	3.3085	-35.6461	0.0	3	0.0	1.0	0.5	0	0
1701717667401	t	safari_testcue_windmill_right	0.0	23	0	3.5477	817.776	777.12	1.0	3.7953	902.736	843.68	1.0	-0.2394	0.1076	0.9649	-3.5398	3.2884	-35.6359	0.0	3	0.0	1.0	0.5	0	0
1701717667408	t	safari_testcue_windmill_right	0.0	23	0	3.517	817.4879999999999	777.9200000000001	1.0	3.9274	903.888	846.24	1.0	-0.2426	0.1046	0.9644	-3.4706	3.2756	-35.636	0.0	3	0.0	1.0	0.5	0	0
1701717667417	t	safari_testcue_windmill_right	0.0	23	0	3.5917	816.4799999999999	781.76	1.0	3.8432	902.736	846.4000000000001	1.0	-0.2408	0.1011	0.9653	-2.86	3.2676	-35.6323	0.0	3	0.0	1.0	0.5	0	0
1701717667425	t	safari_testcue_windmill_right	0.0	23	0	3.6337	813.4559999999999	780.9599999999999	1.0	3.8706	901.152	847.84	1.0	-0.2346	0.1012	0.9668	-2.4952	3.2626	-35.6281	0.0	3	0.0	1.0	0.5	0	0
1701717667433	t	safari_testcue_windmill_right	0.0	23	0	3.5232	810.7199999999999	779.36	1.0	3.794	899.856	849.1199999999999	1.0	-0.2294	0.1013	0.968	-2.245	3.2612	-35.6255	0.0	3	0.0	1.0	0.5	0	0
1701717667442	t	safari_testcue_windmill_right	0.0	23	0	3.6759	812.16	782.4	1.0	3.9079	897.12	848.8	1.0	-0.2306	0.0986	0.968	-1.9037	3.2591	-35.6186	0.0	3	0.0	1.0	0.5	0	0
1701717667450	t	safari_testcue_windmill_right	0.0	23	0	3.7351	810.144	783.6800000000001	1.0	3.7585	894.8159999999999	848.32	1.0	-0.2273	0.0964	0.969	-1.8314	3.2577	-35.608	0.0	3	0.0	1.0	0.5	0	0
1701717667459	t	safari_testcue_windmill_right	0.0	23	0	3.5827	807.264	781.28	1.0	3.7874	893.808	851.2	1.0	-0.223	0.0939	0.9703	-1.4382	3.2647	-35.6007	0.0	3	0.0	1.0	0.5	0	0
1701717667467	t	safari_testcue_windmill_right	0.0	23	0	3.6191	804.384	779.6800000000001	1.0	3.8078	892.5120000000001	849.44	1.0	-0.2187	0.0996	0.9707	-1.2127	3.27	-35.6006	0.0	3	0.0	1.0	0.5	0	0
1701717667475	t	safari_testcue_windmill_right	0.0	23	0	3.6826	802.5120000000001	780.48	1.0	3.8172	890.352	849.6	1.0	-0.2156	0.0974	0.9716	-1.0267	3.2729	-35.5928	0.0	3	0.0	1.0	0.5	0	0
1701717667484	t	safari_testcue_windmill_right	0.0	23	0	3.7116	799.488	782.4	1.0	3.9041	888.192	849.2800000000001	1.0	-0.2106	0.0933	0.9731	-1.1704	3.2728	-35.5808	0.0	3	0.0	1.0	0.5	0	0
