Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701807579413	t	nursery_testcue_tearoom_left	0.0	23	0	4.3678	738.72	874.56	1.0	4.488	719.424	1031.36	1.0	0.0434	-0.2095	0.9768	1.1987	0.9282	-30.3919	0.0	9	1.0	1.0	0.5	100	MYKEYWORD 100
1701807579421	t	nursery_testcue_tearoom_left	0.0	23	0	4.3383	737.9999999999999	874.7199999999999	1.0	4.5075	718.416	1031.8400000000001	1.0	0.0456	-0.2103	0.9766	0.9716	0.9162	-30.3925	0.0	9	1.0	1.0	0.5	0	0
1701807579429	t	nursery_testcue_tearoom_left	0.0	23	0	4.2974	735.552	874.08	1.0	4.4632	718.272	1031.36	1.0	0.0509	-0.208	0.9768	1.0318	0.915	-30.3875	0.0	9	1.0	1.0	0.5	0	0
1701807579438	t	nursery_testcue_tearoom_left	0.0	23	0	4.3401	735.552	874.7199999999999	1.0	4.4182	717.984	1031.8400000000001	1.0	0.0506	-0.2095	0.9765	1.084	0.9135	-30.3824	0.0	9	1.0	1.0	0.5	0	0
1701807579446	t	nursery_testcue_tearoom_left	0.0	23	0	4.3404	734.688	874.4	1.0	4.4304	717.696	1031.52	1.0	0.0523	-0.2087	0.9766	1.3061	0.9268	-30.3883	0.0	9	1.0	1.0	0.5	0	0
1701807579454	t	nursery_testcue_tearoom_left	0.0	23	0	4.3405	733.68	873.9200000000001	1.0	4.5087	714.96	1032.32	1.0	0.0561	-0.2097	0.9762	1.7827	0.9547	-30.4019	0.0	9	1.0	1.0	0.5	0	0
1701807579463	t	nursery_testcue_tearoom_left	0.0	23	0	4.34	733.68	874.24	1.0	4.5362	715.5360000000001	1029.92	1.0	0.0539	-0.2084	0.9765	1.8588	0.967	-30.4004	0.0	9	1.0	1.0	0.5	0	0
1701807579471	t	nursery_testcue_tearoom_left	0.0	23	0	4.3398	733.536	873.9200000000001	1.0	4.5468	715.392	1029.76	1.0	0.0524	-0.2081	0.9767	1.6759	0.9619	-30.403	0.0	9	1.0	1.0	0.5	0	0
1701807579479	t	nursery_testcue_tearoom_left	0.0	23	0	4.3409	733.536	873.76	0.9683	4.5096	713.376	1031.2	0.9979	0.0539	-0.2092	0.9764	1.7692	0.9642	-30.415	0.0	9	1.0	1.0	0.5	0	0
1701807579488	t	nursery_testcue_tearoom_left	0.0	23	0	4.3397	733.536	873.9200000000001	0.9683	4.5175	713.232	1031.04	0.9979	0.0532	-0.209	0.9765	1.9595	0.9728	-30.4188	0.0	9	1.0	1.0	0.5	0	0
1701807579496	t	nursery_testcue_tearoom_left	0.0	23	0	4.4154	729.2159999999999	871.04	1.0	4.4168	711.36	1031.8400000000001	1.0	0.0606	-0.206	0.9767	1.9781	0.9783	-30.4254	0.0	9	1.0	1.0	0.5	0	0
1701807579504	t	nursery_testcue_tearoom_left	0.0	23	0	4.4138	729.504	872.8	1.0	4.4252	711.36	1030.8799999999999	1.0	0.0589	-0.2076	0.9764	2.1453	0.9846	-30.4247	0.0	9	1.0	1.0	0.5	0	0
1701807579513	t	nursery_testcue_tearoom_left	0.0	23	0	4.3994	728.496	871.3599999999999	0.9647	4.4324	711.36	1031.52	0.9924	0.0613	-0.2061	0.9766	1.77	0.9687	-30.4261	0.0	9	1.0	1.0	0.5	0	0
1701807579521	t	nursery_testcue_tearoom_left	0.0	23	0	4.383	728.496	872.8	0.9647	4.4379	711.36	1031.36	0.9924	0.0609	-0.2083	0.9762	3.1535	1.0293	-30.4253	0.0	9	1.0	1.0	0.5	0	0
1701807579529	t	nursery_testcue_tearoom_left	0.0	23	0	4.349	730.9440000000001	872.9599999999999	0.9741	4.5448	714.528	1032.6399999999999	0.9996	0.0553	-0.2102	0.9761	2.9919	1.0231	-30.4219	0.0	9	1.0	1.0	0.5	0	0
1701807579538	t	nursery_testcue_tearoom_left	0.0	23	0	4.4701	739.2959999999999	872.1600000000001	0.9741	4.4951	720.7199999999999	1031.68	0.9996	0.0496	-0.2055	0.9774	2.6685	1.0015	-30.4083	0.0	9	1.0	1.0	0.5	0	0
1701807579546	t	nursery_testcue_tearoom_left	0.0	23	0	4.4354	749.232	875.84	1.0	4.4915	729.792	1029.44	1.0	0.0354	-0.2158	0.9758	1.5321	0.9952	-30.4058	0.0	9	1.0	1.0	0.5	0	0
1701807579554	t	nursery_testcue_tearoom_left	0.0	23	0	4.4287	761.184	874.7199999999999	1.0	4.4526	741.888	1026.88	1.0	0.0153	-0.2091	0.9778	0.9483	0.9781	-30.4231	0.0	9	1.0	1.0	0.5	0	0
1701807579563	t	nursery_testcue_tearoom_left	0.0	23	0	4.4684	767.088	873.1199999999999	0.9759	4.498	746.64	1023.5200000000001	0.9909	0.0091	-0.2038	0.979	-3.9128	0.7711	-30.343	0.0	9	1.0	1.0	0.5	0	0
