Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701994984961	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4003	689.328	564.0	1.0	3.6803	695.52	827.9999999999999	1.0	0.047	-0.0049	0.9989	6.721	6.7815	-38.1619	0.0	23	1.0	1.0	0.5	100	MYKEYWORD 100
1701994984970	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.3732	689.328	565.12	1.0	3.6064	694.0799999999999	827.8399999999999	1.0	0.046	-0.009	0.9989	0.0459	6.391	-38.3773	0.0	23	1.0	1.0	0.5	0	0
1701994984978	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4103	690.192	565.28	1.0	3.6709	692.784	827.68	1.0	0.0462	-0.0078	0.9989	-2.6305	6.2179	-38.4197	0.0	23	1.0	1.0	0.5	0	0
1701994984986	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4197	690.048	565.4399999999999	1.0	3.7403	692.0640000000001	829.5999999999999	1.0	0.0478	-0.0121	0.9988	-7.8056	5.8931	-38.5186	0.0	23	1.0	1.0	0.5	0	0
1701994984994	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4334	689.904	565.4399999999999	1.0	3.7086	694.368	830.08	1.0	0.0387	-0.0182	0.9991	-21.777	5.1176	-39.127	0.0	23	1.0	1.0	0.5	0	0
1701994985002	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4303	689.616	565.6	1.0	3.6243	691.92	829.7599999999999	1.0	0.0475	-0.0206	0.9987	-29.0329	4.7482	-39.5693	0.0	23	1.0	1.0	0.5	0	0
1701994985011	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4316	689.1840000000001	565.4399999999999	1.0	3.6386	692.0640000000001	829.28	1.0	0.0464	-0.0191	0.9987	-30.2079	4.6715	-39.5861	0.0	23	1.0	1.0	0.5	0	0
1701994985019	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.3829	685.5840000000001	565.9200000000001	1.0	3.652	691.92	829.4399999999999	1.0	0.0468	-0.0184	0.9987	-29.7535	4.6823	-39.5239	0.0	23	1.0	1.0	0.5	0	0
1701994985027	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4436	684.576	563.36	1.0	3.6792	688.6080000000001	828.8000000000001	1.0	0.0501	-0.0166	0.9986	-29.1893	4.643	-39.2327	0.0	23	1.0	1.0	0.5	0	0
1701994985036	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4189	683.712	564.48	1.0	3.6823	685.7280000000001	826.72	1.0	0.0546	-0.0123	0.9984	-29.2586	4.6757	-39.3162	0.0	23	1.0	1.0	0.5	0	0
1701994985044	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4207	679.8240000000001	561.28	1.0	3.6769	685.7280000000001	826.72	1.0	0.049	-0.0169	0.9986	-28.956	4.7321	-39.3859	0.0	23	1.0	1.0	0.5	0	0
1701994985052	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4451	677.664	562.4	1.0	3.7152	682.272	826.56	1.0	0.0607	-0.0169	0.998	-27.4769	4.8021	-39.2667	0.0	23	1.0	1.0	0.5	0	0
1701994985061	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4617	674.928	560.8	1.0	3.7244	681.408	827.0400000000001	1.0	0.0616	-0.0173	0.9979	-25.4842	4.8817	-39.0714	0.0	23	1.0	1.0	0.5	0	0
1701994985069	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.424	674.208	561.76	1.0	3.7561	681.264	826.4	1.0	0.0599	-0.0142	0.9981	-26.2657	4.8139	-39.0295	0.0	23	1.0	1.0	0.5	0	0
1701994985077	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.3994	675.216	558.5600000000001	1.0	3.7123	680.256	826.24	1.0	0.0682	0.0036	0.9977	-7.7432	5.8029	-38.193	0.0	23	1.0	1.0	0.5	0	0
1701994985087	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4136	674.496	559.84	1.0	3.6776	679.968	827.36	1.0	0.0748	0.0183	0.997	21.7861	7.5579	-37.4172	0.0	23	1.0	1.0	0.5	0	0
1701994985095	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.3976	675.216	561.12	1.0	3.6778	679.968	826.56	1.0	0.0751	0.0219	0.9969	31.8807	8.0962	-36.9439	0.0	23	1.0	1.0	0.5	0	0
1701994985103	t	supermarket_testcue_greenhouse_right	0.0	6	0	4.4204	674.928	561.76	1.0	3.6974	682.272	826.56	1.0	0.0815	0.0221	0.9964	32.5715	8.095	-36.7783	0.0	23	1.0	1.0	0.5	0	0
