Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701994296127	t	logcabin_testcue_study_left	0.0	22	0	4.2258	740.592	642.24	1.0	3.8786	730.08	884.6399999999999	1.0	-0.0481	-0.1838	0.9818	-26.4221	4.5982	-39.2496	0.0	23	1.0	1.0	1.0	100	MYKEYWORD 100
1701994296135	t	logcabin_testcue_study_left	0.0	22	0	4.1857	744.192	640.96	1.0	3.9465	733.9680000000001	882.8799999999999	1.0	-0.0463	-0.1762	0.9833	-29.6115	4.4365	-39.3839	0.0	23	1.0	1.0	1.0	0	0
1701994296143	t	logcabin_testcue_study_left	0.0	22	0	4.1131	748.6560000000001	637.6	1.0	3.9122	737.424	883.36	1.0	-0.0468	-0.1771	0.9831	-30.5172	4.381	-39.3958	0.0	23	1.0	1.0	1.0	0	0
1701994296152	t	logcabin_testcue_study_left	0.0	22	0	4.1674	752.256	639.36	1.0	3.8969	742.1759999999999	882.4	1.0	-0.0499	-0.1746	0.9834	-30.6328	4.404	-39.4685	0.0	23	1.0	1.0	1.0	0	0
1701994296160	t	logcabin_testcue_study_left	0.0	22	0	4.1694	756.144	637.12	1.0	3.7372	745.9200000000001	883.2	1.0	-0.0576	-0.1777	0.9824	-31.0397	4.3627	-39.4148	0.0	23	1.0	1.0	1.0	0	0
1701994296168	t	logcabin_testcue_study_left	0.0	22	0	4.1665	760.464	639.2	1.0	3.8811	748.5120000000001	884.0	1.0	-0.0559	-0.1794	0.9822	-31.2089	4.3557	-39.4309	0.0	23	1.0	1.0	1.0	0	0
1701994296177	t	logcabin_testcue_study_left	0.0	22	0	4.1329	763.344	638.0799999999999	1.0	3.8335	753.8399999999999	881.28	1.0	-0.066	-0.1663	0.9839	-31.2812	4.3554	-39.4599	0.0	23	1.0	1.0	1.0	0	0
1701994296187	t	logcabin_testcue_study_left	0.0	22	0	4.0828	766.224	642.24	1.0	3.7023	753.264	884.96	1.0	-0.0526	-0.1812	0.982	-31.3139	4.3515	-39.4584	0.0	23	1.0	1.0	1.0	0	0
1701994296194	t	logcabin_testcue_study_left	0.0	22	0	4.0234	768.672	641.76	1.0	3.7191	754.7040000000001	881.7600000000001	1.0	-0.0478	-0.1643	0.9852	-31.4018	4.3371	-39.482	0.0	23	1.0	1.0	1.0	0	0
1701994296201	t	logcabin_testcue_study_left	0.0	22	0	4.0196	769.248	642.24	1.0	3.7428	755.136	883.52	1.0	-0.0411	-0.1673	0.985	-31.2336	4.3342	-39.48	0.0	23	1.0	1.0	1.0	0	0
