Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701909254437	t	attic_testcue_childrensroom_left	0.0	3	0	3.549	769.824	685.76	1.0	3.2851	846.0	896.48	1.0	0.1634	-0.2216	0.9613	6.4449	5.7541	-35.6231	0.0	15	1.0	1.0	1.0	100	MYKEYWORD 100
1701909254445	t	attic_testcue_childrensroom_left	0.0	3	0	3.5582	769.824	685.6	1.0	3.292	846.0	896.48	1.0	0.1636	-0.2212	0.9614	6.6539	5.7604	-35.6036	0.0	15	1.0	1.0	1.0	0	0
1701909254453	t	attic_testcue_childrensroom_left	0.0	3	0	3.5582	769.824	685.6	1.0	3.292	846.144	896.48	1.0	0.1632	-0.2212	0.9615	6.5426	5.7571	-35.6143	0.0	15	1.0	1.0	1.0	0	0
1701909254462	t	attic_testcue_childrensroom_left	0.0	3	0	3.5582	769.824	685.6	1.0	3.2961	846.288	896.48	1.0	0.163	-0.2211	0.9615	6.4509	5.7545	-35.6232	0.0	15	1.0	1.0	1.0	0	0
1701909254470	t	attic_testcue_childrensroom_left	0.0	3	0	3.5738	769.824	685.6	1.0	3.317	846.288	896.48	1.0	0.1631	-0.2215	0.9614	6.5019	5.7582	-35.6187	0.0	15	1.0	1.0	1.0	0	0
1701909254478	t	attic_testcue_childrensroom_left	0.0	3	0	3.5773	770.2560000000001	685.12	1.0	3.3172	846.288	896.48	1.0	0.1622	-0.2211	0.9617	6.5205	5.7616	-35.6169	0.0	15	1.0	1.0	1.0	0	0
1701909254487	t	attic_testcue_childrensroom_left	0.0	3	0	3.5772	770.2560000000001	685.12	1.0	3.3171	846.432	896.48	1.0	0.162	-0.2217	0.9615	6.4897	5.7644	-35.62	0.0	15	1.0	1.0	1.0	0	0
1701909254495	t	attic_testcue_childrensroom_left	0.0	3	0	3.5781	770.4000000000001	685.12	1.0	3.3239	846.7199999999999	896.32	1.0	0.1614	-0.2224	0.9615	6.508	5.7698	-35.6183	0.0	15	1.0	1.0	1.0	0	0
1701909254503	t	attic_testcue_childrensroom_left	0.0	3	0	3.6102	766.656	685.12	1.0	3.323	844.272	894.2399999999999	1.0	0.1701	-0.2233	0.9598	6.4685	5.7887	-35.633	0.0	15	1.0	1.0	1.0	0	0
1701909254512	t	attic_testcue_childrensroom_left	0.0	3	0	3.6031	753.6959999999999	681.76	1.0	3.301	835.3439999999999	892.6399999999999	1.0	0.1942	-0.215	0.9571	5.8962	5.7853	-35.7207	0.0	15	1.0	1.0	1.0	0	0
1701909254520	t	attic_testcue_childrensroom_left	0.0	3	0	3.6273	743.472	677.76	1.0	3.5275	825.84	893.6	1.0	0.2138	-0.2112	0.9538	4.6969	5.7773	-35.8569	0.0	15	1.0	1.0	1.0	0	0
1701909254528	t	attic_testcue_childrensroom_left	0.0	3	0	3.4717	743.328	670.88	1.0	3.5526	819.3599999999999	891.84	1.0	0.2123	-0.1989	0.9567	4.0126	5.7747	-35.9237	0.0	15	1.0	1.0	1.0	0	0
1701909254537	t	attic_testcue_childrensroom_left	0.0	3	0	3.5437	738.1439999999999	668.64	1.0	3.4886	813.5999999999999	887.04	1.0	0.2258	-0.1929	0.9549	3.2083	5.7755	-36.0118	0.0	15	1.0	1.0	1.0	0	0
1701909254545	t	attic_testcue_childrensroom_left	0.0	3	0	3.5799	737.1360000000001	664.1600000000001	1.0	3.4744	811.584	885.92	1.0	0.2299	-0.1842	0.9556	2.8172	5.7719	-36.053	0.0	15	1.0	1.0	1.0	0	0
1701909254553	t	attic_testcue_childrensroom_left	0.0	3	0	3.6437	738.576	666.88	1.0	3.5179	812.4480000000001	885.92	1.0	0.226	-0.1896	0.9555	3.0784	5.7792	-36.0246	0.0	15	1.0	1.0	1.0	0	0
1701909254562	t	attic_testcue_childrensroom_left	0.0	3	0	3.5484	741.744	667.1999999999999	1.0	3.5433	813.168	885.92	1.0	0.2185	-0.1906	0.957	3.7941	5.7997	-35.9543	0.0	15	1.0	1.0	1.0	0	0
1701909254570	t	attic_testcue_childrensroom_left	0.0	3	0	3.5299	741.6	666.88	1.0	3.5424	812.88	886.0799999999999	1.0	0.22	-0.1899	0.9568	4.748	5.8277	-35.8626	0.0	15	1.0	1.0	1.0	0	0
1701909254578	t	attic_testcue_childrensroom_left	0.0	3	0	3.506	741.6	665.6	1.0	3.5418	812.592	885.92	1.0	0.2219	-0.1874	0.9569	7.8725	5.9225	-35.5689	0.0	15	1.0	1.0	1.0	0	0
1701909254587	t	attic_testcue_childrensroom_left	0.0	3	0	3.4814	741.6	666.88	1.0	3.5426	812.88	886.0799999999999	1.0	0.2208	-0.1901	0.9566	6.7784	5.8895	-35.6719	0.0	15	1.0	1.0	1.0	0	0
1701909254595	t	attic_testcue_childrensroom_left	0.0	3	0	3.4672	743.328	667.1999999999999	1.0	3.544	812.592	886.4000000000001	1.0	0.2165	-0.1911	0.9574	4.7546	5.8281	-35.8622	0.0	15	1.0	1.0	1.0	0	0
1701909254603	t	attic_testcue_childrensroom_left	0.0	3	0	3.4813	741.6	667.6800000000001	1.0	3.5467	812.88	886.5600000000001	1.0	0.2198	-0.1919	0.9565	4.2804	5.8136	-35.9071	0.0	15	1.0	1.0	1.0	0	0
1701909254612	t	attic_testcue_childrensroom_left	0.0	3	0	3.4875	741.6	667.1999999999999	1.0	3.5437	813.168	886.72	1.0	0.2195	-0.1912	0.9567	4.0569	5.8068	-35.9283	0.0	15	1.0	1.0	1.0	0	0
