Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701883365355	t	highway_testcue_river_right	0.0	15	0	4.157	515.232	582.08	1.0	4.0278	490.608	675.36	1.0	0.0094	0.0883	0.996	35.9156	6.8814	-34.855	0.0	12	1.0	1.0	1.0	100	MYKEYWORD 100
1701883365364	t	highway_testcue_river_right	0.0	15	0	4.1667	515.52	582.24	1.0	3.9951	487.44000000000005	676.9599999999999	1.0	0.0084	0.0884	0.996	35.0253	6.8508	-34.8152	0.0	12	1.0	1.0	1.0	0	0
1701883365372	t	highway_testcue_river_right	0.0	15	0	4.1676	515.376	587.04	1.0	4.063	488.88000000000005	677.44	1.0	0.0077	0.0754	0.9971	22.5335	6.4449	-34.2734	0.0	12	1.0	1.0	1.0	0	0
1701883365380	t	highway_testcue_river_right	0.0	15	0	4.241	515.952	586.4	1.0	4.062	490.176	678.56	1.0	0.0029	0.077	0.997	10.6788	6.0683	-33.767	0.0	12	1.0	1.0	1.0	0	0
1701883365389	t	highway_testcue_river_right	0.0	15	0	4.1294	519.696	592.48	1.0	4.1992	492.76800000000003	680.48	1.0	-0.0084	0.0629	0.998	14.0214	6.1727	-33.9402	0.0	12	1.0	1.0	1.0	0	0
1701883365397	t	highway_testcue_river_right	0.0	15	0	4.0809	516.528	595.04	1.0	4.0331	490.464	682.88	1.0	0.0042	0.0549	0.9985	13.252	6.1482	-33.9388	0.0	12	1.0	1.0	1.0	0	0
1701883365406	t	highway_testcue_river_right	0.0	15	0	4.1263	515.52	596.48	1.0	4.0984	492.76800000000003	680.0	1.0	0.0059	0.0556	0.9984	16.7423	6.247	-34.0722	0.0	12	1.0	1.0	1.0	0	0
1701883365414	t	highway_testcue_river_right	0.0	15	0	4.1301	518.256	595.2	1.0	4.1029	491.76000000000005	684.48	1.0	0.0015	0.0535	0.9986	24.478	6.4698	-34.345	0.0	12	1.0	1.0	1.0	0	0
1701883365422	t	highway_testcue_river_right	0.0	15	0	4.1022	518.4	596.0	1.0	4.1181	491.32800000000003	684.32	1.0	0.0032	0.0514	0.9987	28.0566	6.571	-34.46	0.0	12	1.0	1.0	1.0	0	0
1701883365431	t	highway_testcue_river_right	0.0	15	0	4.1601	519.264	595.52	1.0	4.0551	493.20000000000005	684.8	1.0	-0.0004	0.053	0.9986	24.7015	6.4665	-34.3157	0.0	12	1.0	1.0	1.0	0	0
1701883365439	t	highway_testcue_river_right	0.0	15	0	4.215	518.4	595.2	1.0	4.2574	492.76800000000003	683.6800000000001	1.0	0.0033	0.0553	0.9985	23.322	6.4299	-34.2835	0.0	12	1.0	1.0	1.0	0	0
1701883365447	t	highway_testcue_river_right	0.0	15	0	4.0034	519.12	598.08	1.0	4.2444	494.78400000000005	683.52	1.0	0.0043	0.0461	0.9989	28.3653	6.5911	-34.5333	0.0	12	1.0	1.0	1.0	0	0
1701883365455	t	highway_testcue_river_right	0.0	15	0	4.2142	518.112	596.3199999999999	1.0	4.1965	493.632	686.08	1.0	0.0067	0.0514	0.9986	33.0103	6.7513	-34.8165	0.0	12	1.0	1.0	1.0	0	0
1701883365464	t	highway_testcue_river_right	0.0	15	0	4.1927	518.688	595.52	1.0	4.0776	493.056	687.36	1.0	0.0047	0.0545	0.9985	34.2998	6.8005	-34.9218	0.0	12	1.0	1.0	1.0	0	0
1701883365472	t	highway_testcue_river_right	0.0	15	0	4.1458	518.112	597.12	1.0	4.0583	492.48	689.28	1.0	0.0061	0.0504	0.9987	34.0118	6.8031	-34.9962	0.0	12	1.0	1.0	1.0	0	0
1701883365480	t	highway_testcue_river_right	0.0	15	0	4.2221	519.84	595.36	1.0	4.1151	492.48	690.24	1.0	-0.0016	0.0565	0.9984	31.9286	6.7432	-34.9372	0.0	12	1.0	1.0	1.0	0	0
1701883365489	t	highway_testcue_river_right	0.0	15	0	4.2216	519.84	596.0	1.0	4.1723	493.488	691.04	1.0	-0.0014	0.0527	0.9986	25.3994	6.5319	-34.6276	0.0	12	1.0	1.0	1.0	0	0
1701883365497	t	highway_testcue_river_right	0.0	15	0	4.2195	519.84	596.64	1.0	4.1707	492.76800000000003	690.7199999999999	1.0	0.0002	0.0505	0.9987	10.4974	6.0605	-34.0059	0.0	12	1.0	1.0	1.0	0	0
1701883365505	t	highway_testcue_river_right	0.0	15	0	4.2676	518.688	598.4	1.0	4.2575	492.912	693.44	1.0	0.0027	0.0439	0.999	-3.6215	5.6101	-33.4452	0.0	12	1.0	1.0	1.0	0	0
1701883365514	t	highway_testcue_river_right	0.0	15	0	4.1784	518.112	603.6800000000001	1.0	4.1696	492.48	695.36	1.0	0.007	0.0317	0.9995	23.5789	6.5075	-34.7705	0.0	12	1.0	1.0	1.0	0	0
1701883365522	t	highway_testcue_river_right	0.0	15	0	4.1279	520.992	603.36	1.0	4.1431	491.472	695.84	1.0	-0.0035	0.0358	0.9993	27.8521	6.6034	-34.8692	0.0	12	1.0	1.0	1.0	0	0
1701883365530	t	highway_testcue_river_right	0.0	15	0	4.2566	515.808	604.48	1.0	4.1109	491.76000000000005	696.64	1.0	0.0128	0.0341	0.9993	35.6739	6.8336	-35.1742	0.0	12	1.0	1.0	1.0	0	0
1701883365539	t	highway_testcue_river_right	0.0	15	0	4.2331	516.672	603.6800000000001	1.0	4.1221	491.184	696.96	1.0	0.0085	0.0401	0.9991	35.9555	6.7909	-35.0325	0.0	12	1.0	1.0	1.0	0	0
1701883365546	t	highway_testcue_river_right	0.0	15	0	4.2499	516.384	604.8	1.0	4.1382	492.912	698.7199999999999	1.0	0.0086	0.0397	0.9992	35.9725	6.74	-34.8918	0.0	12	1.0	1.0	1.0	0	0
1701883365555	t	highway_testcue_river_right	0.0	15	0	4.1579	515.376	607.0400000000001	1.0	4.0782	491.616	698.56	1.0	0.0128	0.0335	0.9993	35.9778	6.7258	-34.8723	0.0	12	1.0	1.0	1.0	0	0
1701883365563	t	highway_testcue_river_right	0.0	15	0	4.2637	516.528	606.24	1.0	4.1426	491.32800000000003	699.04	1.0	0.0071	0.0383	0.9992	35.9689	6.7101	-34.8378	0.0	12	1.0	1.0	1.0	0	0
1701883365571	t	highway_testcue_river_right	0.0	15	0	4.1335	514.944	607.84	1.0	4.1706	491.616	699.6800000000001	1.0	0.0132	0.0343	0.9993	35.807	6.6752	-34.757	0.0	12	1.0	1.0	1.0	0	0
1701883365580	t	highway_testcue_river_right	0.0	15	0	4.2863	512.784	609.2800000000001	1.0	4.1889	491.76000000000005	700.48	1.0	0.0193	0.031	0.9993	34.5645	6.6407	-34.7516	0.0	12	1.0	1.0	1.0	0	0
1701883365588	t	highway_testcue_river_right	0.0	15	0	4.184	511.91999999999996	610.24	1.0	4.1096	490.89599999999996	702.88	1.0	0.0217	0.028	0.9994	33.9921	6.6218	-34.7425	0.0	12	1.0	1.0	1.0	0	0
1701883365596	t	highway_testcue_river_right	0.0	15	0	4.1758	513.648	611.0400000000001	1.0	4.1346	489.45599999999996	703.52	1.0	0.014	0.0268	0.9995	35.7348	6.677	-34.8432	0.0	12	1.0	1.0	1.0	0	0
1701883365605	t	highway_testcue_river_right	0.0	15	0	4.2064	512.928	613.44	1.0	4.0654	490.608	704.64	1.0	0.016	0.019	0.9997	35.9805	6.6787	-34.8523	0.0	12	1.0	1.0	1.0	0	0
1701883365613	t	highway_testcue_river_right	0.0	15	0	4.2064	512.352	613.28	1.0	4.1592	489.168	703.84	1.0	0.0186	0.0204	0.9996	36.0035	6.6674	-34.812	0.0	12	1.0	1.0	1.0	0	0
1701883365621	t	highway_testcue_river_right	0.0	15	0	4.1793	516.384	612.96	1.0	4.095	488.16	705.76	1.0	0.0074	0.0219	0.9997	35.9719	6.6551	-34.7713	0.0	12	1.0	1.0	1.0	0	0
1701883365630	t	highway_testcue_river_right	0.0	15	0	4.1176	533.232	614.24	1.0	4.0334	505.43999999999994	705.76	1.0	-0.0177	0.0173	0.9997	35.7155	6.7684	-35.2067	0.0	12	1.0	1.0	1.0	0	0
1701883365638	t	highway_testcue_river_right	0.0	15	0	4.2124	560.0160000000001	611.36	1.0	3.9018	521.136	702.88	1.0	-0.0674	0.034	0.9971	35.4321	6.5592	-34.4026	0.0	12	1.0	1.0	1.0	0	0
1701883365646	t	highway_testcue_river_right	0.0	15	0	4.066	582.768	610.4	1.0	4.0067	543.168	702.88	1.0	-0.0918	0.0316	0.9953	35.0421	6.7071	-34.8731	0.0	12	1.0	1.0	1.0	0	0
1701883365655	t	highway_testcue_river_right	0.0	15	0	4.1741	607.248	607.52	1.0	3.9969	564.768	702.08	1.0	-0.1418	0.0344	0.9893	34.7643	6.7611	-34.8879	0.0	12	1.0	1.0	1.0	0	0
1701883365663	t	highway_testcue_river_right	0.0	15	0	4.1287	619.488	606.56	1.0	3.8999	576.576	699.04	1.0	-0.1535	0.0349	0.9875	34.4428	6.8156	-35.0471	0.0	12	1.0	1.0	1.0	0	0
1701883365671	t	highway_testcue_river_right	0.0	15	0	4.0809	628.416	603.2	1.0	3.9252	581.616	699.6800000000001	1.0	-0.1686	0.0449	0.9847	34.0533	6.7618	-34.7923	0.0	12	1.0	1.0	1.0	0	0
1701883365680	t	highway_testcue_river_right	0.0	15	0	4.0517	629.856	604.0	1.0	3.771	584.64	704.0	1.0	-0.1689	0.0374	0.9849	31.8432	6.7552	-34.8957	0.0	12	1.0	1.0	1.0	0	0
1701883365688	t	highway_testcue_river_right	0.0	15	0	3.983	629.856	603.04	1.0	3.8287	585.216	706.88	1.0	-0.1695	0.0379	0.9848	26.8005	6.5644	-34.5792	0.0	12	1.0	1.0	1.0	0	0
1701883365696	t	highway_testcue_river_right	0.0	15	0	4.112	631.0079999999999	604.0	1.0	3.941	589.68	704.64	1.0	-0.1765	0.0173	0.9841	-6.6854	5.5824	-33.4405	0.0	12	1.0	1.0	1.0	0	0
1701883365705	t	highway_testcue_river_right	0.0	15	0	3.9483	627.264	608.48	1.0	3.8739	585.792	702.88	1.0	-0.1593	0.0194	0.987	-3.3019	5.6588	-33.5331	0.0	12	1.0	1.0	1.0	0	0
1701883365713	t	highway_testcue_river_right	0.0	15	0	4.1584	627.264	607.0400000000001	1.0	3.7594	580.32	710.0799999999999	1.0	-0.1514	0.0073	0.9884	1.0951	5.7896	-33.6867	0.0	12	1.0	1.0	1.0	0	0
1701883365721	t	highway_testcue_river_right	0.0	15	0	4.0458	621.504	604.0	1.0	3.6282	578.592	713.92	1.0	-0.1344	-0.0199	0.9907	-18.0279	5.2456	-33.0881	0.0	12	1.0	1.0	1.0	0	0
1701883365730	t	highway_testcue_river_right	0.0	15	0	4.1506	617.616	606.88	1.0	3.9363	582.336	704.0	1.0	-0.1519	0.0128	0.9883	-18.939	5.2168	-33.0752	0.0	12	1.0	1.0	1.0	0	0
1701883365738	t	highway_testcue_river_right	0.0	15	0	3.9861	611.856	606.88	1.0	3.8875	579.456	705.92	1.0	-0.1482	0.0049	0.9889	-20.6908	5.1605	-32.9874	0.0	12	1.0	1.0	1.0	0	0
1701883365747	t	highway_testcue_river_right	0.0	15	0	4.1243	610.272	604.8	1.0	4.0214	579.312	703.36	1.0	-0.1498	0.0145	0.9886	-21.2681	5.1431	-32.9684	0.0	12	1.0	1.0	1.0	0	0
1701883365755	t	highway_testcue_river_right	0.0	15	0	4.1627	607.824	607.2	1.0	4.113	576.0	695.04	1.0	-0.1469	0.0435	0.9882	-22.8547	5.098	-32.9518	0.0	12	1.0	1.0	1.0	0	0
1701883365763	t	highway_testcue_river_right	0.0	15	0	4.0109	603.792	607.36	1.0	3.912	575.2800000000001	701.2800000000001	1.0	-0.1511	0.0225	0.9883	-23.3953	5.0681	-32.9049	0.0	12	1.0	1.0	1.0	0	0
1701883365772	t	highway_testcue_river_right	0.0	15	0	4.0812	602.64	610.24	1.0	4.02	570.384	700.0	1.0	-0.1384	0.0276	0.99	-25.666	4.9991	-32.8482	0.0	12	1.0	1.0	1.0	0	0
1701883365780	t	highway_testcue_river_right	0.0	15	0	4.1257	600.336	609.6	1.0	3.7941	564.9119999999999	704.16	1.0	-0.1157	0.0081	0.9932	-26.1987	4.9884	-32.8159	0.0	12	1.0	1.0	1.0	0	0
1701883365788	t	highway_testcue_river_right	0.0	15	0	4.0695	595.872	611.84	1.0	3.9263	560.592	707.36	1.0	-0.1061	-0.0041	0.9943	-26.6959	4.976	-32.8084	0.0	12	1.0	1.0	1.0	0	0
1701883365797	t	highway_testcue_river_right	0.0	15	0	4.14	592.272	613.76	1.0	3.9707	561.024	705.2800000000001	1.0	-0.1102	0.0052	0.9939	-26.6649	4.975	-32.8252	0.0	12	1.0	1.0	1.0	0	0
1701883365805	t	highway_testcue_river_right	0.0	15	0	4.0429	590.976	611.36	1.0	3.9669	557.568	705.92	1.0	-0.1017	0.0041	0.9948	-24.8226	5.0262	-32.8994	0.0	12	1.0	1.0	1.0	0	0
1701883365813	t	highway_testcue_river_right	0.0	15	0	4.0626	586.8	614.72	1.0	4.0043	555.84	704.3199999999999	1.0	-0.1045	0.0209	0.9943	-25.3451	4.9564	-32.8817	0.0	12	1.0	1.0	1.0	0	0
1701883365822	t	highway_testcue_river_right	0.0	15	0	4.007	584.0640000000001	612.64	1.0	3.9309	555.264	707.52	1.0	-0.1024	-0.0009	0.9947	-26.6288	4.9798	-32.8976	0.0	12	1.0	1.0	1.0	0	0
1701883365830	t	highway_testcue_river_right	0.0	15	0	4.0391	580.32	613.92	1.0	3.9554	552.816	707.0400000000001	1.0	-0.1002	0.0123	0.9949	-26.9486	4.9211	-32.9107	0.0	12	1.0	1.0	1.0	0	0
1701883365838	t	highway_testcue_river_right	0.0	15	0	4.0975	578.304	614.88	1.0	3.8835	550.8	708.3199999999999	1.0	-0.0968	0.0071	0.9953	-26.7538	4.9358	-32.9587	0.0	12	1.0	1.0	1.0	0	0
1701883365847	t	highway_testcue_river_right	0.0	15	0	3.9744	575.712	615.2	1.0	4.0022	551.664	704.96	1.0	-0.1003	0.0203	0.9948	-26.6029	4.9223	-32.8951	0.0	12	1.0	1.0	1.0	0	0
1701883365855	t	highway_testcue_river_right	0.0	15	0	4.0194	574.5600000000001	617.44	1.0	3.8563	547.4879999999999	707.0400000000001	1.0	-0.0863	0.0108	0.9962	-26.1253	4.9854	-33.093	0.0	12	1.0	1.0	1.0	0	0
1701883365864	t	highway_testcue_river_right	0.0	15	0	4.1013	574.2719999999999	620.0	1.0	3.9063	546.768	707.0400000000001	1.0	-0.0838	0.01	0.9964	-25.8881	4.9998	-33.1262	0.0	12	1.0	1.0	1.0	0	0
1701883365872	t	highway_testcue_river_right	0.0	15	0	4.0638	572.4	619.0400000000001	1.0	3.8928	548.208	708.0	1.0	-0.0903	0.0091	0.9959	-23.8224	5.0434	-33.1777	0.0	12	1.0	1.0	1.0	0	0
1701883365880	t	highway_testcue_river_right	0.0	15	0	4.0212	569.808	619.68	1.0	3.8666	543.6	710.88	1.0	-0.0702	0.0125	0.9975	13.042	6.0329	-34.3236	0.0	12	1.0	1.0	1.0	0	0
1701883365888	t	highway_testcue_river_right	0.0	15	0	4.0928	571.104	621.12	1.0	3.9518	540.288	709.92	1.0	-0.078	0.0198	0.9967	32.683	6.464	-34.6284	0.0	12	1.0	1.0	1.0	0	0
1701883365896	t	highway_testcue_river_right	0.0	15	0	4.0451	568.08	622.4	1.0	3.8821	536.1120000000001	712.3199999999999	1.0	-0.0707	0.0188	0.9973	35.1065	6.4723	-34.5392	0.0	12	1.0	1.0	1.0	0	0
1701883365905	t	highway_testcue_river_right	0.0	15	0	4.0307	567.648	620.96	1.0	4.0362	538.704	711.84	1.0	-0.0738	0.0251	0.9969	35.3679	6.4941	-34.6334	0.0	12	1.0	1.0	1.0	0	0
1701883365913	t	highway_testcue_river_right	0.0	15	0	4.0484	563.04	622.0799999999999	1.0	3.9905	533.664	713.44	1.0	-0.0593	0.0227	0.998	35.3607	6.4608	-34.5482	0.0	12	1.0	1.0	1.0	0	0
1701883365921	t	highway_testcue_river_right	0.0	15	0	4.1476	556.416	623.0400000000001	1.0	4.0338	531.072	713.28	1.0	-0.0411	0.0213	0.9989	35.3895	6.4073	-34.3624	0.0	12	1.0	1.0	1.0	0	0
1701883365930	t	highway_testcue_river_right	0.0	15	0	4.1442	555.84	622.88	1.0	4.0233	528.624	715.0400000000001	1.0	-0.0469	0.0217	0.9987	35.2715	6.4151	-34.4117	0.0	12	1.0	1.0	1.0	0	0
1701883365938	t	highway_testcue_river_right	0.0	15	0	4.065	550.944	623.2	1.0	4.1149	526.4639999999999	713.44	1.0	-0.035	0.0192	0.9992	33.8006	6.4082	-34.5029	0.0	12	1.0	1.0	1.0	0	0
1701883365947	t	highway_testcue_river_right	0.0	15	0	4.1278	547.7760000000001	624.3199999999999	1.0	4.0056	522.288	715.52	1.0	-0.0263	0.0079	0.9996	22.0168	6.2402	-34.6867	0.0	12	1.0	1.0	1.0	0	0
1701883365955	t	highway_testcue_river_right	0.0	15	0	4.096	546.912	626.5600000000001	1.0	3.9023	516.24	714.72	1.0	-0.0259	0.0026	0.9996	12.569	5.9349	-34.2506	0.0	12	1.0	1.0	1.0	0	0
1701883365964	t	highway_testcue_river_right	0.0	15	0	4.1126	548.496	624.16	1.0	4.0134	518.688	715.2	1.0	-0.0208	-0.0031	0.9998	-5.4864	5.5743	-34.1017	0.0	12	1.0	1.0	1.0	0	0
1701883365972	t	highway_testcue_river_right	0.0	15	0	4.0446	569.232	613.92	1.0	4.0386	533.808	705.2800000000001	1.0	-0.0588	0.015	0.9982	-15.4029	5.4335	-33.9619	0.0	12	1.0	1.0	1.0	0	0
1701883365980	t	highway_testcue_river_right	0.0	15	0	3.9432	585.648	606.72	1.0	3.9314	547.056	685.9200000000001	1.0	-0.0947	0.0639	0.9934	-6.6737	5.6271	-33.8161	0.0	12	1.0	1.0	1.0	0	0
1701883365989	t	highway_testcue_river_right	0.0	15	0	4.1743	598.6080000000001	592.0	1.0	3.9184	547.7760000000001	676.9599999999999	1.0	-0.1	0.0797	0.9918	-0.2857	5.8947	-33.9208	0.0	12	1.0	1.0	1.0	0	0
1701883365997	t	highway_testcue_river_right	0.0	15	0	4.0713	600.912	586.88	1.0	4.1484	558.72	666.88	1.0	-0.1221	0.0958	0.9879	10.4463	6.2019	-34.1114	0.0	12	1.0	1.0	1.0	0	0
1701883366005	t	highway_testcue_river_right	0.0	15	0	4.2136	604.2239999999999	582.72	1.0	4.0157	562.752	668.32	1.0	-0.1377	0.0915	0.9862	-1.8218	5.9445	-33.7858	0.0	12	1.0	1.0	1.0	0	0
1701883366013	t	highway_testcue_river_right	0.0	15	0	4.167	604.368	580.16	1.0	3.8926	560.88	663.04	1.0	-0.1334	0.1032	0.9857	-3.8035	5.9147	-33.7539	0.0	12	1.0	1.0	1.0	0	0
1701883366022	t	highway_testcue_river_right	0.0	15	0	4.1043	601.92	579.1999999999999	1.0	4.0657	560.0160000000001	659.68	1.0	-0.1301	0.1139	0.9849	-6.3779	5.8599	-33.7438	0.0	12	1.0	1.0	1.0	0	0
1701883366030	t	highway_testcue_river_right	0.0	15	0	3.8992	595.152	581.28	1.0	3.8795	554.832	662.24	1.0	-0.1114	0.1053	0.9882	-13.4321	5.683	-33.5837	0.0	12	1.0	1.0	1.0	0	0
1701883366038	t	highway_testcue_river_right	0.0	15	0	4.0982	591.984	580.64	1.0	4.0351	549.936	660.48	1.0	-0.1023	0.1142	0.9882	-8.8792	5.7725	-33.678	0.0	12	1.0	1.0	1.0	0	0
1701883366047	t	highway_testcue_river_right	0.0	15	0	4.1873	584.928	580.32	1.0	3.9169	546.192	668.32	1.0	-0.0903	0.0948	0.9914	-1.567	5.9573	-33.8926	0.0	12	1.0	1.0	1.0	0	0
1701883366055	t	highway_testcue_river_right	0.0	15	0	4.1956	581.904	581.12	1.0	4.0389	547.4879999999999	660.32	1.0	-0.0979	0.116	0.9884	-18.3021	5.5555	-33.5105	0.0	12	1.0	1.0	1.0	0	0
