Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701980269072	t	highway_testcue_river_left	0.0	19	0	3.6762	759.8879999999999	870.4000000000001	1.0	3.7493	775.2959999999999	989.4399999999999	1.0	-0.1568	0.044	0.9866	-7.9919	1.0052	-34.2682	0.0	19	1.0	1.0	1.0	100	MYKEYWORD 100
1701980269081	t	highway_testcue_river_left	0.0	19	0	3.6983	760.032	868.4799999999999	1.0	3.7474	773.568	989.4399999999999	1.0	-0.1536	0.0457	0.9871	-8.3844	0.9988	-34.2708	0.0	19	1.0	1.0	1.0	0	0
1701980269089	t	highway_testcue_river_left	0.0	19	0	3.7326	760.608	866.56	1.0	3.7474	773.2800000000001	989.6000000000001	1.0	-0.1553	0.0471	0.9867	-7.8703	1.0227	-34.2888	0.0	19	1.0	1.0	1.0	0	0
1701980269098	t	highway_testcue_river_left	0.0	19	0	3.7042	759.456	867.84	1.0	3.7463	771.696	989.4399999999999	1.0	-0.1504	0.0455	0.9876	-7.2657	1.0367	-34.2839	0.0	19	1.0	1.0	1.0	0	0
1701980269106	t	highway_testcue_river_left	0.0	19	0	3.6811	759.456	869.12	1.0	3.7186	771.12	989.4399999999999	1.0	-0.1502	0.0431	0.9877	-7.2585	1.0405	-34.2911	0.0	19	1.0	1.0	1.0	0	0
1701980269114	t	highway_testcue_river_left	0.0	19	0	3.7031	759.456	868.16	1.0	3.698	770.832	989.4399999999999	1.0	-0.1509	0.0442	0.9876	-7.1417	1.043	-34.2854	0.0	19	1.0	1.0	1.0	0	0
1701980269122	t	highway_testcue_river_left	0.0	19	0	3.7113	758.88	868.8000000000001	1.0	3.6965	769.392	989.4399999999999	1.0	-0.1472	0.043	0.9882	-7.1031	1.0432	-34.2801	0.0	19	1.0	1.0	1.0	0	0
1701980269131	t	highway_testcue_river_left	0.0	19	0	3.701	758.304	869.6	1.0	3.6947	768.96	989.28	1.0	-0.1469	0.0421	0.9883	-6.8028	1.0495	-34.2716	0.0	19	1.0	1.0	1.0	0	0
1701980269139	t	highway_testcue_river_left	0.0	19	0	3.7103	758.016	869.28	1.0	3.6456	768.816	988.9599999999999	1.0	-0.147	0.0436	0.9882	-5.092	1.0893	-34.2634	0.0	19	1.0	1.0	1.0	0	0
1701980269147	t	highway_testcue_river_left	0.0	19	0	3.7014	757.872	869.6	1.0	3.6362	768.5279999999999	989.28	1.0	-0.1465	0.0439	0.9882	-1.5291	1.1731	-34.2523	0.0	19	1.0	1.0	1.0	0	0
1701980269156	t	highway_testcue_river_left	0.0	19	0	3.6956	757.5840000000001	869.76	1.0	3.6264	764.3520000000001	988.9599999999999	1.0	-0.1383	0.0442	0.9894	-1.0033	1.177	-34.2268	0.0	19	1.0	1.0	1.0	0	0
1701980269164	t	highway_testcue_river_left	0.0	19	0	3.6437	754.272	871.52	1.0	3.623	764.208	988.64	1.0	-0.1342	0.0433	0.99	-4.9177	1.0579	-34.1938	0.0	19	1.0	1.0	1.0	0	0
1701980269173	t	highway_testcue_river_left	0.0	19	0	3.7453	753.552	872.48	1.0	3.6099	762.048	988.48	1.0	-0.1294	0.0403	0.9908	-9.9039	0.9458	-34.2201	0.0	19	1.0	1.0	1.0	0	0
1701980269181	t	highway_testcue_river_left	0.0	19	0	3.6883	753.264	871.84	1.0	3.6042	761.904	988.64	1.0	-0.1292	0.0392	0.9908	-13.1674	0.8729	-34.2354	0.0	19	1.0	1.0	1.0	0	0
1701980269190	t	highway_testcue_river_left	0.0	19	0	3.7089	752.8320000000001	871.1999999999999	1.0	3.5955	761.328	988.9599999999999	1.0	-0.1282	0.0381	0.991	-15.0388	0.8295	-34.2388	0.0	19	1.0	1.0	1.0	0	0
1701980269198	t	highway_testcue_river_left	0.0	19	0	3.7203	752.6880000000001	871.1999999999999	1.0	3.5952	760.752	988.9599999999999	1.0	-0.1272	0.0382	0.9911	-15.5363	0.8165	-34.2399	0.0	19	1.0	1.0	1.0	0	0
1701980269206	t	highway_testcue_river_left	0.0	19	0	3.7109	749.52	871.3599999999999	1.0	3.4859	753.264	989.4399999999999	1.0	-0.1086	0.038	0.9933	-16.9493	0.7379	-34.1475	0.0	19	1.0	1.0	1.0	0	0
1701980269215	t	highway_testcue_river_left	0.0	19	0	3.7006	748.5120000000001	872.1600000000001	1.0	3.5701	754.848	991.5200000000001	1.0	-0.1151	0.031	0.9929	-19.793	0.6643	-34.1328	0.0	19	1.0	1.0	1.0	0	0
1701980269223	t	highway_testcue_river_left	0.0	19	0	3.7019	745.7760000000001	872.1600000000001	1.0	3.4434	753.552	991.36	1.0	-0.1118	0.026	0.9934	-27.9694	0.4776	-34.1709	0.0	19	1.0	1.0	1.0	0	0
1701980269231	t	highway_testcue_river_left	0.0	19	0	3.7115	745.7760000000001	870.0799999999999	1.0	3.4925	752.112	990.7199999999999	1.0	-0.1085	0.0279	0.9937	-30.8766	0.408	-34.1842	0.0	19	1.0	1.0	1.0	0	0
1701980269240	t	highway_testcue_river_left	0.0	19	0	3.6502	743.76	871.52	1.0	3.4016	750.096	990.7199999999999	1.0	-0.1043	0.0281	0.9941	-31.4208	0.3657	-34.1074	0.0	19	1.0	1.0	1.0	0	0
1701980269248	t	highway_testcue_river_left	0.0	19	0	3.7231	743.616	871.68	1.0	3.5426	749.088	992.0	1.0	-0.1028	0.0252	0.9944	-31.4031	0.3538	-34.0835	0.0	19	1.0	1.0	1.0	0	0
1701980269256	t	highway_testcue_river_left	0.0	19	0	3.744	742.1759999999999	872.9599999999999	1.0	3.5074	748.944	992.0	1.0	-0.1046	0.0258	0.9942	-30.6218	0.3942	-34.1624	0.0	19	1.0	1.0	1.0	0	0
1701980269265	t	highway_testcue_river_left	0.0	19	0	3.7572	738.72	873.76	1.0	3.5656	748.2239999999999	995.36	1.0	-0.1036	0.0152	0.9945	-28.6715	0.4493	-34.1888	0.0	19	1.0	1.0	1.0	0	0
1701980269273	t	highway_testcue_river_left	0.0	19	0	3.7463	739.1519999999999	874.08	1.0	3.4556	745.0559999999999	993.28	1.0	-0.0942	0.0218	0.9953	-26.6694	0.5127	-34.2352	0.0	19	1.0	1.0	1.0	0	0
1701980269282	t	highway_testcue_river_left	0.0	19	0	3.7009	738.1439999999999	872.8	1.0	3.5448	742.8960000000001	991.6800000000001	1.0	-0.0883	0.0295	0.9957	-25.1221	0.5356	-34.1992	0.0	19	1.0	1.0	1.0	0	0
1701980269290	t	highway_testcue_river_left	0.0	19	0	3.7666	736.1279999999999	876.3199999999999	1.0	3.5405	742.3199999999999	994.4000000000001	1.0	-0.0903	0.0195	0.9957	-25.2622	0.4882	-34.0635	0.0	19	1.0	1.0	1.0	0	0
1701980269298	t	highway_testcue_river_left	0.0	19	0	3.687	732.672	874.08	1.0	3.5114	741.0239999999999	994.5600000000001	1.0	-0.0851	0.0196	0.9962	-20.6686	0.7079	-34.386	0.0	19	1.0	1.0	1.0	0	0
1701980269306	t	highway_testcue_river_left	0.0	19	0	3.5992	729.792	873.76	1.0	3.6705	740.0160000000001	996.64	1.0	-0.0824	0.0247	0.9963	-5.9162	0.9986	-34.1638	0.0	19	1.0	1.0	1.0	0	0
1701980269314	t	highway_testcue_river_left	0.0	19	0	3.7218	734.976	873.1199999999999	1.0	3.5263	742.3199999999999	994.72	1.0	-0.0914	0.0458	0.9948	20.7116	1.5389	-33.8017	0.0	19	1.0	1.0	1.0	0	0
1701980269323	t	highway_testcue_river_left	0.0	19	0	3.5987	749.664	869.28	1.0	3.4985	756.144	991.6800000000001	1.0	-0.1149	0.0423	0.9925	14.4523	1.5658	-34.1952	0.0	19	1.0	1.0	1.0	0	0
1701980269331	t	highway_testcue_river_left	0.0	19	0	3.6569	771.5520000000001	863.04	1.0	3.576	783.2160000000001	987.8399999999999	1.0	-0.1607	0.0568	0.9854	13.805	1.5672	-34.0824	0.0	19	1.0	1.0	1.0	0	0
1701980269340	t	highway_testcue_river_left	0.0	19	0	3.6555	799.2	855.6800000000001	1.0	3.6656	809.2800000000001	984.3199999999999	1.0	-0.2089	0.0742	0.9751	21.2609	1.8269	-34.0689	0.0	19	1.0	1.0	1.0	0	0
1701980269348	t	highway_testcue_river_left	0.0	19	0	3.7919	830.448	851.68	1.0	3.7419	834.48	985.28	1.0	-0.2685	0.0856	0.9595	23.6826	1.9606	-34.1656	0.0	19	1.0	1.0	1.0	0	0
1701980269356	t	highway_testcue_river_left	0.0	19	0	3.8609	855.5039999999999	852.6400000000001	1.0	3.7847	855.936	984.16	1.0	-0.3088	0.0865	0.9472	24.265	2.0062	-34.2304	0.0	19	1.0	1.0	1.0	0	0
1701980269364	t	highway_testcue_river_left	0.0	19	0	3.7314	877.9680000000001	850.7199999999999	1.0	3.8082	873.504	983.2	1.0	-0.3499	0.0956	0.9319	22.4687	1.9869	-34.3224	0.0	19	1.0	1.0	1.0	0	0
1701980269372	t	highway_testcue_river_left	0.0	19	0	3.9596	899.712	856.64	1.0	3.8905	890.928	986.88	1.0	-0.3972	0.0736	0.9148	-12.2162	1.1006	-34.601	0.0	19	1.0	1.0	1.0	0	0
1701980269381	t	highway_testcue_river_left	0.0	19	0	3.7632	913.9680000000001	855.3599999999999	1.0	3.8354	910.3679999999999	995.2	1.0	-0.4144	0.092	0.9054	18.8198	1.8782	-34.4822	0.0	19	1.0	1.0	1.0	0	0
1701980269390	t	highway_testcue_river_left	0.0	19	0	3.9323	933.6959999999999	860.3199999999999	1.0	3.8306	923.472	994.5600000000001	1.0	-0.4569	0.0961	0.8843	29.3904	2.1398	-34.4894	0.0	19	1.0	1.0	1.0	0	0
1701980269398	t	highway_testcue_river_left	0.0	19	0	3.9565	933.9839999999999	861.4399999999999	1.0	3.7621	924.336	993.76	1.0	-0.4576	0.0902	0.8846	22.4428	1.9599	-34.5362	0.0	19	1.0	1.0	1.0	0	0
1701980269406	t	highway_testcue_river_left	0.0	19	0	3.8828	925.1999999999999	860.6400000000001	1.0	3.73	921.744	995.36	1.0	-0.4427	0.0832	0.8928	13.8385	1.7357	-34.5591	0.0	19	1.0	1.0	1.0	0	0
1701980269415	t	highway_testcue_river_left	0.0	19	0	3.7133	919.1519999999999	858.7199999999999	1.0	3.8004	918.1439999999999	998.7199999999999	1.0	-0.4315	0.0834	0.8982	11.6383	1.6639	-34.5554	0.0	19	1.0	1.0	1.0	0	0
1701980269423	t	highway_testcue_river_left	0.0	19	0	3.7531	912.2399999999999	860.3199999999999	1.0	3.7023	914.1120000000001	999.3600000000001	1.0	-0.4189	0.0761	0.9048	12.4478	1.6798	-34.5155	0.0	19	1.0	1.0	1.0	0	0
1701980269431	t	highway_testcue_river_left	0.0	19	0	3.6752	909.504	859.68	1.0	3.7424	910.656	998.88	1.0	-0.4175	0.0732	0.9057	8.4286	1.5793	-34.5299	0.0	19	1.0	1.0	1.0	0	0
1701980269440	t	highway_testcue_river_left	0.0	19	0	3.887	904.896	860.96	1.0	3.8629	906.912	997.28	1.0	-0.4136	0.0697	0.9078	3.0561	1.4353	-34.5475	0.0	19	1.0	1.0	1.0	0	0
1701980269448	t	highway_testcue_river_left	0.0	19	0	3.9401	899.136	862.88	1.0	3.731	902.016	1000.16	1.0	-0.4062	0.0571	0.912	-3.7478	1.243	-34.5651	0.0	19	1.0	1.0	1.0	0	0
1701980269456	t	highway_testcue_river_left	0.0	19	0	3.8768	896.832	864.1600000000001	1.0	3.7672	897.984	1000.16	1.0	-0.4008	0.0537	0.9146	-5.3633	1.1936	-34.5595	0.0	19	1.0	1.0	1.0	0	0
1701980269465	t	highway_testcue_river_left	0.0	19	0	3.7849	892.224	864.8	1.0	3.8734	893.808	998.08	1.0	-0.3923	0.0548	0.9182	-5.5556	1.1886	-34.5424	0.0	19	1.0	1.0	1.0	0	0
1701980269473	t	highway_testcue_river_left	0.0	19	0	3.7646	887.472	864.1600000000001	1.0	3.7785	891.072	999.3600000000001	1.0	-0.3881	0.0506	0.9202	-4.2842	1.2229	-34.5145	0.0	19	1.0	1.0	1.0	0	0
