Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701714878978	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.484	759.456	634.0799999999999	1.0	3.462	671.76	753.28	1.0	-0.0174	-0.2909	0.9566	-9.0074	7.8808	-39.4348	0.0	2	1.0	1.0	1.0	100	MYKEYWORD 100
1701714878986	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.1707	759.024	640.8000000000001	1.0	3.4854	671.184	753.76	1.0	-0.0153	-0.2996	0.9539	-8.9156	7.8917	-39.4323	0.0	2	1.0	1.0	1.0	0	0
1701714878994	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.4529	762.192	634.0799999999999	1.0	3.4617	671.76	753.28	1.0	-0.021	-0.2939	0.9556	-6.8179	7.9605	-39.4161	0.0	2	1.0	1.0	1.0	0	0
1701714879003	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.3616	759.5999999999999	634.5600000000001	1.0	3.4579	671.184	752.1600000000001	1.0	-0.0163	-0.2947	0.9554	-8.6828	7.9214	-39.4311	0.0	2	1.0	1.0	1.0	0	0
1701714879011	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.4149	757.5840000000001	631.36	1.0	3.4164	671.76	749.76	1.0	-0.0168	-0.2886	0.9573	-8.8321	7.9285	-39.4297	0.0	2	1.0	1.0	1.0	0	0
1701714879019	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.3794	758.88	633.28	1.0	3.276	672.048	749.4399999999999	1.0	-0.0206	-0.2921	0.9561	-8.751	7.943	-39.4264	0.0	2	1.0	1.0	1.0	0	0
1701714879028	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.3959	757.0079999999999	632.48	1.0	3.4604	670.032	747.2	1.0	-0.0142	-0.2881	0.9575	-8.7515	7.95	-39.4231	0.0	2	1.0	1.0	1.0	0	0
1701714879036	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.4002	757.44	632.96	1.0	3.4442	671.184	748.0	1.0	-0.0189	-0.2914	0.9564	-8.5897	7.9593	-39.4199	0.0	2	1.0	1.0	1.0	0	0
1701714879044	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.3962	757.0079999999999	632.48	1.0	3.4339	670.896	747.68	1.0	-0.0188	-0.29	0.9568	-8.596	7.9578	-39.4191	0.0	2	1.0	1.0	1.0	0	0
1701714879053	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.4003	756.8639999999999	632.8000000000001	1.0	3.4237	670.752	747.36	1.0	-0.0183	-0.2898	0.9569	-7.8614	7.9784	-39.4135	0.0	2	1.0	1.0	1.0	0	0
1701714879061	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.401	756.7199999999999	632.64	0.7373	3.4208	670.752	747.68	0.9995	-0.0188	-0.29	0.9568	-8.0623	7.9716	-39.4157	0.0	2	1.0	1.0	1.0	0	0
1701714879069	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.4027	756.8639999999999	632.96	0.7373	3.4178	670.752	747.36	0.9995	-0.0194	-0.2893	0.957	-7.42	7.9876	-39.4113	0.0	2	1.0	1.0	1.0	0	0
1701714879078	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.4007	757.0079999999999	633.28	1.0	3.4009	670.752	747.68	1.0	-0.0202	-0.2898	0.9569	-7.4113	7.9856	-39.4117	0.0	2	1.0	1.0	1.0	0	0
1701714879086	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.4023	756.8639999999999	632.96	1.0	3.3837	670.752	748.0	1.0	-0.0204	-0.2898	0.9569	-7.553	7.9794	-39.4128	0.0	2	1.0	1.0	1.0	0	0
1701714879095	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.4008	757.0079999999999	633.28	0.73	3.3915	670.464	748.32	0.9946	-0.0207	-0.2905	0.9566	-8.2454	7.9582	-39.4182	0.0	2	1.0	1.0	1.0	0	0
1701714879103	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.3984	756.8639999999999	632.96	0.73	3.3995	670.32	748.1600000000001	0.9946	-0.0205	-0.2897	0.9569	-8.3105	7.9552	-39.419	0.0	2	1.0	1.0	1.0	0	0
1701714879111	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.396	756.7199999999999	633.28	0.7294	3.3785	670.032	747.36	0.9831	-0.0273	-0.2895	0.9568	-8.2891	7.9595	-39.4109	0.0	2	1.0	1.0	1.0	0	0
1701714879119	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.1994	753.6959999999999	638.4000000000001	0.7294	3.4309	669.312	747.68	0.9831	-0.0225	-0.2947	0.9553	-8.6078	7.9491	-39.4202	0.0	2	1.0	1.0	1.0	0	0
1701714879127	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.2327	752.976	635.36	0.7078	3.4348	668.88	746.5600000000001	0.9863	-0.0248	-0.2895	0.9568	-8.6592	7.9486	-39.42	0.0	2	1.0	1.0	1.0	0	0
1701714879136	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.4974	752.544	632.16	0.7098	3.4212	668.016	746.5600000000001	0.9864	-0.026	-0.2883	0.9572	-8.7136	7.9555	-39.4197	0.0	2	1.0	1.0	1.0	0	0
1701714879144	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.187	752.6880000000001	636.32	0.7116	3.4087	667.44	746.72	0.9697	-0.029	-0.2935	0.9555	-8.7681	7.9573	-39.4183	0.0	2	1.0	1.0	1.0	0	0
1701714879152	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.4129	751.392	636.16	0.7116	3.4071	664.2719999999999	749.76	0.9697	-0.0264	-0.3008	0.9533	-8.4628	7.9668	-39.4126	0.0	2	1.0	1.0	1.0	0	0
1701714879161	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.2712	747.648	637.28	0.7054	3.3214	664.4159999999999	743.8399999999999	0.9412	-0.0319	-0.2914	0.9561	-8.3066	7.9819	-39.4129	0.0	2	1.0	1.0	1.0	0	0
1701714879169	t	terrace_testcue_cocktaillounge_left	0.0	12	0	3.2033	744.48	640.64	0.7054	3.3164	659.088	744.96	0.9412	-0.0272	-0.2998	0.9536	-9.4279	7.9644	-39.417	0.0	2	1.0	1.0	1.0	0	0
1701714879177	t	terrace_testcue_cocktaillounge_left	0.0	12	0	2.7169	730.3679999999999	655.68	0.7041	3.32	646.1279999999999	745.12	0.9149	-0.0084	-0.3241	0.946	-9.8485	8.0032	-39.4069	0.0	2	1.0	1.0	1.0	0	0
1701714879185	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	711.36	628.0	0.7041	3.0147	612.72	747.2	0.9149	0.0468	-0.3304	0.9427	-28.9622	7.5694	-39.5199	0.0	2	1.0	1.0	1.0	0	0
1701714879194	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	691.488	630.72	0.5764	2.8674	590.544	744.64	0.8021	0.0659	-0.34	0.9381	-28.6446	7.6596	-39.506	0.0	2	1.0	1.0	1.0	0	0
1701714879203	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	662.4	631.2	0.5764	3.2104	554.976	727.84	0.8021	0.1311	-0.3049	0.9433	-28.2878	7.7631	-39.5204	0.0	2	1.0	1.0	1.0	0	0
1701714879211	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	621.936	595.2	0.3572	2.8315	524.448	713.44	0.6152	0.1818	-0.2701	0.9455	-27.9852	7.843	-39.5656	0.0	2	1.0	1.0	1.0	0	0
1701714879220	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	590.4	602.4	0.3572	3.7357	494.64000000000004	687.04	0.6152	0.2356	-0.1911	0.9529	-27.6616	7.9019	-39.6353	0.0	2	1.0	1.0	1.0	0	0
1701714879227	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	-1440.0	-1600.0	0.3157	3.7773	468.144	687.04	0.5377	0.2608	-0.1967	0.9451	-27.3035	7.9455	-39.6958	0.0	2	1.0	1.0	1.0	0	0
1701714879235	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	-1440.0	-1600.0	0.3157	3.7606	444.52799999999996	676.9599999999999	0.5377	0.2969	-0.1764	0.9385	-27.0582	8.0281	-39.7611	0.0	2	1.0	1.0	1.0	0	0
1701714879244	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	537.12	587.6800000000001	0.4087	3.9047	420.76800000000003	670.4	0.5474	0.3408	-0.1607	0.9263	-26.851	8.0793	-39.8349	0.0	2	1.0	1.0	1.0	0	0
1701714879253	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	501.408	603.36	0.4087	3.987	393.12	669.12	0.5474	0.4007	-0.1574	0.9026	-26.6649	8.119	-39.9341	0.0	2	1.0	1.0	1.0	0	0
1701714879261	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	468.576	565.6	0.3631	3.5738	374.40000000000003	680.32	0.5998	0.4238	-0.1948	0.8845	-26.4784	8.1442	-40.0033	0.0	2	1.0	1.0	1.0	0	0
1701714879269	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	455.76	572.8	0.3631	3.7033	359.424	672.16	0.5998	0.4554	-0.1679	0.8743	-26.3795	8.1661	-40.073	0.0	2	1.0	1.0	1.0	0	0
1701714879277	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	439.92	590.7199999999999	0.329	3.7652	357.55199999999996	670.56	0.6458	0.4464	-0.1674	0.879	-26.3015	8.1832	-40.0764	0.0	2	1.0	1.0	1.0	0	0
1701714879286	t	terrace_testcue_cocktaillounge_left	0.0	12	0	-1.0	459.64799999999997	629.28	0.329	3.6905	366.048	672.8	0.6458	0.4319	-0.176	0.8846	-26.3722	8.1789	-40.0333	0.0	2	1.0	1.0	1.0	0	0
