Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701969987508	t	garden_testcue_entertainmentroom_right	0.0	17	0	4.5156	584.352	735.52	1.0	3.7383	637.3439999999999	785.9200000000001	1.0	0.1324	-0.1443	0.9806	32.3299	2.8052	-25.8359	0.0	16	0.0	1.0	0.0	100	MYKEYWORD 100
1701969987516	t	garden_testcue_entertainmentroom_right	0.0	17	0	4.4423	611.28	729.92	1.0	3.716	661.248	780.32	1.0	0.0848	-0.1378	0.9868	33.8648	2.9496	-26.0621	0.0	16	0.0	1.0	0.0	0	0
1701969987524	t	garden_testcue_entertainmentroom_right	0.0	17	0	4.4634	637.7760000000001	722.0799999999999	1.0	3.8107	685.008	777.12	1.0	0.0495	-0.1188	0.9917	33.8225	2.8708	-25.6197	0.0	16	0.0	1.0	0.0	0	0
1701969987533	t	garden_testcue_entertainmentroom_right	0.0	17	0	4.5491	662.544	719.36	1.0	3.7683	708.624	776.64	1.0	0.0109	-0.1198	0.9927	33.4439	2.9651	-25.7538	0.0	16	0.0	1.0	0.0	0	0
1701969987541	t	garden_testcue_entertainmentroom_right	0.0	17	0	4.488	675.36	713.6	1.0	3.752	716.688	775.1999999999999	1.0	-0.0137	-0.1032	0.9946	33.1012	2.9513	-25.6812	0.0	16	0.0	1.0	0.0	0	0
1701969987550	t	garden_testcue_entertainmentroom_right	0.0	17	0	4.5345	675.072	715.52	1.0	3.79	716.256	773.4399999999999	1.0	-0.0138	-0.113	0.9935	32.5679	3.0208	-25.8908	0.0	16	0.0	1.0	0.0	0	0
1701969987558	t	garden_testcue_entertainmentroom_right	0.0	17	0	4.5936	671.616	715.36	1.0	3.7549	715.392	774.72	1.0	-0.0078	-0.1133	0.9935	30.6173	3.0212	-25.9935	0.0	16	0.0	1.0	0.0	0	0
1701969987566	t	garden_testcue_entertainmentroom_right	0.0	17	0	4.5052	672.48	716.3199999999999	1.0	3.7959	714.816	773.28	1.0	-0.0105	-0.1169	0.9931	24.8998	2.9408	-25.993	0.0	16	0.0	1.0	0.0	0	0
1701969987575	t	garden_testcue_entertainmentroom_right	0.0	17	0	4.5318	672.48	715.68	1.0	3.8077	714.816	773.4399999999999	1.0	-0.0087	-0.1175	0.993	11.876	2.7539	-25.979	0.0	16	0.0	1.0	0.0	0	0
1701969987583	t	garden_testcue_entertainmentroom_right	0.0	17	0	4.516	672.48	715.36	1.0	3.7984	714.816	773.28	1.0	-0.0063	-0.1208	0.9926	-5.8178	2.5152	-25.9944	0.0	16	0.0	1.0	0.0	0	0
