Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701722344583	t	prison_testcue_storefront_left	0.0	12	0	2.8938	852.912	939.84	1.0	3.1015	908.64	997.9200000000001	1.0	-0.1887	0.096	0.9773	-32.9598	2.6641	-43.5893	0.0	4	0.0	1.0	0.5	100	MYKEYWORD 100
1701722344591	t	prison_testcue_storefront_left	0.0	12	0	2.8992	852.912	940.64	1.0	3.1123	908.784	997.9200000000001	1.0	-0.1891	0.0959	0.9772	-33.794	2.6635	-43.6107	0.0	4	0.0	1.0	0.5	0	0
1701722344599	t	prison_testcue_storefront_left	0.0	12	0	2.822	850.032	938.72	1.0	3.0907	907.3439999999999	998.4	1.0	-0.1771	0.0954	0.9796	-35.388	2.6537	-43.6521	0.0	4	0.0	1.0	0.5	0	0
1701722344608	t	prison_testcue_storefront_left	0.0	12	0	2.8912	851.184	940.9599999999999	1.0	3.118	909.504	999.04	1.0	-0.1807	0.0953	0.9789	-35.5215	2.6483	-43.6622	0.0	4	0.0	1.0	0.5	0	0
1701722344616	t	prison_testcue_storefront_left	0.0	12	0	2.9183	851.4720000000001	937.7599999999999	1.0	3.0181	912.096	1001.2800000000001	1.0	-0.1857	0.0897	0.9785	-35.5458	2.6357	-43.6646	0.0	4	0.0	1.0	0.5	0	0
1701722344625	t	prison_testcue_storefront_left	0.0	12	0	2.8257	852.6239999999999	939.04	1.0	3.0782	908.784	998.7199999999999	1.0	-0.1686	0.1004	0.9805	-35.5658	2.6274	-43.6667	0.0	4	0.0	1.0	0.5	0	0
1701722344633	t	prison_testcue_storefront_left	0.0	12	0	2.8702	851.6160000000001	941.76	1.0	3.074	911.2320000000001	1000.3199999999999	1.0	-0.1741	0.0969	0.98	-35.5861	2.6183	-43.6677	0.0	4	0.0	1.0	0.5	0	0
1701722344641	t	prison_testcue_storefront_left	0.0	12	0	2.821	850.032	940.32	1.0	3.2263	910.3679999999999	997.9200000000001	1.0	-0.1652	0.1083	0.9803	-35.6082	2.6126	-43.6782	0.0	4	0.0	1.0	0.5	0	0
1701722344649	t	prison_testcue_storefront_left	0.0	12	0	2.9424	855.5039999999999	940.16	1.0	3.1788	910.08	1000.6399999999999	1.0	-0.1575	0.0996	0.9825	-35.6376	2.6018	-43.6692	0.0	4	0.0	1.0	0.5	0	0
1701722344658	t	prison_testcue_storefront_left	0.0	12	0	2.9234	865.4399999999999	939.1999999999999	1.0	3.2524	921.744	999.84	1.0	-0.1794	0.1067	0.978	-35.744	2.606	-43.7109	0.0	4	0.0	1.0	0.5	0	0
