Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701808559336	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.5723	798.048	966.7199999999999	1.0	3.6797	780.48	1031.2	1.0	-0.0722	-0.0974	0.9926	30.6637	-0.0057	-30.5508	0.0	9	0.0	1.0	0.5	100	MYKEYWORD 100
1701808559344	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.646	797.328	966.7199999999999	1.0	3.6833	779.0400000000001	1029.76	1.0	-0.0679	-0.0949	0.9932	30.6488	-0.0582	-30.4153	0.0	9	0.0	1.0	0.5	0	0
1701808559353	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.6393	797.04	968.96	1.0	3.8511	781.3439999999999	1032.96	1.0	-0.0659	-0.1021	0.9926	30.6432	-0.0777	-30.3562	0.0	9	0.0	1.0	0.5	0	0
1701808559361	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.6803	796.896	966.56	1.0	3.8716	781.9200000000001	1033.1200000000001	1.0	-0.0656	-0.094	0.9934	30.6426	-0.0793	-30.3471	0.0	9	0.0	1.0	0.5	0	0
1701808559369	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7161	797.04	968.96	1.0	3.8436	782.208	1032.96	1.0	-0.0663	-0.1021	0.9926	30.6421	-0.081	-30.338	0.0	9	0.0	1.0	0.5	0	0
1701808559378	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7261	796.896	967.36	1.0	3.8256	782.352	1033.1200000000001	1.0	-0.0658	-0.0964	0.9932	30.6413	-0.0812	-30.3373	0.0	9	0.0	1.0	0.5	0	0
1701808559386	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7361	797.04	965.9200000000001	1.0	3.8259	782.496	1033.28	1.0	-0.0663	-0.0913	0.9936	30.6421	-0.0814	-30.3366	0.0	9	0.0	1.0	0.5	0	0
1701808559395	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7481	797.04	966.24	1.0	3.8277	783.2160000000001	1033.44	1.0	-0.0664	-0.0926	0.9935	30.6408	-0.0847	-30.3244	0.0	9	0.0	1.0	0.5	0	0
1701808559403	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7367	797.04	965.9200000000001	1.0	3.8259	783.936	1033.28	1.0	-0.0665	-0.0916	0.9936	30.6412	-0.0881	-30.3122	0.0	9	0.0	1.0	0.5	0	0
1701808559411	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7302	797.184	966.24	1.0	3.8276	783.936	1033.1200000000001	1.0	-0.0671	-0.0926	0.9934	30.641	-0.0921	-30.2995	0.0	9	0.0	1.0	0.5	0	0
1701808559419	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7571	800.208	965.76	1.0	3.9012	786.384	1032.96	1.0	-0.0731	-0.0933	0.993	30.6115	-0.0863	-30.2743	0.0	9	0.0	1.0	0.5	0	0
1701808559428	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.683	801.216	965.28	1.0	3.8572	788.688	1033.6000000000001	1.0	-0.074	-0.0941	0.9928	30.5661	-0.0671	-30.2984	0.0	9	0.0	1.0	0.5	0	0
1701808559436	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.697	801.216	964.9599999999999	1.0	3.8799	788.544	1032.16	1.0	-0.0725	-0.0948	0.9928	30.4139	-0.0497	-30.3368	0.0	9	0.0	1.0	0.5	0	0
1701808559445	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7117	801.216	965.1199999999999	1.0	3.8788	789.84	1031.8400000000001	1.0	-0.0725	-0.0951	0.9928	29.3399	-0.0791	-30.296	0.0	9	0.0	1.0	0.5	0	0
1701808559453	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7579	801.36	963.68	1.0	3.8917	788.9760000000001	1032.6399999999999	1.0	-0.0735	-0.0905	0.9932	27.1543	-0.1261	-30.2654	0.0	9	0.0	1.0	0.5	0	0
1701808559461	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.801	801.36	963.52	1.0	3.8882	788.9760000000001	1032.8	1.0	-0.0756	-0.0908	0.993	22.7999	-0.2215	-30.1979	0.0	9	0.0	1.0	0.5	0	0
1701808559470	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7865	801.504	964.1600000000001	1.0	3.8918	789.1200000000001	1032.8	1.0	-0.077	-0.093	0.9927	19.3229	-0.2998	-30.1383	0.0	9	0.0	1.0	0.5	0	0
1701808559477	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.8009	801.36	963.52	1.0	3.8886	789.696	1032.96	1.0	-0.0796	-0.0925	0.9925	13.1162	-0.439	-30.0336	0.0	9	0.0	1.0	0.5	0	0
1701808559485	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7982	801.504	963.1999999999999	1.0	3.892	789.1200000000001	1032.96	1.0	-0.0815	-0.093	0.9923	5.9638	-0.6001	-29.9152	0.0	9	0.0	1.0	0.5	0	0
1701808559494	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7718	801.216	962.72	1.0	3.8907	789.696	1032.96	1.0	-0.0837	-0.0957	0.9919	-0.1289	-0.7136	-29.844	0.0	9	0.0	1.0	0.5	0	0
1701808559502	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.8322	800.7840000000001	961.5999999999999	1.0	3.8928	790.2719999999999	1032.96	1.0	-0.0983	-0.1	0.9901	-31.3932	-1.4396	-29.2753	0.0	9	0.0	1.0	0.5	0	0
1701808559510	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.8345	802.6560000000001	960.6400000000001	1.0	3.8962	790.2719999999999	1032.96	1.0	-0.098	-0.0999	0.9902	-31.4015	-1.4402	-29.2704	0.0	9	0.0	1.0	0.5	0	0
1701808559519	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7857	803.376	962.4000000000001	1.0	3.8997	790.2719999999999	1032.8	1.0	-0.0974	-0.0998	0.9902	-31.4065	-1.4416	-29.2627	0.0	9	0.0	1.0	0.5	0	0
1701808559527	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.877	803.5200000000001	962.88	1.0	3.9001	790.2719999999999	1032.8	1.0	-0.0974	-0.0995	0.9902	-31.4148	-1.4421	-29.2623	0.0	9	0.0	1.0	0.5	0	0
1701808559536	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.8231	803.376	962.0799999999999	1.0	3.9003	790.2719999999999	1032.8	1.0	-0.0973	-0.0994	0.9903	-31.4186	-1.4426	-29.2618	0.0	9	0.0	1.0	0.5	0	0
1701808559545	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.8069	803.376	961.4399999999999	1.0	3.9004	790.416	1032.8	1.0	-0.0968	-0.0993	0.9903	-31.4231	-1.4431	-29.2616	0.0	9	0.0	1.0	0.5	0	0
1701808559553	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.804	803.376	961.5999999999999	1.0	3.9003	790.416	1032.8	1.0	-0.0962	-0.0993	0.9904	-31.426	-1.4436	-29.2614	0.0	9	0.0	1.0	0.5	0	0
1701808559560	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.8358	802.368	961.92	1.0	3.9134	790.7040000000001	1032.96	1.0	-0.0921	-0.1036	0.9903	-31.4457	-1.4426	-29.2008	0.0	9	0.0	1.0	0.5	0	0
1701808559569	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.8593	801.6479999999999	963.68	1.0	3.902	790.1279999999999	1032.16	1.0	-0.0903	-0.1029	0.9906	-31.4194	-1.437	-29.1884	0.0	9	0.0	1.0	0.5	0	0
1701808559577	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7669	801.7919999999999	962.72	1.0	3.9524	791.136	1031.04	1.0	-0.0947	-0.0993	0.9905	-31.3813	-1.4346	-29.1829	0.0	9	0.0	1.0	0.5	0	0
1701808559585	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.8074	801.504	961.92	1.0	3.9124	791.568	1031.8400000000001	1.0	-0.0786	-0.099	0.992	-9.2692	-0.857	-29.8113	0.0	9	0.0	1.0	0.5	0	0
1701808559594	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.8395	800.7840000000001	962.88	1.0	3.955	791.136	1031.2	1.0	-0.0916	-0.109	0.9898	-31.0754	-1.3721	-29.2045	0.0	9	0.0	1.0	0.5	0	0
1701808559602	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.8936	800.6400000000001	961.76	1.0	3.9823	792.0000000000001	1030.0800000000002	1.0	-0.0782	-0.1055	0.9913	-31.34	-1.3393	-29.3263	0.0	9	0.0	1.0	0.5	0	0
1701808559610	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.9072	799.0559999999999	959.36	1.0	3.9301	789.9839999999999	1028.64	1.0	-0.059	-0.1169	0.9914	-31.2185	-1.1957	-29.5127	0.0	9	0.0	1.0	0.5	0	0
1701808559618	t	ballroom_testcue_weddingtent_left	0.0	20	0	3.7055	796.464	968.8000000000001	1.0	3.9741	788.256	1026.88	1.0	-0.0556	-0.1252	0.9906	-31.316	-1.1291	-29.4886	0.0	9	0.0	1.0	0.5	0	0
1701808559627	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	794.304	977.28	0.8928	3.8895	788.9760000000001	1019.9999999999999	0.7682	-0.0601	-0.1168	0.9913	-31.6973	-1.0684	-29.4482	0.0	9	0.0	1.0	0.5	0	0
1701808559635	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	839.8080000000001	1059.52	0.8928	-1.0	794.304	1032.48	0.7682	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
1701808559643	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	811.584	1085.1200000000001	0.6356	-1.0	778.1759999999999	1155.04	0.6444	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
1701808559650	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	842.8320000000001	1105.12	0.6356	-1.0	-1440.0	-1600.0	0.6444	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
1701808559658	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	-1440.0	-1600.0	0.222	-1.0	-1440.0	-1600.0	0.2667	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
1701808559667	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	-1440.0	-1600.0	0.222	-1.0	964.2239999999999	1206.56	0.2667	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
1701808559676	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	846.432	1035.52	0.1816	-1.0	971.568	1238.56	0.08	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
1701808559685	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	767.2320000000001	1099.52	0.1816	-1.0	803.952	1071.6799999999998	0.08	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
1701808559694	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	820.9440000000001	1029.28	0.2639	-1.0	804.8159999999999	1049.76	0.255	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
1701808559702	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	812.88	984.96	0.2639	-1.0	810.0	1042.08	0.255	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
1701808559710	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	810.0	996.32	0.3977	-1.0	811.008	1032.96	0.4629	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
1701808559719	t	ballroom_testcue_weddingtent_left	0.0	20	0	-1.0	818.0640000000001	961.4399999999999	0.3977	-1.0	814.752	1042.08	0.4629	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	1.0	0.5	0	0
