Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1702064063514	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.5812	792.0000000000001	790.4	1.0	3.7741	838.944	1041.92	0.8161	-0.162	-0.2653	0.9505	-1.8959	2.879	-34.565	0.0	26	1.0	1.0	1.0	100	MYKEYWORD 100
1702064063522	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.6143	789.9839999999999	790.56	1.0	3.7933	837.648	1038.24	0.8161	-0.1603	-0.2624	0.9516	-1.7477	2.8992	-34.5525	0.0	26	1.0	1.0	1.0	0	0
1702064063530	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.597	786.96	789.9200000000001	1.0	3.6405	832.8960000000001	1033.92	0.8324	-0.1514	-0.2544	0.9552	1.1236	3.0437	-34.4176	0.0	26	1.0	1.0	1.0	0	0
1702064063539	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.6449	785.232	789.28	1.0	3.7059	828.1439999999999	1032.8	0.8324	-0.1455	-0.2559	0.9557	1.5305	3.0807	-34.3897	0.0	26	1.0	1.0	1.0	0	0
1702064063547	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.6445	780.48	786.88	1.0	3.667	824.976	1032.6399999999999	0.8431	-0.1357	-0.2586	0.9564	2.0898	3.1396	-34.3575	0.0	26	1.0	1.0	1.0	0	0
1702064063555	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.6319	779.616	785.76	1.0	3.5802	821.808	1030.4	0.8431	-0.1355	-0.2554	0.9573	2.2193	3.1556	-34.3456	0.0	26	1.0	1.0	1.0	0	0
1702064063564	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.5934	776.736	784.0	1.0	3.6107	818.928	1029.12	0.8842	-0.1333	-0.2565	0.9573	3.0056	3.2233	-34.3061	0.0	26	1.0	1.0	1.0	0	0
1702064063572	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.5371	773.568	784.0	1.0	3.6499	816.192	1026.24	0.8842	-0.1304	-0.2552	0.958	3.0949	3.2387	-34.2991	0.0	26	1.0	1.0	1.0	0	0
1702064063580	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4682	768.24	779.36	1.0	3.7252	813.4559999999999	1025.44	0.9056	-0.1202	-0.2481	0.9612	2.8284	3.2319	-34.2988	0.0	26	1.0	1.0	1.0	0	0
1702064063588	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.3992	766.656	779.36	1.0	3.5246	806.112	1022.72	0.9056	-0.1108	-0.2483	0.9623	3.0384	3.2561	-34.2796	0.0	26	1.0	1.0	1.0	0	0
1702064063597	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4475	764.064	775.84	1.0	3.5438	808.848	1020.1599999999999	0.9092	-0.1144	-0.2382	0.9644	3.0013	3.2592	-34.2862	0.0	26	1.0	1.0	1.0	0	0
1702064063605	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.5284	774.4319999999999	784.9599999999999	1.0	3.6125	815.1840000000001	1021.5999999999999	0.9092	-0.131	-0.2458	0.9604	2.131	3.1691	-34.3434	0.0	26	1.0	1.0	1.0	0	0
1702064063613	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4665	788.256	792.3199999999999	1.0	3.6025	827.1360000000001	1030.8799999999999	0.9085	-0.1554	-0.2608	0.9528	1.2198	3.0778	-34.4045	0.0	26	1.0	1.0	1.0	0	0
1702064063621	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4537	800.208	795.04	1.0	3.6769	840.8159999999999	1038.0800000000002	0.9085	-0.181	-0.2694	0.9459	0.8401	3.0388	-34.4475	0.0	26	1.0	1.0	1.0	0	0
1702064063630	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4708	807.84	796.0	1.0	3.7138	845.856	1040.0	0.8597	-0.1983	-0.2681	0.9427	-2.2949	2.8598	-34.6005	0.0	26	1.0	1.0	1.0	0	0
1702064063638	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4292	803.5200000000001	796.8	1.0	3.5318	841.6800000000001	1034.88	0.8597	-0.1877	-0.2666	0.9453	-3.6323	2.8174	-34.6444	0.0	26	1.0	1.0	1.0	0	0
1702064063647	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4266	795.312	793.6	1.0	3.5498	836.352	1032.96	0.8276	-0.1718	-0.259	0.9505	-3.5685	2.816	-34.6355	0.0	26	1.0	1.0	1.0	0	0
1702064063655	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4339	793.7280000000001	791.84	1.0	3.5953	833.472	1034.08	0.8276	-0.1725	-0.2632	0.9492	-3.261	2.8501	-34.6119	0.0	26	1.0	1.0	1.0	0	0
1702064063663	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4405	789.408	793.12	1.0	3.5584	830.736	1030.8799999999999	0.8343	-0.1661	-0.2625	0.9505	1.3293	3.089	-34.406	0.0	26	1.0	1.0	1.0	0	0
1702064063672	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4465	787.5360000000001	788.16	1.0	3.5937	827.568	1032.48	0.8343	-0.1624	-0.2608	0.9516	0.9072	3.0838	-34.4152	0.0	26	1.0	1.0	1.0	0	0
1702064063680	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4284	783.504	788.32	1.0	3.5403	822.096	1031.36	0.8679	-0.1522	-0.2651	0.9521	1.1144	3.1158	-34.3964	0.0	26	1.0	1.0	1.0	0	0
1702064063689	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4764	780.768	786.72	1.0	3.4973	820.8	1029.28	0.8679	-0.1512	-0.2601	0.9537	1.5303	3.1412	-34.3753	0.0	26	1.0	1.0	1.0	0	0
1702064063697	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4658	777.1679999999999	784.0	1.0	3.5083	818.3520000000001	1021.7599999999999	0.8891	-0.1491	-0.2467	0.9575	2.3483	3.1955	-34.3375	0.0	26	1.0	1.0	1.0	0	0
1702064063705	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.3979	772.9920000000001	782.56	1.0	3.505	814.896	1021.9200000000001	0.8891	-0.1404	-0.2478	0.9586	3.1125	3.2441	-34.295	0.0	26	1.0	1.0	1.0	0	0
1702064063713	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.3341	768.96	778.72	1.0	3.5126	810.7199999999999	1017.76	0.8981	-0.1316	-0.2376	0.9624	2.9866	3.2468	-34.2871	0.0	26	1.0	1.0	1.0	0	0
1702064063722	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.3072	766.08	776.8	1.0	3.4463	807.12	1014.08	0.8981	-0.1237	-0.2343	0.9643	2.9271	3.2715	-34.2931	0.0	26	1.0	1.0	1.0	0	0
1702064063730	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.338	763.632	776.48	1.0	3.4005	801.7919999999999	1011.68	0.9016	-0.1171	-0.2328	0.9654	3.0296	3.2878	-34.2913	0.0	26	1.0	1.0	1.0	0	0
1702064063738	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.3042	763.92	776.32	1.0	3.4638	800.208	1009.2800000000001	0.9016	-0.1203	-0.2319	0.9653	3.2958	3.3127	-34.2698	0.0	26	1.0	1.0	1.0	0	0
1702064063747	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.3315	759.5999999999999	775.1999999999999	1.0	3.5185	798.7679999999999	1008.64	0.9199	-0.1147	-0.2328	0.9657	3.0492	3.3169	-34.2758	0.0	26	1.0	1.0	1.0	0	0
1702064063755	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.3435	758.16	774.56	1.0	3.5073	796.896	1008.0	0.9199	-0.1123	-0.2335	0.9659	3.2763	3.3422	-34.2674	0.0	26	1.0	1.0	1.0	0	0
1702064063764	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.3981	756.432	773.28	1.0	3.5589	795.7439999999999	1007.1999999999999	0.9078	-0.1145	-0.231	0.9662	3.319	3.3462	-34.2607	0.0	26	1.0	1.0	1.0	0	0
1702064063772	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4257	753.9839999999999	773.12	1.0	3.4849	794.304	1005.7600000000001	0.9078	-0.113	-0.2336	0.9657	3.1854	3.3627	-34.2641	0.0	26	1.0	1.0	1.0	0	0
1702064063780	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4936	752.256	771.84	1.0	3.5619	792.0000000000001	1004.48	0.9322	-0.1108	-0.2321	0.9663	2.5603	3.3428	-34.2828	0.0	26	1.0	1.0	1.0	0	0
1702064063789	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.425	749.232	771.04	1.0	3.469	791.8560000000001	1004.8	0.9322	-0.11	-0.2326	0.9663	1.4225	3.2867	-34.3071	0.0	26	1.0	1.0	1.0	0	0
1702064063797	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4301	749.8080000000001	768.8	1.0	3.5394	789.552	1002.88	0.9325	-0.1125	-0.2279	0.9671	0.8755	3.2751	-34.3429	0.0	26	1.0	1.0	1.0	0	0
1702064063805	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4684	747.072	769.28	1.0	3.4708	785.376	1002.2399999999999	0.9325	-0.1062	-0.2301	0.9673	1.0637	3.2933	-34.3417	0.0	26	1.0	1.0	1.0	0	0
1702064063814	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4576	744.192	768.8	1.0	3.4762	785.232	1000.4799999999999	0.928	-0.1082	-0.2273	0.9678	1.3062	3.3096	-34.3387	0.0	26	1.0	1.0	1.0	0	0
1702064063822	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.5234	745.0559999999999	769.9200000000001	1.0	3.4493	783.504	1000.3199999999999	0.928	-0.1147	-0.2282	0.9668	1.1211	3.2959	-34.3478	0.0	26	1.0	1.0	1.0	0	0
1702064063830	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4592	743.616	768.48	1.0	3.4037	781.632	999.2	0.9204	-0.112	-0.226	0.9677	0.7498	3.288	-34.366	0.0	26	1.0	1.0	1.0	0	0
1702064063839	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4667	741.6	767.04	1.0	3.5231	781.632	997.6000000000001	0.9204	-0.1143	-0.2244	0.9678	-1.5344	3.202	-34.4926	0.0	26	1.0	1.0	1.0	0	0
1702064063847	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.4262	733.3919999999999	764.64	1.0	3.3965	766.656	988.1600000000001	0.9296	-0.0926	-0.2061	0.9741	-4.0018	3.0878	-34.5902	0.0	26	1.0	1.0	1.0	0	0
1702064063855	t	terrace_testcue_cocktaillounge_left	0.0	3	0	3.3974	706.032	760.48	1.0	3.4727	746.7839999999999	985.28	0.9296	-0.0569	-0.2043	0.9772	-12.3131	2.7264	-34.9271	0.0	26	1.0	1.0	1.0	0	0
