Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701717577115	t	garden_testcue_entertainmentroom_left	0.0	18	0	4.3368	692.496	907.04	1.0	4.496	788.9760000000001	943.68	1.0	-0.083	-0.1518	0.9849	-14.5654	2.4005	-35.4461	0.0	3	0.0	1.0	0.5	100	MYKEYWORD 100
1701717577123	t	garden_testcue_entertainmentroom_left	0.0	18	0	4.3442	692.208	906.88	1.0	4.6027	792.0000000000001	944.48	1.0	-0.0966	-0.1579	0.9827	-21.5183	2.323	-35.2417	0.0	3	0.0	1.0	0.5	0	0
1701717577131	t	garden_testcue_entertainmentroom_left	0.0	18	0	4.3107	690.336	906.72	1.0	4.5355	790.1279999999999	945.5999999999999	1.0	-0.0912	-0.1614	0.9827	-21.8166	2.3298	-35.2757	0.0	3	0.0	1.0	0.5	0	0
1701717577140	t	garden_testcue_entertainmentroom_left	0.0	18	0	4.3073	689.616	902.72	1.0	4.5482	786.528	944.0	1.0	-0.0795	-0.1567	0.9844	-21.5179	2.3423	-35.2841	0.0	3	0.0	1.0	0.5	0	0
1701717577148	t	garden_testcue_entertainmentroom_left	0.0	18	0	4.2801	688.032	903.68	1.0	4.5578	788.256	943.52	1.0	-0.0853	-0.1568	0.9839	-21.957	2.3402	-35.2682	0.0	3	0.0	1.0	0.5	0	0
1701717577156	t	garden_testcue_entertainmentroom_left	0.0	18	0	4.2597	688.1759999999999	905.7600000000001	1.0	4.5461	788.544	943.52	1.0	-0.0848	-0.1578	0.9838	-21.4382	2.3475	-35.2816	0.0	3	0.0	1.0	0.5	0	0
1701717577165	t	garden_testcue_entertainmentroom_left	0.0	18	0	4.249	687.888	904.64	1.0	4.5145	788.112	942.8800000000001	1.0	-0.0872	-0.1583	0.9835	-26.5823	2.2929	-35.1562	0.0	3	0.0	1.0	0.5	0	0
1701717577173	t	garden_testcue_entertainmentroom_left	0.0	18	0	4.2495	688.1759999999999	903.52	1.0	4.5009	788.256	942.7199999999999	1.0	-0.0809	-0.1522	0.985	-17.9551	2.3847	-35.3653	0.0	3	0.0	1.0	0.5	0	0
1701717577181	t	garden_testcue_entertainmentroom_left	0.0	18	0	4.2035	686.736	903.2	1.0	4.5145	788.112	942.8800000000001	1.0	-0.0775	-0.1499	0.9856	-15.1678	2.4136	-35.4414	0.0	3	0.0	1.0	0.5	0	0
1701717577190	t	garden_testcue_entertainmentroom_left	0.0	18	0	4.1807	687.888	905.4399999999999	1.0	4.5114	788.112	942.7199999999999	1.0	-0.0757	-0.1491	0.9859	-11.5942	2.4491	-35.5313	0.0	3	0.0	1.0	0.5	0	0
