Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701981097061	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.7757	658.656	978.2400000000001	1.0	5.8781	685.152	1086.72	1.0	0.0188	-0.0389	0.9991	-32.1974	-1.1134	-33.587	0.0	19	1.0	1.0	1.0	100	MYKEYWORD 100
1701981097070	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.7969	659.664	977.92	1.0	5.8776	685.152	1086.88	1.0	0.0186	-0.039	0.9991	-32.1953	-1.1176	-33.5851	0.0	19	1.0	1.0	1.0	0	0
1701981097078	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.8957	656.928	982.4	1.0	5.8785	685.152	1086.72	1.0	0.0179	-0.0381	0.9991	-32.1896	-1.1175	-33.5852	0.0	19	1.0	1.0	1.0	0	0
1701981097086	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.792	657.648	978.72	1.0	5.8784	685.152	1086.72	1.0	0.0179	-0.0381	0.9991	-32.1525	-1.1163	-33.5864	0.0	19	1.0	1.0	1.0	0	0
1701981097094	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.7753	654.192	980.64	1.0	5.8737	685.008	1086.72	1.0	0.0183	-0.0382	0.9991	-32.1843	-1.1174	-33.5854	0.0	19	1.0	1.0	1.0	0	0
1701981097102	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.7573	657.504	978.4000000000001	1.0	5.8721	685.008	1086.72	1.0	0.0183	-0.0382	0.9991	-32.1848	-1.1174	-33.5853	0.0	19	1.0	1.0	1.0	0	0
1701981097111	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.8052	657.648	977.76	1.0	5.8716	684.576	1086.72	1.0	0.0198	-0.0379	0.9991	-32.167	-1.1181	-33.5857	0.0	19	1.0	1.0	1.0	0	0
1701981097119	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.852	657.9359999999999	976.96	1.0	5.8705	683.424	1086.88	1.0	0.0248	-0.0388	0.9989	-32.1753	-1.1191	-33.5854	0.0	19	1.0	1.0	1.0	0	0
1701981097127	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.8323	657.648	977.76	1.0	5.8773	683.424	1086.88	1.0	0.0249	-0.0387	0.9989	-32.1831	-1.1193	-33.5853	0.0	19	1.0	1.0	1.0	0	0
1701981097136	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.8513	657.9359999999999	976.96	1.0	5.8775	683.424	1086.72	1.0	0.0249	-0.0378	0.999	-32.1885	-1.1195	-33.5852	0.0	19	1.0	1.0	1.0	0	0
1701981097144	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.8353	657.9359999999999	976.8000000000001	1.0	5.8732	683.424	1086.88	1.0	0.0254	-0.0386	0.9989	-32.1904	-1.1195	-33.587	0.0	19	1.0	1.0	1.0	0	0
1701981097152	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.8327	655.4879999999999	972.48	1.0	5.875	683.424	1087.04	1.0	0.0252	-0.0387	0.9989	-32.1903	-1.1196	-33.587	0.0	19	1.0	1.0	1.0	0	0
1701981097161	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.7586	657.216	975.52	1.0	5.8094	682.992	1084.32	1.0	0.0259	-0.0385	0.9989	-32.1867	-1.0171	-33.7836	0.0	19	1.0	1.0	1.0	0	0
1701981097169	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.9072	659.232	975.84	1.0	5.8309	684.576	1084.32	1.0	0.0195	-0.0404	0.999	-32.1827	-0.9886	-33.8413	0.0	19	1.0	1.0	1.0	0	0
1701981097177	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.7871	659.952	973.28	1.0	5.8206	684.7199999999999	1085.28	1.0	0.0183	-0.0447	0.9988	-31.7738	-0.9765	-33.8411	0.0	19	1.0	1.0	1.0	0	0
1701981097186	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.7707	659.664	974.08	1.0	5.8482	683.568	1083.52	1.0	0.0237	-0.0337	0.9991	-2.2068	-0.216	-34.1449	0.0	19	1.0	1.0	1.0	0	0
1701981097194	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.8703	660.96	975.6800000000001	1.0	5.8701	682.992	1083.52	1.0	0.0195	-0.0341	0.9992	18.9634	0.3512	-34.4381	0.0	19	1.0	1.0	1.0	0	0
1701981097202	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.8443	660.096	973.76	1.0	5.8487	682.7040000000001	1083.68	1.0	0.0225	-0.0292	0.9993	17.5085	0.3297	-34.4766	0.0	19	1.0	1.0	1.0	0	0
1701981097211	t	supermarket_testcue_greenhouse_right	0.0	9	0	5.8164	659.232	974.24	1.0	5.8563	682.8480000000001	1083.52	1.0	0.0244	-0.0326	0.9992	17.8038	0.4106	-34.6961	0.0	19	1.0	1.0	1.0	0	0
