Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701974609272	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.6982	727.92	632.48	1.0	3.1741	660.8159999999999	735.68	1.0	0.1091	0.2541	0.961	26.5261	7.0057	-39.6058	0.0	17	1.0	1.0	1.0	100	MYKEYWORD 100
1701974609280	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.67	731.2320000000001	636.48	1.0	3.0818	665.2800000000001	739.68	1.0	0.1014	0.249	0.9632	26.2985	6.9533	-39.6024	0.0	17	1.0	1.0	1.0	0	0
1701974609289	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.7206	733.9680000000001	641.92	1.0	3.102	669.6	744.16	1.0	0.1018	0.2357	0.9665	25.8857	6.9107	-39.5957	0.0	17	1.0	1.0	1.0	0	0
1701974609298	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.5995	737.856	648.64	1.0	3.0562	675.072	747.8399999999999	1.0	0.0976	0.2157	0.9716	4.115	6.5892	-40.5965	0.0	17	1.0	1.0	1.0	0	0
1701974609306	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.6921	739.8720000000001	653.4399999999999	1.0	3.0683	678.816	751.8399999999999	1.0	0.0922	0.2105	0.9732	4.2693	6.5479	-40.6089	0.0	17	1.0	1.0	1.0	0	0
1701974609315	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.6002	742.1759999999999	657.4399999999999	1.0	2.9082	682.992	756.48	1.0	0.0867	0.2001	0.9759	2.9767	6.5107	-40.7184	0.0	17	1.0	1.0	1.0	0	0
1701974609323	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.5367	745.7760000000001	659.1999999999999	1.0	3.0287	686.88	757.76	1.0	0.077	0.2005	0.9767	4.5567	6.5135	-40.6763	0.0	17	1.0	1.0	1.0	0	0
1701974609331	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.4988	746.064	662.72	1.0	3.0448	687.456	760.48	1.0	0.0778	0.2016	0.9763	22.8591	6.6773	-39.7647	0.0	17	1.0	1.0	1.0	0	0
1701974609339	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.5547	749.088	665.4399999999999	1.0	2.9502	692.784	762.24	1.0	0.068	0.1983	0.9778	26.3391	6.6884	-39.5825	0.0	17	1.0	1.0	1.0	0	0
1701974609347	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.4594	752.4	667.1999999999999	1.0	2.8707	694.368	764.32	1.0	0.0615	0.1977	0.9783	28.8283	6.6601	-39.3506	0.0	17	1.0	1.0	1.0	0	0
1701974609356	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.452	753.552	669.76	1.0	2.9654	697.248	766.5600000000001	1.0	0.063	0.1893	0.9799	28.939	6.7197	-39.6009	0.0	17	1.0	1.0	1.0	0	0
1701974609364	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.5307	758.016	672.48	1.0	2.9424	702.432	768.1600000000001	1.0	0.0517	0.1865	0.9811	28.4082	6.5603	-39.1288	0.0	17	1.0	1.0	1.0	0	0
1701974609373	t	lighthouse_testcue_clocktower_left	0.0	22	0	3.4965	760.464	674.4	1.0	2.8905	705.168	770.72	1.0	0.0492	0.184	0.9817	27.157	6.5225	-39.1906	0.0	17	1.0	1.0	1.0	0	0
