Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701726361536	t	prison_testcue_storefront_right	0.0	9	0	3.6422	864.4319999999999	708.96	1.0	3.3714	851.904	844.3199999999999	1.0	-0.1061	0.3101	0.9448	-6.6738	1.7391	-30.5592	0.0	5	1.0	1.0	0.5	100	MYKEYWORD 100
1701726361545	t	prison_testcue_storefront_right	0.0	9	0	3.648	864.0	709.12	1.0	3.4312	851.4720000000001	844.16	1.0	-0.1052	0.3115	0.9444	-6.6132	1.737	-30.5588	0.0	5	1.0	1.0	0.5	0	0
1701726361553	t	prison_testcue_storefront_right	0.0	9	0	3.6515	863.712	709.2800000000001	1.0	3.4298	851.04	843.2	1.0	-0.1041	0.3137	0.9438	-7.0893	1.72	-30.5645	0.0	5	1.0	1.0	0.5	0	0
1701726361562	t	prison_testcue_storefront_right	0.0	9	0	3.6552	863.2800000000001	709.44	1.0	3.4229	850.608	844.16	1.0	-0.103	0.3114	0.9447	-7.6421	1.7004	-30.571	0.0	5	1.0	1.0	0.5	0	0
1701726361569	t	prison_testcue_storefront_right	0.0	9	0	3.6571	862.9920000000001	709.76	1.0	3.4298	851.04	843.36	1.0	-0.1041	0.3134	0.9439	-8.438	1.6717	-30.5799	0.0	5	1.0	1.0	0.5	0	0
1701726361578	t	prison_testcue_storefront_right	0.0	9	0	3.6591	862.56	709.92	1.0	3.4319	850.608	844.16	1.0	-0.1028	0.3114	0.9447	-9.3789	1.6382	-30.5904	0.0	5	1.0	1.0	0.5	0	0
1701726361586	t	prison_testcue_storefront_right	0.0	9	0	3.659	862.128	710.24	1.0	3.4281	850.464	844.16	1.0	-0.1018	0.3113	0.9448	-10.2572	1.6073	-30.6008	0.0	5	1.0	1.0	0.5	0	0
1701726361594	t	prison_testcue_storefront_right	0.0	9	0	3.6579	861.696	710.56	1.0	3.4245	850.608	844.16	1.0	-0.1016	0.3112	0.9449	-10.1768	1.6085	-30.6005	0.0	5	1.0	1.0	0.5	0	0
1701726361603	t	prison_testcue_storefront_right	0.0	9	0	3.6573	861.696	710.88	1.0	3.4281	850.464	844.3199999999999	1.0	-0.1013	0.3108	0.9451	-10.2258	1.6033	-30.6003	0.0	5	1.0	1.0	0.5	0	0
1701726361612	t	prison_testcue_storefront_right	0.0	9	0	3.6576	861.696	711.68	1.0	3.4323	850.608	844.48	1.0	-0.1019	0.31	0.9452	-9.8989	1.6103	-30.5967	0.0	5	1.0	1.0	0.5	0	0
1701726361620	t	prison_testcue_storefront_right	0.0	9	0	3.6568	861.696	712.0	1.0	3.4362	850.464	844.96	1.0	-0.1016	0.3091	0.9456	-9.809	1.6109	-30.5962	0.0	5	1.0	1.0	0.5	0	0
1701726361628	t	prison_testcue_storefront_right	0.0	9	0	3.6801	861.4079999999999	712.16	1.0	3.4304	850.608	845.28	1.0	-0.1016	0.3084	0.9458	-9.5913	1.616	-30.5936	0.0	5	1.0	1.0	0.5	0	0
1701726361637	t	prison_testcue_storefront_right	0.0	9	0	3.6985	861.4079999999999	712.96	1.0	3.4409	850.32	845.4399999999999	1.0	-0.101	0.3079	0.946	-9.6893	1.6073	-30.5944	0.0	5	1.0	1.0	0.5	0	0
1701726361645	t	prison_testcue_storefront_right	0.0	9	0	3.6963	861.2639999999999	713.76	1.0	3.4499	850.176	846.08	1.0	-0.1004	0.306	0.9467	-9.5379	1.6086	-30.5919	0.0	5	1.0	1.0	0.5	0	0
1701726361653	t	prison_testcue_storefront_right	0.0	9	0	3.7849	851.76	716.3199999999999	1.0	3.6053	845.424	843.0400000000001	1.0	-0.0964	0.3147	0.9443	-11.5587	1.5238	-30.5983	0.0	5	1.0	1.0	0.5	0	0
1701726361661	t	prison_testcue_storefront_right	0.0	9	0	3.8088	833.184	713.28	1.0	3.4326	824.976	835.2	1.0	-0.0507	0.3339	0.9412	-12.0545	1.5264	-30.6213	0.0	5	1.0	1.0	0.5	0	0
1701726361669	t	prison_testcue_storefront_right	0.0	9	0	3.5098	814.032	712.64	1.0	3.5938	807.6959999999999	836.96	1.0	-0.0151	0.3232	0.9462	-12.1606	1.5372	-30.5979	0.0	5	1.0	1.0	0.5	0	0
1701726361678	t	prison_testcue_storefront_right	0.0	9	0	3.6347	807.984	711.2	1.0	3.539	797.904	834.0799999999999	1.0	-0.0043	0.3266	0.9451	-11.6211	1.5765	-30.5949	0.0	5	1.0	1.0	0.5	0	0
1701726361686	t	prison_testcue_storefront_right	0.0	9	0	3.6213	806.5440000000001	709.44	1.0	3.2678	794.8800000000001	832.3199999999999	1.0	-0.0009	0.3313	0.9435	-11.1354	1.5955	-30.6003	0.0	5	1.0	1.0	0.5	0	0
1701726361694	t	prison_testcue_storefront_right	0.0	9	0	3.7978	806.4000000000001	709.44	1.0	3.4463	795.312	834.72	1.0	0.004	0.3285	0.9445	-8.2972	1.675	-30.5609	0.0	5	1.0	1.0	0.5	0	0
1701726361703	t	prison_testcue_storefront_right	0.0	9	0	3.7195	806.976	709.76	1.0	3.4804	797.7600000000001	835.36	1.0	-0.0012	0.3277	0.9448	-7.5298	1.6934	-30.553	0.0	5	1.0	1.0	0.5	0	0
