Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701714095672	t	nursery_testcue_tearoom_right	0.0	23	0	3.1269	651.888	885.6	1.0	3.3809	548.496	627.0400000000001	1.0	-0.1354	-0.1494	0.9794	-25.5178	7.2352	-33.9958	0.0	2	1.0	1.0	0.0	100	MYKEYWORD 100
1701714095681	t	nursery_testcue_tearoom_right	0.0	23	0	3.1639	654.336	884.3199999999999	1.0	3.4346	553.3919999999999	631.52	1.0	-0.1473	-0.1537	0.9771	-25.5057	7.1852	-34.016	0.0	2	1.0	1.0	0.0	0	0
1701714095689	t	nursery_testcue_tearoom_right	0.0	23	0	3.1737	660.528	886.4000000000001	1.0	3.3362	557.856	630.72	1.0	-0.1593	-0.1426	0.9769	-25.0654	7.1336	-34.1063	0.0	2	1.0	1.0	0.0	0	0
1701714095697	t	nursery_testcue_tearoom_right	0.0	23	0	3.1981	653.904	884.96	1.0	3.4166	555.12	636.8000000000001	1.0	-0.1547	-0.1577	0.9753	-25.7776	7.132	-33.9917	0.0	2	1.0	1.0	0.0	0	0
1701714095706	t	nursery_testcue_tearoom_right	0.0	23	0	3.1473	636.048	881.1199999999999	1.0	3.3389	539.712	634.4	1.0	-0.1248	-0.1474	0.9812	-26.4291	7.1418	-33.8804	0.0	2	1.0	1.0	0.0	0	0
1701714095714	t	nursery_testcue_tearoom_right	0.0	23	0	3.2058	611.712	877.76	1.0	3.4713	516.24	636.96	1.0	-0.0806	-0.1539	0.9848	-25.7625	7.1922	-34.3103	0.0	2	1.0	1.0	0.0	0	0
1701714095722	t	nursery_testcue_tearoom_right	0.0	23	0	3.2569	586.656	873.44	1.0	3.4223	492.912	635.68	1.0	-0.0402	-0.1497	0.9879	-24.3121	7.0911	-34.2792	0.0	2	1.0	1.0	0.0	0	0
1701714095731	t	nursery_testcue_tearoom_right	0.0	23	0	3.2161	565.9200000000001	869.6	1.0	3.486	466.56	638.5600000000001	1.0	0.0141	-0.1619	0.9867	-7.4438	6.5677	-36.731	0.0	2	1.0	1.0	0.0	0	0
1701714095739	t	nursery_testcue_tearoom_right	0.0	23	0	3.2419	546.48	870.88	1.0	3.4409	450.432	635.04	1.0	0.0325	-0.1498	0.9882	-18.1234	6.8074	-34.7724	0.0	2	1.0	1.0	0.0	0	0
1701714095747	t	nursery_testcue_tearoom_right	0.0	23	0	3.3462	536.976	866.08	1.0	3.4661	434.016	633.4399999999999	1.0	0.0609	-0.1393	0.9884	-24.5184	7.1263	-34.3726	0.0	2	1.0	1.0	0.0	0	0
1701714095756	t	nursery_testcue_tearoom_right	0.0	23	0	3.3282	538.704	868.6400000000001	1.0	3.4463	433.00800000000004	633.76	1.0	0.0641	-0.1407	0.988	-25.4323	7.1599	-34.2433	0.0	2	1.0	1.0	0.0	0	0
1701714095764	t	nursery_testcue_tearoom_right	0.0	23	0	3.3339	544.8960000000001	870.88	1.0	3.4879	440.06399999999996	632.64	1.0	0.0477	-0.1399	0.989	-25.5408	7.1539	-34.1284	0.0	2	1.0	1.0	0.0	0	0
1701714095772	t	nursery_testcue_tearoom_right	0.0	23	0	3.3027	549.216	871.84	1.0	3.573	444.24	630.4	1.0	0.0479	-0.1384	0.9892	-25.5549	6.9612	-33.2104	0.0	2	1.0	1.0	0.0	0	0
1701714095781	t	nursery_testcue_tearoom_right	0.0	23	0	3.275	552.96	875.36	1.0	3.4305	455.04	626.5600000000001	1.0	0.0178	-0.1435	0.9895	-25.6606	7.2397	-33.9519	0.0	2	1.0	1.0	0.0	0	0
1701714095789	t	nursery_testcue_tearoom_right	0.0	23	0	3.289	557.568	876.16	1.0	3.3971	457.92	621.28	1.0	0.024	-0.1442	0.9893	-23.4137	7.1711	-33.9822	0.0	2	1.0	1.0	0.0	0	0
1701714095797	t	nursery_testcue_tearoom_right	0.0	23	0	3.1377	564.336	877.92	1.0	3.4213	462.384	616.96	1.0	0.0244	-0.1609	0.9867	2.1763	6.282	-37.6758	0.0	2	1.0	1.0	0.0	0	0
1701714095806	t	nursery_testcue_tearoom_right	0.0	23	0	3.1284	568.656	874.56	1.0	3.5501	467.136	611.84	1.0	0.0255	-0.1624	0.9864	24.3125	5.4134	-40.7729	0.0	2	1.0	1.0	0.0	0	0
1701714095814	t	nursery_testcue_tearoom_right	0.0	23	0	3.214	574.7040000000001	875.6800000000001	1.0	3.3977	476.784	609.2800000000001	1.0	0.0148	-0.1628	0.9865	21.3132	5.5952	-40.5748	0.0	2	1.0	1.0	0.0	0	0
1701714095822	t	nursery_testcue_tearoom_right	0.0	23	0	3.0852	579.888	874.24	1.0	3.4321	480.67199999999997	607.0400000000001	1.0	0.0035	-0.1541	0.988	0.8995	6.4805	-37.7697	0.0	2	1.0	1.0	0.0	0	0
1701714095831	t	nursery_testcue_tearoom_right	0.0	23	0	3.1085	585.072	875.2	1.0	3.4051	485.568	607.52	1.0	-0.0117	-0.1495	0.9887	-20.4914	7.291	-34.4024	0.0	2	1.0	1.0	0.0	0	0
1701714095839	t	nursery_testcue_tearoom_right	0.0	23	0	3.0305	588.24	873.28	1.0	3.4641	488.88000000000005	608.16	1.0	-0.0193	-0.1462	0.9891	-24.4261	7.447	-33.8965	0.0	2	1.0	1.0	0.0	0	0
1701714095847	t	nursery_testcue_tearoom_right	0.0	23	0	3.0258	591.408	874.08	1.0	3.4043	489.6	609.6	1.0	-0.0152	-0.147	0.989	-16.4296	7.2052	-35.5336	0.0	2	1.0	1.0	0.0	0	0
1701714095856	t	nursery_testcue_tearoom_right	0.0	23	0	3.0704	592.128	869.76	1.0	3.4288	492.76800000000003	613.6	1.0	-0.0236	-0.1491	0.9885	-16.5475	7.1597	-35.4656	0.0	2	1.0	1.0	0.0	0	0
1701714095864	t	nursery_testcue_tearoom_right	0.0	23	0	3.1079	594.288	871.84	1.0	3.4926	493.632	616.3199999999999	1.0	-0.0211	-0.1604	0.9868	11.5264	6.0043	-39.2408	0.0	2	1.0	1.0	0.0	0	0
1701714095872	t	nursery_testcue_tearoom_right	0.0	23	0	3.1682	594.288	869.92	1.0	3.4629	493.92	622.88	1.0	-0.0209	-0.1692	0.9854	25.4489	5.5061	-41.2168	0.0	2	1.0	1.0	0.0	0	0
1701714095881	t	nursery_testcue_tearoom_right	0.0	23	0	3.1702	596.016	869.6	1.0	3.4088	493.632	622.88	1.0	-0.028	-0.1735	0.9844	31.1547	5.3425	-42.0846	0.0	2	1.0	1.0	0.0	0	0
1701714095889	t	nursery_testcue_tearoom_right	0.0	23	0	3.0665	593.712	867.84	1.0	3.4759	496.65599999999995	624.3199999999999	1.0	-0.023	-0.171	0.985	27.8544	5.5157	-41.7721	0.0	2	1.0	1.0	0.0	0	0
1701714095897	t	nursery_testcue_tearoom_right	0.0	23	0	3.13	596.592	867.84	1.0	3.503	496.65599999999995	626.4	1.0	-0.0318	-0.1723	0.9845	27.0015	5.5342	-41.5863	0.0	2	1.0	1.0	0.0	0	0
1701714095906	t	nursery_testcue_tearoom_right	0.0	23	0	3.0982	596.16	866.56	1.0	3.471	498.67199999999997	627.36	1.0	-0.0322	-0.1687	0.9851	20.5874	5.7218	-40.5613	0.0	2	1.0	1.0	0.0	0	0
1701714095915	t	nursery_testcue_tearoom_right	0.0	23	0	3.1508	598.6080000000001	868.16	1.0	3.4127	499.536	625.6	1.0	-0.0427	-0.1618	0.9859	-1.6729	6.4912	-37.4511	0.0	2	1.0	1.0	0.0	0	0
1701714095923	t	nursery_testcue_tearoom_right	0.0	23	0	3.1013	599.1840000000001	868.6400000000001	1.0	3.387	501.264	624.3199999999999	1.0	-0.0482	-0.1544	0.9868	-15.3056	6.9603	-35.5007	0.0	2	1.0	1.0	0.0	0	0
1701714095931	t	nursery_testcue_tearoom_right	0.0	23	0	3.082	600.624	866.8799999999999	1.0	3.4899	503.56800000000004	623.52	1.0	-0.0541	-0.1529	0.9868	-19.6935	7.1437	-34.9383	0.0	2	1.0	1.0	0.0	0	0
1701714095939	t	nursery_testcue_tearoom_right	0.0	23	0	3.0854	600.48	868.96	1.0	3.3579	506.30400000000003	622.72	1.0	-0.0629	-0.1539	0.9861	-22.2795	7.2555	-34.5758	0.0	2	1.0	1.0	0.0	0	0
1701714095948	t	nursery_testcue_tearoom_right	0.0	23	0	3.0494	601.776	868.16	1.0	3.2883	508.608	620.96	1.0	-0.0708	-0.1527	0.9857	-23.2959	7.3251	-34.4641	0.0	2	1.0	1.0	0.0	0	0
1701714095956	t	nursery_testcue_tearoom_right	0.0	23	0	3.0506	601.92	867.2	1.0	3.3389	507.312	619.68	1.0	-0.0664	-0.1531	0.986	-23.5254	7.3392	-34.36	0.0	2	1.0	1.0	0.0	0	0
