Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701714813524	t	prison_testcue_storefront_left	0.0	8	0	3.3947	562.752	537.28	1.0	3.2664	487.584	662.88	1.0	0.1257	-0.1591	0.9792	-26.3485	7.0552	-35.2817	0.0	2	1.0	1.0	1.0	100	MYKEYWORD 100
1701714813533	t	prison_testcue_storefront_left	0.0	8	0	3.4626	560.592	532.96	1.0	3.3658	487.584	663.52	1.0	0.1281	-0.1613	0.9785	-25.7521	7.0717	-35.261	0.0	2	1.0	1.0	1.0	0	0
1701714813541	t	prison_testcue_storefront_left	0.0	8	0	3.5149	560.88	535.04	1.0	3.3646	488.01599999999996	661.4399999999999	1.0	0.1266	-0.1545	0.9798	-24.8897	7.1029	-35.2734	0.0	2	1.0	1.0	1.0	0	0
1701714813549	t	prison_testcue_storefront_left	0.0	8	0	3.4907	562.32	533.92	1.0	3.3674	488.592	662.24	1.0	0.1246	-0.1575	0.9796	-22.332	7.1977	-35.3308	0.0	2	1.0	1.0	1.0	0	0
1701714813557	t	prison_testcue_storefront_left	0.0	8	0	3.4869	565.344	528.6400000000001	1.0	3.3818	489.024	661.4399999999999	1.0	0.1202	-0.1517	0.9811	-11.7737	7.5992	-35.6176	0.0	2	1.0	1.0	1.0	0	0
1701714813566	t	prison_testcue_storefront_left	0.0	8	0	3.5293	564.192	532.64	1.0	3.34	489.744	659.36	1.0	0.1197	-0.1528	0.981	0.8389	8.1015	-35.9917	0.0	2	1.0	1.0	1.0	0	0
1701714813574	t	prison_testcue_storefront_left	0.0	8	0	3.4975	565.056	532.8000000000001	1.0	3.2177	493.632	656.8	1.0	0.1118	-0.1501	0.9823	-6.2323	7.8317	-35.7161	0.0	2	1.0	1.0	1.0	0	0
1701714813582	t	prison_testcue_storefront_left	0.0	8	0	3.5257	566.784	527.2	1.0	3.2687	493.056	657.12	1.0	0.1142	-0.1494	0.9821	-12.1281	7.6201	-35.5271	0.0	2	1.0	1.0	1.0	0	0
1701714813591	t	prison_testcue_storefront_left	0.0	8	0	3.5798	567.9359999999999	530.4	1.0	3.3331	492.76800000000003	658.4	1.0	0.1178	-0.158	0.9804	-17.7899	7.4303	-35.4136	0.0	2	1.0	1.0	1.0	0	0
1701714813599	t	prison_testcue_storefront_left	0.0	8	0	3.5741	569.088	530.0799999999999	1.0	3.2179	493.34400000000005	658.72	1.0	0.1175	-0.1609	0.9799	-21.2528	7.3076	-35.3123	0.0	2	1.0	1.0	1.0	0	0
1701714813607	t	prison_testcue_storefront_left	0.0	8	0	3.5785	569.808	529.6	1.0	3.2634	494.352	657.9200000000001	1.0	0.1154	-0.1591	0.9805	-23.401	7.2271	-35.2392	0.0	2	1.0	1.0	1.0	0	0
1701714813616	t	prison_testcue_storefront_left	0.0	8	0	3.5586	572.832	535.68	1.0	3.3083	495.072	657.12	1.0	0.1133	-0.1581	0.9809	-23.8294	7.2128	-35.2158	0.0	2	1.0	1.0	1.0	0	0
1701714813624	t	prison_testcue_storefront_left	0.0	8	0	3.5768	572.976	531.68	1.0	3.3458	494.928	656.96	1.0	0.1141	-0.1572	0.9809	-21.5094	7.3002	-35.2771	0.0	2	1.0	1.0	1.0	0	0
1701714813632	t	prison_testcue_storefront_left	0.0	8	0	3.6109	571.8240000000001	526.88	1.0	3.3828	495.072	657.12	1.0	0.1144	-0.1557	0.9811	-19.5818	7.3745	-35.3478	0.0	2	1.0	1.0	1.0	0	0
1701714813641	t	prison_testcue_storefront_left	0.0	8	0	3.6157	572.688	529.92	1.0	3.3588	495.21599999999995	656.96	1.0	0.1145	-0.1565	0.981	-21.2908	7.312	-35.3049	0.0	2	1.0	1.0	1.0	0	0
1701714813649	t	prison_testcue_storefront_left	0.0	8	0	3.6093	576.288	528.8000000000001	1.0	3.3346	495.35999999999996	656.8	1.0	0.1146	-0.156	0.9811	-23.7304	7.2199	-35.2318	0.0	2	1.0	1.0	1.0	0	0
1701714813658	t	prison_testcue_storefront_left	0.0	8	0	3.5618	577.008	533.6	1.0	3.3277	495.648	656.96	1.0	0.1153	-0.1572	0.9808	-26.0857	7.1311	-35.159	0.0	2	1.0	1.0	1.0	0	0
1701714813666	t	prison_testcue_storefront_left	0.0	8	0	3.575	579.168	532.8000000000001	1.0	3.321	495.936	656.96	1.0	0.115	-0.1571	0.9809	-26.5081	7.1159	-35.1476	0.0	2	1.0	1.0	1.0	0	0
1701714813675	t	prison_testcue_storefront_left	0.0	8	0	3.6065	577.872	530.4	1.0	3.3154	497.376	656.96	1.0	0.1094	-0.1577	0.9814	-26.6258	7.1131	-35.1446	0.0	2	1.0	1.0	1.0	0	0
1701714813683	t	prison_testcue_storefront_left	0.0	8	0	3.5415	579.888	526.24	1.0	3.3098	498.67199999999997	656.96	1.0	0.1043	-0.1576	0.982	-26.6482	7.1141	-35.1457	0.0	2	1.0	1.0	1.0	0	0
1701714813691	t	prison_testcue_storefront_left	0.0	8	0	3.6763	582.624	525.6	1.0	3.2298	507.744	654.88	1.0	0.0735	-0.1538	0.9854	-26.7766	7.1727	-35.3224	0.0	2	1.0	1.0	1.0	0	0
1701714813700	t	prison_testcue_storefront_left	0.0	8	0	3.6205	582.336	527.2	1.0	3.3142	512.0640000000001	656.32	1.0	0.0679	-0.1563	0.9854	-26.976	7.0534	-34.9119	0.0	2	1.0	1.0	1.0	0	0
1701714813708	t	prison_testcue_storefront_left	0.0	8	0	3.5383	587.232	528.16	1.0	3.4191	513.648	659.1999999999999	1.0	0.0681	-0.1628	0.9843	-27.0538	7.0546	-34.9906	0.0	2	1.0	1.0	1.0	0	0
1701714813716	t	prison_testcue_storefront_left	0.0	8	0	3.4671	578.304	526.5600000000001	1.0	3.3593	505.728	658.4	1.0	0.0874	-0.1566	0.9838	-27.0131	7.0732	-35.1444	0.0	2	1.0	1.0	1.0	0	0
1701714813725	t	prison_testcue_storefront_left	0.0	8	0	3.4478	563.76	520.8000000000001	1.0	3.2219	489.168	658.72	1.0	0.1161	-0.1555	0.981	-26.8443	7.098	-35.2961	0.0	2	1.0	1.0	1.0	0	0
1701714813733	t	prison_testcue_storefront_left	0.0	8	0	3.4376	545.76	520.96	1.0	3.348	473.904	657.4399999999999	1.0	0.1476	-0.1552	0.9768	-26.6648	7.019	-34.8993	0.0	2	1.0	1.0	1.0	0	0
1701714813741	t	prison_testcue_storefront_left	0.0	8	0	3.2913	533.376	514.72	1.0	3.3507	459.93600000000004	653.12	1.0	0.1743	-0.1466	0.9737	-26.5452	7.1353	-35.247	0.0	2	1.0	1.0	1.0	0	0
1701714813749	t	prison_testcue_storefront_left	0.0	8	0	3.465	529.92	503.2	1.0	3.2279	455.76	653.4399999999999	1.0	0.1773	-0.1553	0.9718	-26.4763	7.1713	-35.2444	0.0	2	1.0	1.0	1.0	0	0
1701714813758	t	prison_testcue_storefront_left	0.0	8	0	3.259	533.376	521.44	1.0	3.0797	462.384	647.2	1.0	0.1637	-0.1341	0.9774	-26.5334	7.1592	-35.1883	0.0	2	1.0	1.0	1.0	0	0
1701714813766	t	prison_testcue_storefront_left	0.0	8	0	3.3526	538.704	517.92	1.0	3.3032	462.52799999999996	651.04	1.0	0.1777	-0.1454	0.9733	-26.6126	7.1339	-35.1171	0.0	2	1.0	1.0	1.0	0	0
1701714813774	t	prison_testcue_storefront_left	0.0	8	0	3.3962	544.8960000000001	517.92	1.0	3.376	468.43199999999996	651.1999999999999	1.0	0.1751	-0.1448	0.9738	-26.7179	7.1462	-35.1821	0.0	2	1.0	1.0	1.0	0	0
1701714813783	t	prison_testcue_storefront_left	0.0	8	0	3.4778	550.08	506.56	1.0	3.5022	472.32	653.76	1.0	0.1745	-0.151	0.973	-26.7884	7.1143	-35.0966	0.0	2	1.0	1.0	1.0	0	0
1701714813791	t	prison_testcue_storefront_left	0.0	8	0	3.4652	555.84	503.68000000000006	1.0	3.436	477.64799999999997	649.76	1.0	0.1675	-0.1369	0.9763	-26.8505	7.1027	-35.0485	0.0	2	1.0	1.0	1.0	0	0
1701714813799	t	prison_testcue_storefront_left	0.0	8	0	3.4264	560.448	505.76	1.0	3.2615	485.856	649.12	1.0	0.1495	-0.1353	0.9794	-26.5565	7.1177	-35.0517	0.0	2	1.0	1.0	1.0	0	0
1701714813808	t	prison_testcue_storefront_left	0.0	8	0	3.2729	558.72	509.11999999999995	1.0	3.2882	488.88000000000005	653.76	1.0	0.1525	-0.1503	0.9768	-24.831	7.1596	-34.9762	0.0	2	1.0	1.0	1.0	0	0
1701714813816	t	prison_testcue_storefront_left	0.0	8	0	3.5059	571.8240000000001	506.71999999999997	1.0	3.2577	492.76800000000003	651.52	1.0	0.1488	-0.1432	0.9784	-24.0183	7.197	-34.9916	0.0	2	1.0	1.0	1.0	0	0
1701714813825	t	prison_testcue_storefront_left	0.0	8	0	3.4313	569.088	504.0	1.0	3.3303	495.21599999999995	650.88	1.0	0.1524	-0.1367	0.9788	-26.0442	7.1288	-35.0702	0.0	2	1.0	1.0	1.0	0	0
1701714813833	t	prison_testcue_storefront_left	0.0	8	0	3.4574	575.712	494.24	1.0	3.2074	508.752	644.64	1.0	0.1121	-0.1136	0.9872	-27.1718	7.0649	-34.9895	0.0	2	1.0	1.0	1.0	0	0
1701714813841	t	prison_testcue_storefront_left	0.0	8	0	3.4859	580.1759999999999	508.15999999999997	1.0	3.3362	504.288	650.24	1.0	0.1366	-0.1361	0.9812	-27.2309	7.1746	-35.371	0.0	2	1.0	1.0	1.0	0	0
1701714813849	t	prison_testcue_storefront_left	0.0	8	0	3.5075	584.208	501.44	1.0	3.3964	510.048	650.72	1.0	0.1279	-0.1311	0.9831	-27.2861	7.0432	-34.9761	0.0	2	1.0	1.0	1.0	0	0
1701714813857	t	prison_testcue_storefront_left	0.0	8	0	3.5722	584.928	502.4	1.0	3.3348	513.36	651.68	1.0	0.1228	-0.1354	0.9831	-27.3359	7.1134	-35.2358	0.0	2	1.0	1.0	1.0	0	0
1701714813866	t	prison_testcue_storefront_left	0.0	8	0	3.5497	589.968	493.28000000000003	1.0	3.3239	518.256	651.04	1.0	0.1079	-0.1362	0.9848	-27.3645	7.2218	-35.6101	0.0	2	1.0	1.0	1.0	0	0
1701714813874	t	prison_testcue_storefront_left	0.0	8	0	3.5076	596.3040000000001	501.91999999999996	1.0	3.3592	517.9680000000001	650.88	1.0	0.1145	-0.1348	0.9842	-27.3511	7.2242	-35.6269	0.0	2	1.0	1.0	1.0	0	0
1701714813882	t	prison_testcue_storefront_left	0.0	8	0	3.5756	595.008	506.88000000000005	1.0	3.3366	520.8480000000001	651.36	1.0	0.1094	-0.1363	0.9846	-26.0966	7.2778	-35.6658	0.0	2	1.0	1.0	1.0	0	0
1701714813891	t	prison_testcue_storefront_left	0.0	8	0	3.5927	599.1840000000001	503.84000000000003	1.0	3.4599	522.288	651.52	1.0	0.1093	-0.1374	0.9845	-16.7589	7.7188	-36.0717	0.0	2	1.0	1.0	1.0	0	0
1701714813899	t	prison_testcue_storefront_left	0.0	8	0	3.5948	602.352	503.52	1.0	3.3089	523.296	651.52	1.0	0.1087	-0.1382	0.9844	-14.4245	7.8399	-36.1904	0.0	2	1.0	1.0	1.0	0	0
