Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1702063111543	t	safari_testcue_windmill_left	0.0	4	0	3.0618	686.592	831.6800000000001	1.0	3.2581	719.568	1045.6	1.0	-0.0582	-0.0602	0.9965	32.5275	2.7905	-33.1742	0.0	26	1.0	1.0	1.0	100	MYKEYWORD 100
1702063111551	t	safari_testcue_windmill_left	0.0	4	0	3.1052	684.144	839.5200000000001	1.0	3.2321	717.984	1049.6000000000001	1.0	-0.062	-0.0798	0.9949	32.62	2.8714	-33.6145	0.0	26	1.0	1.0	1.0	0	0
1702063111559	t	safari_testcue_windmill_left	0.0	4	0	3.0109	662.976	843.2	1.0	3.2577	698.4	1054.0800000000002	1.0	-0.028	-0.079	0.9965	32.4357	2.877	-34.0011	0.0	26	1.0	1.0	1.0	0	0
1702063111568	t	safari_testcue_windmill_left	0.0	4	0	3.1063	630.72	843.2	1.0	3.3526	666.864	1054.24	1.0	0.0166	-0.0709	0.9973	5.3144	1.5822	-34.7345	0.0	26	1.0	1.0	1.0	0	0
1702063111576	t	safari_testcue_windmill_left	0.0	4	0	3.0627	595.4399999999999	842.7199999999999	1.0	3.3299	629.424	1055.36	1.0	0.0713	-0.0542	0.996	-28.8888	-0.4091	-34.5618	0.0	26	1.0	1.0	1.0	0	0
1702063111584	t	safari_testcue_windmill_left	0.0	4	0	3.2882	556.848	845.12	1.0	3.3195	591.408	1051.52	1.0	0.1251	-0.0414	0.9913	-28.7864	-0.2702	-35.049	0.0	26	1.0	1.0	1.0	0	0
1702063111593	t	safari_testcue_windmill_left	0.0	4	0	3.2923	526.032	844.0	1.0	3.2099	556.848	1055.8400000000001	1.0	0.1663	-0.056	0.9845	-28.2172	-0.0877	-35.6246	0.0	26	1.0	1.0	1.0	0	0
1702063111601	t	safari_testcue_windmill_left	0.0	4	0	3.3126	493.92	841.92	1.0	3.3182	520.416	1056.96	1.0	0.2311	-0.0433	0.972	-26.0086	-0.0332	-35.6849	0.0	26	1.0	1.0	1.0	0	0
1702063111610	t	safari_testcue_windmill_left	0.0	4	0	3.291	465.84000000000003	848.32	0.9719	3.414	487.152	1064.48	1.0	0.2933	-0.0445	0.955	-5.3591	0.8268	-35.228	0.0	26	1.0	1.0	1.0	0	0
1702063111617	t	safari_testcue_windmill_left	0.0	4	0	3.3738	440.496	857.1199999999999	0.9719	3.5218	462.96000000000004	1079.52	1.0	0.3347	-0.0572	0.9406	27.8074	2.272	-34.4106	0.0	26	1.0	1.0	1.0	0	0
