Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701728395582	t	clothingstore_testcue_lobby_left	0.0	17	0	5.1973	869.328	1022.88	1.0	5.2652	844.128	1206.08	1.0	-0.0128	-0.1365	0.9906	0.1035	-2.2553	-30.2711	0.0	6	0.0	1.0	0.5	100	MYKEYWORD 100
1701728395590	t	clothingstore_testcue_lobby_left	0.0	17	0	5.1982	869.472	1022.88	1.0	5.2776	844.272	1206.08	1.0	-0.0131	-0.1365	0.9906	0.1176	-2.2546	-30.2701	0.0	6	0.0	1.0	0.5	0	0
1701728395598	t	clothingstore_testcue_lobby_left	0.0	17	0	5.2148	869.0400000000001	1019.9999999999999	1.0	5.2852	847.728	1207.3600000000001	1.0	-0.0209	-0.1395	0.99	0.1272	-2.2511	-30.1734	0.0	6	0.0	1.0	0.5	0	0
1701728395606	t	clothingstore_testcue_lobby_left	0.0	17	0	5.2378	858.5279999999999	999.2	1.0	5.2657	828.864	1179.6799999999998	1.0	0.0261	-0.0784	0.9966	-8.7227	-2.5244	-30.1968	0.0	6	0.0	1.0	0.5	0	0
1701728395614	t	clothingstore_testcue_lobby_left	0.0	17	0	5.0757	856.224	976.6400000000001	1.0	5.3632	818.784	1160.8	1.0	0.0345	-0.0311	0.9989	18.3177	-1.0393	-30.3432	0.0	6	0.0	1.0	0.5	0	0
1701728395623	t	clothingstore_testcue_lobby_left	0.0	17	0	5.0492	851.6160000000001	964.48	1.0	5.1379	807.264	1136.96	1.0	0.0346	-0.0226	0.9991	28.2182	-0.1511	-31.1738	0.0	6	0.0	1.0	0.5	0	0
1701728395631	t	clothingstore_testcue_lobby_left	0.0	17	0	4.9867	845.5680000000001	952.0	1.0	5.166	799.0559999999999	1125.44	1.0	0.0563	0.0026	0.9984	29.2002	-0.0304	-31.0619	0.0	6	0.0	1.0	0.5	0	0
1701728395639	t	clothingstore_testcue_lobby_left	0.0	17	0	4.8861	842.256	946.24	0.9743	5.0998	797.7600000000001	1121.92	0.9664	0.0695	0.0275	0.9972	29.3034	-0.155	-30.6473	0.0	6	0.0	1.0	0.5	0	0
1701728395648	t	clothingstore_testcue_lobby_left	0.0	17	0	4.889	843.552	949.1199999999999	0.9743	5.0542	801.072	1129.12	0.9664	0.0546	0.0172	0.9984	29.3518	-0.1289	-30.7619	0.0	6	0.0	1.0	0.5	0	0
1701728395656	t	clothingstore_testcue_lobby_left	0.0	17	0	4.8662	843.552	951.0400000000001	1.0	5.0681	803.6640000000001	1130.0800000000002	1.0	0.0523	0.0133	0.9985	29.3636	-0.135	-30.8009	0.0	6	0.0	1.0	0.5	0	0
