Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701884294123	t	attic_testcue_childrensroom_right	0.0	12	0	4.3752	518.256	562.4	1.0	4.6503	495.648	637.4399999999999	1.0	0.0059	-0.0541	0.9985	-26.0318	6.359	-32.5825	0.0	12	1.0	1.0	1.0	100	MYKEYWORD 100
1701884294132	t	attic_testcue_childrensroom_right	0.0	12	0	4.787	523.296	565.4399999999999	1.0	4.6992	492.192	638.0799999999999	1.0	0.0211	-0.0594	0.998	-26.6059	6.3612	-32.583	0.0	12	1.0	1.0	1.0	0	0
1701884294140	t	attic_testcue_childrensroom_right	0.0	12	0	4.5995	522.0	564.96	1.0	4.6747	494.352	638.0799999999999	1.0	0.0114	-0.0596	0.9982	-26.6038	6.3699	-32.6029	0.0	12	1.0	1.0	1.0	0	0
1701884294148	t	attic_testcue_childrensroom_right	0.0	12	0	4.5626	524.016	561.4399999999999	1.0	4.7142	494.208	638.0799999999999	1.0	0.0122	-0.0609	0.9981	-26.6068	6.3818	-32.6361	0.0	12	1.0	1.0	1.0	0	0
1701884294157	t	attic_testcue_childrensroom_right	0.0	12	0	4.5137	523.296	564.32	1.0	4.6368	495.21599999999995	639.68	1.0	0.0063	-0.0661	0.9978	-26.5949	6.3547	-32.5335	0.0	12	1.0	1.0	1.0	0	0
1701884294165	t	attic_testcue_childrensroom_right	0.0	12	0	4.5416	523.152	563.1999999999999	1.0	4.6434	494.78400000000005	638.5600000000001	1.0	0.0071	-0.0624	0.998	-26.5876	6.3467	-32.4896	0.0	12	1.0	1.0	1.0	0	0
1701884294173	t	attic_testcue_childrensroom_right	0.0	12	0	4.5111	522.8639999999999	564.32	1.0	4.6274	493.77599999999995	637.12	1.0	0.0117	-0.0577	0.9983	-26.5913	6.3509	-32.5033	0.0	12	1.0	1.0	1.0	0	0
1701884294182	t	attic_testcue_childrensroom_right	0.0	12	0	4.5006	523.152	563.1999999999999	1.0	4.5284	496.65599999999995	636.48	1.0	0.0024	-0.0544	0.9985	-26.602	6.3427	-32.473	0.0	12	1.0	1.0	1.0	0	0
1701884294190	t	attic_testcue_childrensroom_right	0.0	12	0	4.6891	532.2239999999999	572.64	1.0	4.2547	499.248	650.88	1.0	0.0153	-0.1064	0.9942	-26.7237	6.4175	-32.7911	0.0	12	1.0	1.0	1.0	0	0
1701884294198	t	attic_testcue_childrensroom_right	0.0	12	0	4.6283	544.32	588.16	1.0	4.3388	509.616	652.96	1.0	0.0071	-0.1118	0.9937	-26.9721	7.0808	-35.5036	0.0	12	1.0	1.0	1.0	0	0
1701884294207	t	attic_testcue_childrensroom_right	0.0	12	0	4.636	544.176	599.6800000000001	1.0	4.4326	504.86400000000003	662.08	1.0	-0.0221	-0.1206	0.9924	31.5554	7.56	-34.8448	0.0	12	1.0	1.0	1.0	0	0
1701884294215	t	attic_testcue_childrensroom_right	0.0	12	0	4.6182	539.712	607.6800000000001	1.0	4.5015	502.848	671.04	1.0	-0.0104	-0.138	0.9904	35.5986	7.6633	-35.273	0.0	12	1.0	1.0	1.0	0	0
1701884294223	t	attic_testcue_childrensroom_right	0.0	12	0	4.5508	540.144	607.2	1.0	4.4653	500.688	669.9200000000001	1.0	-0.0158	-0.1314	0.9912	35.6215	7.6162	-35.1787	0.0	12	1.0	1.0	1.0	0	0
1701884294232	t	attic_testcue_childrensroom_right	0.0	12	0	4.6027	539.28	603.04	1.0	4.467	500.256	669.76	1.0	-0.0159	-0.1168	0.993	35.6356	7.6067	-35.146	0.0	12	1.0	1.0	1.0	0	0
1701884294240	t	attic_testcue_childrensroom_right	0.0	12	0	4.6244	544.176	610.0799999999999	1.0	4.5521	501.552	670.24	1.0	-0.0369	-0.1408	0.9893	35.6453	7.547	-34.8982	0.0	12	1.0	1.0	1.0	0	0
1701884294248	t	attic_testcue_childrensroom_right	0.0	12	0	4.4942	540.144	603.52	1.0	4.477	499.968	669.4399999999999	1.0	-0.0195	-0.1221	0.9923	35.6384	7.6589	-35.2851	0.0	12	1.0	1.0	1.0	0	0
1701884294257	t	attic_testcue_childrensroom_right	0.0	12	0	4.6291	539.136	604.8	1.0	4.4528	500.256	669.76	1.0	-0.0182	-0.1268	0.9917	35.645	7.6616	-35.2954	0.0	12	1.0	1.0	1.0	0	0
1701884294265	t	attic_testcue_childrensroom_right	0.0	12	0	4.6396	538.9920000000001	604.64	1.0	4.4287	500.54400000000004	669.9200000000001	1.0	-0.0193	-0.1271	0.9917	35.6508	7.6767	-35.3445	0.0	12	1.0	1.0	1.0	0	0
1701884294274	t	attic_testcue_childrensroom_right	0.0	12	0	4.6679	536.544	607.0400000000001	1.0	4.4508	500.54400000000004	670.24	1.0	-0.0106	-0.1357	0.9907	35.6536	7.673	-35.3269	0.0	12	1.0	1.0	1.0	0	0
1701884294282	t	attic_testcue_childrensroom_right	0.0	12	0	4.6412	538.416	605.6	1.0	4.4353	499.392	670.08	1.0	-0.0174	-0.1309	0.9912	34.8792	7.6625	-35.3201	0.0	12	1.0	1.0	1.0	0	0
