Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701981442948	t	attic_testcue_childrensroom_left	0.0	29	0	5.7042	734.976	928.48	0.8248	5.7167	764.784	1040.96	0.7918	-0.1163	-0.034	0.9926	-32.4656	-0.1941	-33.9767	0.0	19	1.0	1.0	1.0	100	MYKEYWORD 100
1701981442956	t	attic_testcue_childrensroom_left	0.0	29	0	5.584	733.9680000000001	927.8399999999999	0.8248	5.7715	764.784	1041.44	0.7918	-0.1185	-0.0347	0.9923	-33.0861	-0.2132	-33.9731	0.0	19	1.0	1.0	1.0	0	0
1701981442964	t	attic_testcue_childrensroom_left	0.0	29	0	5.6457	736.4159999999999	932.16	0.8627	5.6951	764.64	1042.24	0.8209	-0.1152	-0.0358	0.9927	-33.1317	-0.2027	-34.0518	0.0	19	1.0	1.0	1.0	0	0
1701981442972	t	attic_testcue_childrensroom_left	0.0	29	0	5.5975	734.1120000000001	928.8000000000001	0.8627	5.7335	765.5039999999999	1040.96	0.8209	-0.1162	-0.0271	0.9928	-33.1377	-0.1962	-34.1267	0.0	19	1.0	1.0	1.0	0	0
1701981442981	t	attic_testcue_childrensroom_left	0.0	29	0	5.7195	734.976	933.92	0.8975	5.7024	764.3520000000001	1043.68	0.8487	-0.1114	-0.0378	0.993	-32.7165	-0.1961	-34.0943	0.0	19	1.0	1.0	1.0	0	0
1701981442989	t	attic_testcue_childrensroom_left	0.0	29	0	5.6429	737.1360000000001	931.3599999999999	0.8982	5.7108	765.936	1042.56	0.8496	-0.1173	-0.032	0.9926	-31.6232	-0.1699	-34.1123	0.0	19	1.0	1.0	1.0	0	0
1701981442997	t	attic_testcue_childrensroom_left	0.0	29	0	5.7518	733.68	932.64	0.915	5.7028	765.792	1043.2	0.8852	-0.116	-0.0331	0.9927	-30.4619	-0.1463	-34.1148	0.0	19	1.0	1.0	1.0	0	0
1701981443006	t	attic_testcue_childrensroom_left	0.0	29	0	5.6578	738.1439999999999	931.5200000000001	0.915	5.7595	764.208	1043.3600000000001	0.8852	-0.1191	-0.0247	0.9926	-7.0632	0.403	-34.2109	0.0	19	1.0	1.0	1.0	0	0
1701981443014	t	attic_testcue_childrensroom_left	0.0	29	0	5.8046	734.688	927.9999999999999	0.9326	5.7518	765.5039999999999	1042.08	0.8831	-0.117	-0.0136	0.993	-1.9312	0.5283	-34.2475	0.0	19	1.0	1.0	1.0	0	0
1701981443022	t	attic_testcue_childrensroom_left	0.0	29	0	5.6445	734.544	933.2800000000001	0.9326	5.7022	765.936	1042.7199999999998	0.8831	-0.1166	-0.0291	0.9928	-26.5485	-0.0612	-34.1336	0.0	19	1.0	1.0	1.0	0	0
1701981443031	t	attic_testcue_childrensroom_left	0.0	29	0	5.5229	736.4159999999999	930.72	0.9414	5.7686	765.6479999999999	1045.28	0.9176	-0.1152	-0.0363	0.9927	-26.7737	-0.0791	-34.0981	0.0	19	1.0	1.0	1.0	0	0
1701981443039	t	attic_testcue_childrensroom_left	0.0	29	0	5.741	736.56	932.48	0.9414	5.7943	764.4960000000001	1040.8	0.9176	-0.1099	-0.0203	0.9937	-27.5506	-0.11	-34.0719	0.0	19	1.0	1.0	1.0	0	0
1701981443047	t	attic_testcue_childrensroom_left	0.0	29	0	5.6614	736.1279999999999	931.5200000000001	0.9509	5.7713	765.792	1040.8	0.9181	-0.1144	-0.0199	0.9932	-27.7686	-0.1101	-34.0877	0.0	19	1.0	1.0	1.0	0	0
1701981443056	t	attic_testcue_childrensroom_left	0.0	29	0	5.7451	735.552	932.8	0.9509	5.7337	766.656	1041.76	0.9181	-0.1178	-0.0233	0.9928	-28.1917	-0.119	-34.0943	0.0	19	1.0	1.0	1.0	0	0
1701981443064	t	attic_testcue_childrensroom_left	0.0	29	0	5.7625	735.696	932.64	0.9466	5.7582	765.792	1042.08	0.9415	-0.1143	-0.0246	0.9931	-28.2843	-0.1219	-34.0867	0.0	19	1.0	1.0	1.0	0	0
1701981443072	t	attic_testcue_childrensroom_left	0.0	29	0	5.7356	735.84	932.9599999999999	0.9466	5.7601	765.792	1041.76	0.9415	-0.1144	-0.0235	0.9931	-28.3652	-0.125	-34.0847	0.0	19	1.0	1.0	1.0	0	0
