Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701894233258	t	logcabin_testcue_study_right	0.0	15	0	4.6011	898.992	475.68	0.9472	4.8899	861.5520000000001	515.68	0.8818	-0.1646	0.1211	0.9789	-33.0085	7.4452	-30.5647	0.0	14	0.0	1.0	0.5	100	MYKEYWORD 100
1701894233266	t	logcabin_testcue_study_right	0.0	15	0	4.6792	898.992	476.32000000000005	1.0	4.9624	860.4000000000001	518.72	0.8903	-0.1637	0.113	0.98	-32.9271	7.425	-30.5517	0.0	14	0.0	1.0	0.5	0	0
1701894233274	t	logcabin_testcue_study_right	0.0	15	0	4.6638	898.272	476.15999999999997	1.0	4.943	860.4000000000001	519.68	0.8903	-0.1719	0.1367	0.9756	-3.62	7.5391	-30.4063	0.0	14	0.0	1.0	0.5	0	0
1701894233282	t	logcabin_testcue_study_right	0.0	15	0	4.685	898.128	477.44	1.0	4.9507	862.128	520.64	0.8965	-0.1761	0.137	0.9748	-1.1407	7.5401	-30.3946	0.0	14	0.0	1.0	0.5	0	0
1701894233290	t	logcabin_testcue_study_right	0.0	15	0	4.6649	898.272	478.4	1.0	4.9691	861.84	522.56	0.8965	-0.1759	0.1334	0.9753	-0.4705	7.5343	-30.3861	0.0	14	0.0	1.0	0.5	0	0
1701894233299	t	logcabin_testcue_study_right	0.0	15	0	4.687	898.128	477.59999999999997	1.0	5.0164	860.2560000000001	521.92	0.9035	-0.1718	0.1377	0.9754	-0.4162	7.5292	-30.3843	0.0	14	0.0	1.0	0.5	0	0
1701894233307	t	logcabin_testcue_study_right	0.0	15	0	4.7083	897.84	478.4	1.0	4.9398	861.5520000000001	520.8000000000001	0.9035	-0.1742	0.1405	0.9746	-0.8201	7.5177	-30.3904	0.0	14	0.0	1.0	0.5	0	0
1701894233315	t	logcabin_testcue_study_right	0.0	15	0	4.689	898.128	477.59999999999997	1.0	4.9652	860.832	521.6	0.9098	-0.1727	0.1424	0.9746	-1.2685	7.5059	-30.3915	0.0	14	0.0	1.0	0.5	0	0
1701894233324	t	logcabin_testcue_study_right	0.0	15	0	4.7017	897.84	477.76	1.0	5.051	859.68	522.0799999999999	0.9098	-0.1652	0.1484	0.975	-1.5493	7.4737	-30.3913	0.0	14	0.0	1.0	0.5	0	0
1701894233332	t	logcabin_testcue_study_right	0.0	15	0	4.7069	898.128	478.08000000000004	1.0	5.0425	860.1120000000001	524.0	0.9118	-0.1703	0.1391	0.9755	-2.2887	7.4858	-30.3921	0.0	14	0.0	1.0	0.5	0	0
1701894233340	t	logcabin_testcue_study_right	0.0	15	0	4.712	897.84	478.4	1.0	4.961	861.5520000000001	523.0400000000001	0.9118	-0.1743	0.1426	0.9743	-2.1159	7.4794	-30.3964	0.0	14	0.0	1.0	0.5	0	0
1701894233349	t	logcabin_testcue_study_right	0.0	15	0	4.7198	897.264	478.4	1.0	5.0232	861.2639999999999	523.36	0.9039	-0.1723	0.143	0.9746	-2.1977	7.4747	-30.3962	0.0	14	0.0	1.0	0.5	0	0
1701894233357	t	logcabin_testcue_study_right	0.0	15	0	4.7273	896.6880000000001	478.55999999999995	1.0	5.0024	860.1120000000001	523.2	0.9039	-0.1679	0.1425	0.9754	-2.2785	7.476	-30.3958	0.0	14	0.0	1.0	0.5	0	0
1701894233365	t	logcabin_testcue_study_right	0.0	15	0	4.7202	896.976	478.72	1.0	5.0278	860.2560000000001	522.88	0.9205	-0.1683	0.1436	0.9752	-2.3383	7.4732	-30.3983	0.0	14	0.0	1.0	0.5	0	0
1701894233374	t	logcabin_testcue_study_right	0.0	15	0	4.7272	896.6880000000001	478.88	1.0	5.0302	861.696	523.36	0.9205	-0.1717	0.1408	0.975	-2.3262	7.4791	-30.3971	0.0	14	0.0	1.0	0.5	0	0
1701894233382	t	logcabin_testcue_study_right	0.0	15	0	4.7406	896.5440000000001	478.88	1.0	5.0903	861.5520000000001	523.0400000000001	0.9077	-0.1713	0.1405	0.9751	-2.2587	7.4834	-30.3965	0.0	14	0.0	1.0	0.5	0	0
1701894233390	t	logcabin_testcue_study_right	0.0	15	0	4.754	896.6880000000001	478.88	1.0	5.0982	861.696	521.92	0.9083	-0.1726	0.143	0.9746	-2.3246	7.4823	-30.3997	0.0	14	0.0	1.0	0.5	0	0
1701894233399	t	logcabin_testcue_study_right	0.0	15	0	4.7741	896.4000000000001	478.88	1.0	5.0921	861.5520000000001	523.52	0.9154	-0.1716	0.1396	0.9752	-2.2188	7.4828	-30.3951	0.0	14	0.0	1.0	0.5	0	0
1701894233407	t	logcabin_testcue_study_right	0.0	15	0	4.7873	896.112	479.2	1.0	5.0839	860.544	523.36	0.9154	-0.1698	0.1389	0.9756	-2.465	7.4816	-30.3925	0.0	14	0.0	1.0	0.5	0	0
1701894233415	t	logcabin_testcue_study_right	0.0	15	0	4.8268	889.344	482.4	1.0	5.1284	853.92	525.76	0.9066	-0.1688	0.1408	0.9755	-3.6315	7.4097	-30.3601	0.0	14	0.0	1.0	0.5	0	0
1701894233424	t	logcabin_testcue_study_right	0.0	15	0	5.0012	862.704	495.35999999999996	1.0	5.1959	827.856	539.8399999999999	0.9066	-0.1073	0.1035	0.9888	-32.1551	7.0877	-30.4731	0.0	14	0.0	1.0	0.5	0	0
1701894233433	t	logcabin_testcue_study_right	0.0	15	0	5.0313	834.624	508.15999999999997	1.0	5.1647	794.16	557.76	0.9146	-0.0633	0.0635	0.996	-31.9572	6.6393	-29.1949	0.0	14	0.0	1.0	0.5	0	0
1701894233441	t	logcabin_testcue_study_right	0.0	15	0	5.0886	807.5519999999999	521.12	1.0	5.0703	761.904	561.76	0.9146	-0.0155	0.0745	0.9971	-31.4191	6.562	-29.3375	0.0	14	0.0	1.0	0.5	0	0
1701894233450	t	logcabin_testcue_study_right	0.0	15	0	4.9794	777.1679999999999	533.4399999999999	1.0	5.0536	728.0640000000001	576.32	0.9497	0.0642	0.0376	0.9972	-31.2617	6.5741	-29.8745	0.0	14	0.0	1.0	0.5	0	0
1701894233458	t	logcabin_testcue_study_right	0.0	15	0	4.9123	753.12	540.48	1.0	4.9303	697.68	586.56	0.9497	0.1208	0.0097	0.9926	-30.7862	6.7384	-30.8694	0.0	14	0.0	1.0	0.5	0	0
1701894233466	t	logcabin_testcue_study_right	0.0	15	0	4.8191	732.672	554.5600000000001	1.0	5.0995	675.648	598.08	1.0	0.16	-0.0056	0.9871	-30.4707	6.4191	-30.1363	0.0	14	0.0	1.0	0.5	0	0
1701894233474	t	logcabin_testcue_study_right	0.0	15	0	4.9399	716.976	556.1600000000001	1.0	5.0713	662.544	600.96	1.0	0.1855	-0.002	0.9826	-30.2314	6.2998	-29.8913	0.0	14	0.0	1.0	0.5	0	0
1701894233483	t	logcabin_testcue_study_right	0.0	15	0	4.9741	711.36	557.9200000000001	1.0	5.1358	658.08	601.76	1.0	0.1931	-0.0098	0.9811	-29.047	6.1966	-29.338	0.0	14	0.0	1.0	0.5	0	0
1701894233491	t	logcabin_testcue_study_right	0.0	15	0	4.9637	706.3199999999999	556.1600000000001	1.0	5.1898	659.52	600.96	1.0	0.1804	-0.0138	0.9835	-28.6544	6.2231	-29.2892	0.0	14	0.0	1.0	0.5	0	0
1701894233499	t	logcabin_testcue_study_right	0.0	15	0	4.9383	700.416	555.68	1.0	5.1025	656.208	597.44	1.0	0.1855	-0.0098	0.9826	-27.8324	6.2487	-29.1787	0.0	14	0.0	1.0	0.5	0	0
1701894233508	t	logcabin_testcue_study_right	0.0	15	0	4.9658	697.1039999999999	551.8399999999999	1.0	5.2071	652.608	596.16	1.0	0.1779	-0.0152	0.9839	-27.4956	6.2701	-29.0619	0.0	14	0.0	1.0	0.5	0	0
1701894233516	t	logcabin_testcue_study_right	0.0	15	0	5.0205	692.928	545.76	1.0	5.1514	646.5600000000001	592.8	1.0	0.1781	0.0061	0.984	17.4303	6.934	-29.8966	0.0	14	0.0	1.0	0.5	0	0
1701894233524	t	logcabin_testcue_study_right	0.0	15	0	5.0337	689.616	541.12	1.0	5.0892	645.408	592.64	1.0	0.1741	0.0164	0.9846	31.7241	7.1706	-30.0709	0.0	14	0.0	1.0	0.5	0	0
1701894233533	t	logcabin_testcue_study_right	0.0	15	0	4.9781	687.024	538.5600000000001	1.0	5.1473	645.12	596.96	1.0	0.1705	0.021	0.9851	31.8159	7.1971	-30.0781	0.0	14	0.0	1.0	0.5	0	0
