Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701710161118	t	nursery_testcue_tearoom_left	0.0	3	0	4.8246	769.824	839.1999999999999	1.0	4.1077	729.3599999999999	956.32	1.0	0.047	-0.0392	0.9981	3.5964	1.0549	-31.4315	0.0	1	1.0	1.0	1.0	100	MYKEYWORD 100
1701710161127	t	nursery_testcue_tearoom_left	0.0	3	0	4.8293	768.816	839.1999999999999	1.0	4.1711	730.224	956.48	1.0	0.0489	-0.0379	0.9981	3.7139	1.0468	-31.4073	0.0	1	1.0	1.0	1.0	0	0
1701710161135	t	nursery_testcue_tearoom_left	0.0	3	0	4.8265	767.808	839.1999999999999	1.0	4.142	728.3520000000001	957.76	1.0	0.0615	-0.0385	0.9974	20.9666	1.1312	-30.0823	0.0	1	1.0	1.0	1.0	0	0
1701710161143	t	nursery_testcue_tearoom_left	0.0	3	0	4.8162	767.088	839.3599999999999	1.0	4.1573	728.0640000000001	955.52	1.0	0.0642	-0.0353	0.9973	21.5383	1.0999	-29.9571	0.0	1	1.0	1.0	1.0	0	0
1701710161152	t	nursery_testcue_tearoom_left	0.0	3	0	4.8064	766.512	839.1999999999999	1.0	4.0858	727.4879999999999	958.7199999999999	1.0	0.0695	-0.0363	0.9969	28.9218	1.1395	-29.3928	0.0	1	1.0	1.0	1.0	0	0
1701710161160	t	nursery_testcue_tearoom_left	0.0	3	0	4.7213	764.208	837.7599999999999	1.0	4.1241	726.624	956.48	1.0	0.0771	-0.0287	0.9966	29.8179	1.1685	-29.4616	0.0	1	1.0	1.0	1.0	0	0
1701710161168	t	nursery_testcue_tearoom_left	0.0	3	0	4.8205	760.032	836.48	1.0	4.1219	725.76	957.9200000000001	1.0	0.0874	-0.0229	0.9959	30.1216	1.1579	-29.4144	0.0	1	1.0	1.0	1.0	0	0
1701710161177	t	nursery_testcue_tearoom_left	0.0	3	0	4.838	756.144	834.8800000000001	1.0	4.1185	724.176	956.9599999999999	1.0	0.0989	-0.0182	0.9949	30.2771	1.0613	-29.013	0.0	1	1.0	1.0	1.0	0	0
1701710161185	t	nursery_testcue_tearoom_left	0.0	3	0	4.7092	755.136	831.3599999999999	1.0	3.8958	725.3280000000001	953.92	1.0	0.1055	-0.0137	0.9943	30.5256	1.2041	-29.3817	0.0	1	1.0	1.0	1.0	0	0
1701710161193	t	nursery_testcue_tearoom_left	0.0	3	0	4.1915	773.1360000000001	848.48	0.8784	4.055	737.856	958.8800000000001	0.9271	0.0462	-0.0698	0.9965	-19.2187	1.4799	-34.7893	0.0	1	1.0	1.0	1.0	0	0
