Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1702060053040	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.1384	733.68	891.04	1.0	3.3208	728.784	904.64	1.0	-0.0546	-0.0967	0.9938	31.0384	3.3004	-37.0994	0.0	25	1.0	1.0	0.0	100	MYKEYWORD 100
1702060053049	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3273	736.1279999999999	890.4	1.0	3.4162	731.2320000000001	903.9999999999999	1.0	-0.0644	-0.0957	0.9933	31.3047	3.3239	-37.1501	0.0	25	1.0	1.0	0.0	0	0
1702060053057	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.1967	733.9680000000001	890.7199999999999	1.0	3.3008	729.648	904.8	1.0	-0.0528	-0.0996	0.9936	27.7823	3.3958	-37.3718	0.0	25	1.0	1.0	0.0	0	0
1702060053065	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.1339	732.816	890.4	1.0	3.388	728.784	905.12	1.0	-0.0447	-0.101	0.9939	15.9162	3.5265	-37.8309	0.0	25	1.0	1.0	0.0	0	0
1702060053074	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.1271	733.9680000000001	888.8	1.0	3.3242	730.224	905.7600000000001	1.0	-0.0475	-0.0994	0.9939	18.5332	3.5081	-37.7184	0.0	25	1.0	1.0	0.0	0	0
1702060053082	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.2851	732.672	888.48	1.0	3.2569	727.4879999999999	905.9200000000001	1.0	-0.0377	-0.1001	0.9943	16.3261	3.5112	-37.7135	0.0	25	1.0	1.0	0.0	0	0
1702060053090	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.226	735.1199999999999	888.1600000000001	1.0	3.4011	731.952	905.7600000000001	1.0	-0.038	-0.0991	0.9943	6.9418	3.5987	-38.0673	0.0	25	1.0	1.0	0.0	0	0
1702060053099	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.1556	749.376	890.4	1.0	3.3919	746.064	907.3600000000001	1.0	-0.0518	-0.0993	0.9937	-1.258	3.6759	-38.4892	0.0	25	1.0	1.0	0.0	0	0
1702060053107	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3496	779.76	898.7199999999999	1.0	3.2998	772.128	913.7600000000001	1.0	-0.0968	-0.1093	0.9893	-16.782	3.8237	-39.3017	0.0	25	1.0	1.0	0.0	0	0
1702060053115	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.2767	808.272	903.8399999999999	1.0	3.3379	802.6560000000001	921.4399999999999	1.0	-0.1537	-0.1189	0.9809	-19.6849	3.8125	-39.4905	0.0	25	1.0	1.0	0.0	0	0
1702060053124	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3318	833.184	914.4	1.0	3.4672	827.28	924.9599999999999	1.0	-0.2061	-0.1198	0.9712	-16.5026	3.7199	-39.3753	0.0	25	1.0	1.0	0.0	0	0
1702060053132	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.4047	844.7040000000001	913.4399999999999	1.0	3.5551	835.488	931.04	1.0	-0.2219	-0.1356	0.9656	-3.9102	3.5656	-38.7222	0.0	25	1.0	1.0	0.0	0	0
1702060053140	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.439	842.976	911.9999999999999	1.0	3.5919	836.208	928.32	1.0	-0.2139	-0.1363	0.9673	13.9603	3.3568	-37.7697	0.0	25	1.0	1.0	0.0	0	0
1702060053149	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.4601	842.6880000000001	910.72	1.0	3.2508	834.48	931.04	1.0	-0.2068	-0.1339	0.9692	18.7046	3.2898	-37.5334	0.0	25	1.0	1.0	0.0	0	0
1702060053157	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3847	841.5360000000001	909.1200000000001	1.0	3.6431	835.6320000000001	927.0400000000001	1.0	-0.2003	-0.1284	0.9713	19.2781	3.2902	-37.5093	0.0	25	1.0	1.0	0.0	0	0
1702060053165	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.4785	843.12	907.84	1.0	3.5515	838.8000000000001	924.3199999999999	1.0	-0.2119	-0.1346	0.968	18.3893	3.3558	-37.5283	0.0	25	1.0	1.0	0.0	0	0
1702060053174	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.4221	842.8320000000001	905.5999999999999	1.0	3.5276	838.2239999999999	921.28	1.0	-0.2103	-0.1302	0.9689	12.7325	3.4526	-37.8246	0.0	25	1.0	1.0	0.0	0	0
1702060053182	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.4392	842.544	904.48	1.0	3.5938	836.64	917.1200000000001	1.0	-0.2063	-0.126	0.9703	3.4445	3.599	-38.3117	0.0	25	1.0	1.0	0.0	0	0
1702060053191	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.4686	838.8000000000001	901.44	1.0	3.5024	839.664	916.48	1.0	-0.2039	-0.1223	0.9713	-1.9057	3.6899	-38.592	0.0	25	1.0	1.0	0.0	0	0
1702060053199	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3582	839.376	899.04	1.0	3.5072	839.664	915.3600000000001	1.0	-0.2027	-0.1202	0.9718	-2.9019	3.7199	-38.641	0.0	25	1.0	1.0	0.0	0	0
1702060053207	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.4106	840.24	897.12	1.0	3.5469	841.248	916.3199999999999	1.0	-0.205	-0.1226	0.971	-3.1919	3.7422	-38.6553	0.0	25	1.0	1.0	0.0	0	0
1702060053215	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3084	840.672	892.0	1.0	3.5948	843.9839999999999	914.24	1.0	-0.2089	-0.1147	0.9712	-3.331	3.7685	-38.6669	0.0	25	1.0	1.0	0.0	0	0
1702060053224	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3086	840.672	892.16	1.0	3.4322	844.128	911.0400000000001	1.0	-0.2075	-0.1135	0.9716	-3.6313	3.7907	-38.6793	0.0	25	1.0	1.0	0.0	0	0
1702060053232	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3325	841.248	891.2	1.0	3.4767	843.264	913.9200000000001	1.0	-0.2047	-0.1215	0.9713	-3.0332	3.8008	-38.6389	0.0	25	1.0	1.0	0.0	0	0
1702060053240	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3737	841.6800000000001	889.4399999999999	1.0	3.3442	843.8399999999999	906.56	1.0	-0.205	-0.1099	0.9726	-1.9905	3.8115	-38.585	0.0	25	1.0	1.0	0.0	0	0
1702060053249	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3645	842.256	887.04	1.0	3.3882	846.144	908.8	1.0	-0.208	-0.1147	0.9714	-1.7111	3.8311	-38.5666	0.0	25	1.0	1.0	0.0	0	0
1702060053257	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3623	843.9839999999999	886.5600000000001	1.0	3.2849	845.136	902.2399999999999	1.0	-0.2059	-0.106	0.9728	-1.4333	3.8443	-38.5522	0.0	25	1.0	1.0	0.0	0	0
1702060053265	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3405	843.552	885.92	1.0	3.3027	845.7120000000001	904.48	1.0	-0.2036	-0.1105	0.9728	-1.4365	3.8499	-38.5481	0.0	25	1.0	1.0	0.0	0	0
1702060053273	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.336	842.976	882.4	1.0	3.2421	842.112	901.12	1.0	-0.1938	-0.0997	0.9759	-0.0331	3.8338	-38.47	0.0	25	1.0	1.0	0.0	0	0
1702060053281	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3201	844.5600000000001	885.12	1.0	3.3553	842.8320000000001	898.56	1.0	-0.2002	-0.0975	0.9749	0.4471	3.8192	-38.4517	0.0	25	1.0	1.0	0.0	0	0
1702060053290	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.1446	847.296	889.12	1.0	3.2322	844.848	908.3199999999999	1.0	-0.2003	-0.091	0.9755	-1.9811	3.7127	-38.6182	0.0	25	1.0	1.0	0.0	0	0
1702060053298	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3694	858.96	919.52	1.0	3.2062	849.456	933.1200000000001	1.0	-0.216	-0.1324	0.9674	-2.7977	3.4772	-38.7094	0.0	25	1.0	1.0	0.0	0	0
1702060053306	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3844	874.6560000000001	951.0400000000001	1.0	3.2223	858.24	970.88	1.0	-0.239	-0.1946	0.9513	-4.6222	3.2483	-38.8803	0.0	25	1.0	1.0	0.0	0	0
1702060053315	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.2676	888.9119999999999	984.16	1.0	3.2748	868.4639999999999	1005.12	1.0	-0.2594	-0.2474	0.9335	-6.6283	3.007	-39.086	0.0	25	1.0	1.0	0.0	0	0
1702060053323	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3729	900.4319999999999	1009.6	1.0	3.2399	875.808	1031.68	1.0	-0.2785	-0.2833	0.9177	-9.9799	2.8333	-39.3577	0.0	25	1.0	1.0	0.0	0	0
1702060053332	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.3222	911.952	1031.68	1.0	3.3074	882.288	1052.96	1.0	-0.2864	-0.3136	0.9053	-11.9179	2.6842	-39.5377	0.0	25	1.0	1.0	0.0	0	0
1702060053340	t	terrace_testcue_cocktaillounge_right	0.0	12	0	3.281	914.832	1048.32	1.0	3.2624	890.7840000000001	1080.0	1.0	-0.2907	-0.3638	0.8849	-10.2583	2.5629	-39.5205	0.0	25	1.0	1.0	0.0	0	0
