Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701995273588	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8755	766.512	842.0799999999999	0.3555	4.5032	726.624	1128.64	0.5816	-0.0294	-0.5682	0.8224	-4.5851	4.0059	-39.1524	0.0	23	1.0	1.0	1.0	100	MYKEYWORD 100
1701995273596	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8439	764.784	838.5600000000001	0.3555	4.4915	727.92	1132.32	0.5816	-0.0292	-0.573	0.819	-5.0873	3.9853	-39.1743	0.0	23	1.0	1.0	1.0	0	0
1701995273605	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8827	764.928	838.4000000000001	0.3598	4.5233	727.4879999999999	1125.76	0.5912	-0.0288	-0.5611	0.8272	-4.6613	4.0146	-39.145	0.0	23	1.0	1.0	1.0	0	0
1701995273613	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8958	764.928	838.08	0.3598	4.5023	725.472	1122.72	0.5912	-0.0242	-0.5566	0.8304	-4.8403	4.0082	-39.1459	0.0	23	1.0	1.0	1.0	0	0
1701995273621	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.908	764.928	836.8000000000001	0.3845	4.4305	724.32	1126.08	0.6213	-0.0207	-0.563	0.8262	-5.5078	3.9713	-39.1751	0.0	23	1.0	1.0	1.0	0	0
1701995273630	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8941	764.928	835.52	0.3845	4.4578	724.32	1125.76	0.6213	-0.0207	-0.561	0.8275	-5.6474	3.9652	-39.1817	0.0	23	1.0	1.0	1.0	0	0
1701995273638	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8888	765.5039999999999	836.0	0.3903	4.4798	724.896	1124.48	0.618	-0.0233	-0.5585	0.8292	-5.3764	3.9794	-39.17	0.0	23	1.0	1.0	1.0	0	0
1701995273646	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8833	765.216	836.48	0.3903	4.4585	725.1840000000001	1125.76	0.618	-0.024	-0.5612	0.8273	-5.3229	3.9818	-39.1676	0.0	23	1.0	1.0	1.0	0	0
1701995273655	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8888	765.5039999999999	836.0	0.3894	4.4811	724.752	1127.68	0.6119	-0.0225	-0.5651	0.8247	-5.7063	3.9598	-39.1836	0.0	23	1.0	1.0	1.0	0	0
1701995273663	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8911	765.6479999999999	835.52	0.3894	4.4595	725.04	1128.48	0.6119	-0.0233	-0.5663	0.8239	-5.7962	3.9545	-39.1873	0.0	23	1.0	1.0	1.0	0	0
1701995273671	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8869	765.5039999999999	835.52	0.3897	4.4819	724.752	1129.12	0.6152	-0.0225	-0.5665	0.8238	-5.352	3.9799	-39.1697	0.0	23	1.0	1.0	1.0	0	0
1701995273680	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8828	765.5039999999999	835.52	0.3897	4.4595	724.32	1129.6	0.6152	-0.0222	-0.567	0.8234	-5.0653	3.9964	-39.1586	0.0	23	1.0	1.0	1.0	0	0
1701995273688	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.9173	764.784	842.0799999999999	0.3709	4.3946	721.872	1141.12	0.6054	-0.0171	-0.5793	0.8149	-4.6624	3.9449	-39.1912	0.0	23	1.0	1.0	1.0	0	0
1701995273696	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.9738	763.344	856.1600000000001	0.3709	4.4537	719.856	1146.56	0.6054	-0.0124	-0.5868	0.8096	-2.0961	4.017	-39.1229	0.0	23	1.0	1.0	1.0	0	0
1701995273704	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.898	764.208	852.4800000000001	0.371	-1.0	712.08	1158.24	0.5915	-0.0453	-0.5137	0.8568	31.619	5.9196	-37.7109	0.0	23	1.0	1.0	1.0	0	0
1701995273713	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8549	766.656	860.0	0.371	-1.0	713.952	1171.8400000000001	0.5915	-0.039	-0.5316	0.8461	31.5459	5.8948	-37.7484	0.0	23	1.0	1.0	1.0	0	0
1701995273721	t	trailerpark_testcue_shipppingyard_left	0.0	23	0	4.8364	770.4000000000001	864.0	0.3591	-1.0	714.096	1185.44	0.5528	-0.0506	-0.5314	0.8456	31.5284	5.8325	-37.7657	0.0	23	1.0	1.0	1.0	0	0
