Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701994074994	t	campsite_testcue_resort_right	0.0	9	0	4.166	634.7520000000001	580.32	1.0	3.6278	640.8	833.44	1.0	0.1639	-0.0181	0.9863	6.4022	6.5808	-38.176	0.0	23	0.0	1.0	0.5	100	MYKEYWORD 100
1701994075003	t	campsite_testcue_resort_right	0.0	9	0	4.102	636.192	581.28	1.0	3.6197	640.08	833.92	1.0	0.1592	-0.0215	0.987	2.0327	6.3471	-38.373	0.0	23	0.0	1.0	0.5	0	0
1701994075011	t	campsite_testcue_resort_right	0.0	9	0	4.126	635.184	581.28	1.0	3.6276	639.936	834.0799999999999	1.0	0.1593	-0.0225	0.987	-2.944	6.0762	-38.5603	0.0	23	0.0	1.0	0.5	0	0
1701994075019	t	campsite_testcue_resort_right	0.0	9	0	4.1041	634.8960000000001	581.28	1.0	3.6228	639.936	834.0799999999999	1.0	0.1587	-0.0237	0.987	-5.8862	5.917	-38.6672	0.0	23	0.0	1.0	0.5	0	0
1701994075028	t	campsite_testcue_resort_right	0.0	9	0	4.2102	633.744	581.76	1.0	3.6292	639.648	834.0799999999999	1.0	0.1591	-0.025	0.9869	-6.7643	5.869	-38.6939	0.0	23	0.0	1.0	0.5	0	0
1701994075036	t	campsite_testcue_resort_right	0.0	9	0	4.1525	633.312	580.64	1.0	3.6593	635.04	835.2	1.0	0.1679	-0.0229	0.9855	-2.3619	6.1237	-38.6146	0.0	23	0.0	1.0	0.5	0	0
1701994075044	t	campsite_testcue_resort_right	0.0	9	0	4.1065	631.44	581.12	1.0	3.6713	634.4639999999999	836.0	1.0	0.1717	-0.0203	0.9849	10.619	6.8195	-38.1049	0.0	23	0.0	1.0	0.5	0	0
1701994075052	t	campsite_testcue_resort_right	0.0	9	0	4.1486	631.584	580.48	1.0	3.6944	631.0079999999999	835.68	1.0	0.1721	-0.0106	0.985	24.4386	7.544	-37.5298	0.0	23	0.0	1.0	0.5	0	0
1701994075061	t	campsite_testcue_resort_right	0.0	9	0	4.1332	629.856	583.04	1.0	3.7605	631.296	835.8399999999999	1.0	0.1751	-0.0151	0.9844	25.992	7.5988	-37.4247	0.0	23	0.0	1.0	0.5	0	0
1701994075069	t	campsite_testcue_resort_right	0.0	9	0	4.1305	628.272	584.64	1.0	3.7207	631.728	837.7599999999999	1.0	0.1778	-0.0161	0.9839	25.9349	7.563	-37.3901	0.0	23	0.0	1.0	0.5	0	0
