Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701891138605	t	attic_testcue_childrensroom_left	0.0	19	0	3.8905	766.224	858.24	1.0	3.7329	792.8639999999999	1221.6	1.0	0.0827	0.2327	0.969	-2.5039	-0.7868	-37.7789	0.0	13	0.0	1.0	0.0	100	MYKEYWORD 100
1701891138614	t	attic_testcue_childrensroom_left	0.0	19	0	3.8958	766.368	858.08	1.0	3.7394	793.0079999999999	1221.12	1.0	0.0823	0.2334	0.9689	-2.2095	-0.751	-37.7969	0.0	13	0.0	1.0	0.0	0	0
1701891138622	t	attic_testcue_childrensroom_left	0.0	19	0	3.8905	766.224	857.9200000000001	1.0	3.7358	793.1519999999999	1220.48	1.0	0.082	0.2342	0.9687	-2.0739	-0.7334	-37.8056	0.0	13	0.0	1.0	0.0	0	0
1701891138630	t	attic_testcue_childrensroom_left	0.0	19	0	3.887	766.368	857.76	1.0	3.735	793.1519999999999	1220.3200000000002	1.0	0.0819	0.2343	0.9687	-1.9194	-0.7147	-37.8154	0.0	13	0.0	1.0	0.0	0	0
1701891138639	t	attic_testcue_childrensroom_left	0.0	19	0	3.8903	766.368	857.9200000000001	1.0	3.7337	793.2959999999999	1220.48	1.0	0.0818	0.2338	0.9688	-2.0271	-0.7259	-37.809	0.0	13	0.0	1.0	0.0	0	0
1701891138647	t	attic_testcue_childrensroom_left	0.0	19	0	3.8868	766.368	857.76	1.0	3.7289	793.44	1220.48	1.0	0.0816	0.234	0.9688	-2.2216	-0.7481	-37.7977	0.0	13	0.0	1.0	0.0	0	0
1701891138655	t	attic_testcue_childrensroom_left	0.0	19	0	3.8905	766.368	857.76	1.0	3.6921	796.32	1218.88	1.0	0.0757	0.2356	0.9689	-2.4589	-0.7677	-37.788	0.0	13	0.0	1.0	0.0	0	0
1701891138664	t	attic_testcue_childrensroom_left	0.0	19	0	3.8875	766.368	857.44	1.0	3.6276	795.024	1220.1599999999999	1.0	0.0792	0.233	0.9692	-2.2373	-0.7402	-37.8023	0.0	13	0.0	1.0	0.0	0	0
1701891138673	t	attic_testcue_childrensroom_left	0.0	19	0	3.8842	766.224	857.2800000000001	1.0	3.6265	795.7439999999999	1220.0	1.0	0.0804	0.2352	0.9686	-2.2538	-0.7503	-37.7961	0.0	13	0.0	1.0	0.0	0	0
1701891138681	t	attic_testcue_childrensroom_left	0.0	19	0	3.8839	766.224	857.2800000000001	1.0	3.6049	794.7359999999999	1220.96	1.0	0.0821	0.2318	0.9693	-2.2118	-0.7393	-37.7937	0.0	13	0.0	1.0	0.0	0	0
1701891138689	t	attic_testcue_childrensroom_left	0.0	19	0	3.8853	766.08	856.8	1.0	3.6445	796.464	1217.44	1.0	0.0793	0.2371	0.9682	-2.176	-0.7249	-37.8028	0.0	13	0.0	1.0	0.0	0	0
1701891138698	t	attic_testcue_childrensroom_left	0.0	19	0	3.8863	765.936	856.48	1.0	3.7105	796.32	1217.1200000000001	1.0	0.0804	0.2382	0.9679	-2.1801	-0.7218	-37.8023	0.0	13	0.0	1.0	0.0	0	0
1701891138706	t	attic_testcue_childrensroom_left	0.0	19	0	3.8868	765.936	856.0	1.0	3.7374	796.464	1216.6399999999999	1.0	0.0799	0.239	0.9677	-2.206	-0.7207	-37.8005	0.0	13	0.0	1.0	0.0	0	0
1701891138715	t	attic_testcue_childrensroom_left	0.0	19	0	3.9035	765.6479999999999	856.0	1.0	3.7597	796.6080000000001	1213.76	1.0	0.0777	0.237	0.9684	-2.0474	-0.6665	-37.8163	0.0	13	0.0	1.0	0.0	0	0
1701891138723	t	attic_testcue_childrensroom_left	0.0	19	0	3.8854	765.6479999999999	856.0	1.0	3.6679	796.896	1214.8799999999999	1.0	0.0766	0.2334	0.9693	-1.9212	-0.6464	-37.8215	0.0	13	0.0	1.0	0.0	0	0
1701891138731	t	attic_testcue_childrensroom_left	0.0	19	0	3.8845	765.5039999999999	855.84	1.0	3.8007	795.8879999999999	1213.76	1.0	0.0781	0.2362	0.9685	-1.7545	-0.6285	-37.8345	0.0	13	0.0	1.0	0.0	0	0
1701891138739	t	attic_testcue_childrensroom_left	0.0	19	0	3.8799	761.6160000000001	855.04	1.0	3.7381	795.7439999999999	1214.8799999999999	1.0	0.0808	0.2329	0.9691	-1.6628	-0.607	-37.8418	0.0	13	0.0	1.0	0.0	0	0
1701891138748	t	attic_testcue_childrensroom_left	0.0	19	0	3.8687	760.608	854.5600000000001	1.0	3.587	794.16	1218.24	1.0	0.0822	0.2251	0.9709	-1.8324	-0.6195	-37.8248	0.0	13	0.0	1.0	0.0	0	0
1701891138756	t	attic_testcue_childrensroom_left	0.0	19	0	3.8759	760.32	854.5600000000001	1.0	3.6613	795.8879999999999	1216.16	1.0	0.0779	0.2253	0.9712	-1.9278	-0.6114	-37.819	0.0	13	0.0	1.0	0.0	0	0
1701891138764	t	attic_testcue_childrensroom_left	0.0	19	0	3.8688	760.176	850.7199999999999	1.0	3.7206	793.2959999999999	1212.16	1.0	0.0804	0.2283	0.9703	-2.4054	-0.6152	-37.7927	0.0	13	0.0	1.0	0.0	0	0
1701891138772	t	attic_testcue_childrensroom_left	0.0	19	0	3.8062	756.8639999999999	847.5199999999999	1.0	3.8245	796.32	1203.04	1.0	0.0775	0.2397	0.9677	-2.4598	-0.5702	-37.7989	0.0	13	0.0	1.0	0.0	0	0
1701891138780	t	attic_testcue_childrensroom_left	0.0	19	0	3.828	753.9839999999999	843.8399999999999	1.0	3.7241	794.304	1200.16	1.0	0.0836	0.2375	0.9678	-2.1342	-0.4742	-37.8131	0.0	13	0.0	1.0	0.0	0	0
1701891138790	t	attic_testcue_childrensroom_left	0.0	19	0	3.9897	736.9920000000001	835.0400000000001	1.0	3.6296	781.056	1199.68	0.4439	0.1035	0.2463	0.9636	-4.3917	-0.7091	-37.6972	0.0	13	0.0	1.0	0.0	0	0
