Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701721317429	t	steamshower_testcue_enclosure_right	0.0	10	0	3.0059	774.0	916.16	1.0	3.2553	825.552	1037.76	1.0	-0.0177	-0.1131	0.9934	-6.196	3.0936	-41.8463	0.0	4	1.0	1.0	1.0	100	MYKEYWORD 100
1701721317437	t	steamshower_testcue_enclosure_right	0.0	10	0	2.9789	753.9839999999999	886.4000000000001	1.0	3.4037	802.6560000000001	1006.08	1.0	0.0218	-0.0726	0.9971	-16.2424	3.3766	-42.5733	0.0	4	1.0	1.0	1.0	0	0
1701721317445	t	steamshower_testcue_enclosure_right	0.0	10	0	3.028	739.7280000000001	854.08	1.0	3.2703	779.904	973.28	1.0	0.045	-0.0197	0.9988	10.0814	4.2055	-42.2764	0.0	4	1.0	1.0	1.0	0	0
1701721317454	t	steamshower_testcue_enclosure_right	0.0	10	0	2.92	728.496	823.04	1.0	3.1431	765.5039999999999	938.5600000000001	1.0	0.0607	0.0302	0.9977	33.431	5.0379	-42.3187	0.0	4	1.0	1.0	1.0	0	0
1701721317462	t	steamshower_testcue_enclosure_right	0.0	10	0	3.1831	717.984	799.6800000000001	1.0	3.2784	751.8240000000001	913.7600000000001	1.0	0.0748	0.0783	0.9941	33.8154	5.3141	-42.6771	0.0	4	1.0	1.0	1.0	0	0
1701721317471	t	steamshower_testcue_enclosure_right	0.0	10	0	3.081	715.392	789.44	0.9086	3.3038	745.488	904.48	0.9453	0.0833	0.1034	0.9911	33.8395	5.0938	-41.6492	0.0	4	1.0	1.0	1.0	0	0
1701721317479	t	steamshower_testcue_enclosure_right	0.0	10	0	3.1213	716.544	792.3199999999999	0.9086	3.2279	751.248	910.2399999999999	0.9453	0.0747	0.0977	0.9924	33.8572	5.1173	-41.8141	0.0	4	1.0	1.0	1.0	0	0
1701721317487	t	steamshower_testcue_enclosure_right	0.0	10	0	3.1968	716.1120000000001	794.56	1.0	3.3321	752.8320000000001	910.72	1.0	0.0812	0.0977	0.9919	33.8343	5.0938	-41.8559	0.0	4	1.0	1.0	1.0	0	0
1701721317496	t	steamshower_testcue_enclosure_right	0.0	10	0	3.1081	720.288	793.6	1.0	3.1809	754.5600000000001	912.96	1.0	0.0675	0.1051	0.9922	33.8287	5.2125	-42.3867	0.0	4	1.0	1.0	1.0	0	0
1701721317504	t	steamshower_testcue_enclosure_right	0.0	10	0	3.1259	722.4480000000001	797.2800000000001	1.0	3.215	756.432	913.9200000000001	1.0	0.0618	0.0938	0.9937	33.7909	5.2748	-42.6609	0.0	4	1.0	1.0	1.0	0	0
1701721317512	t	steamshower_testcue_enclosure_right	0.0	10	0	3.1623	723.024	799.04	1.0	3.3431	760.176	913.28	1.0	0.0735	0.0982	0.9924	-26.5822	4.2302	-43.9243	0.0	4	1.0	1.0	1.0	0	0
