Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701894964224	t	supermarket_testcue_greenhouse_left	0.0	1	0	4.8693	916.1279999999999	632.3199999999999	1.0	5.1811	875.232	703.36	0.9869	-0.183	-0.2031	0.9619	-32.7222	5.4883	-30.5236	0.0	14	0.0	1.0	0.5	100	MYKEYWORD 100
1701894964233	t	supermarket_testcue_greenhouse_left	0.0	1	0	4.8241	917.1360000000001	630.5600000000001	1.0	5.1302	876.24	704.8	0.9869	-0.1862	-0.2101	0.9598	-32.6189	5.4939	-30.5202	0.0	14	0.0	1.0	0.5	0	0
1701894964241	t	supermarket_testcue_greenhouse_left	0.0	1	0	4.8781	915.696	631.8399999999999	1.0	5.1874	875.52	703.84	0.9903	-0.1805	-0.2093	0.961	-32.8291	5.5042	-30.52	0.0	14	0.0	1.0	0.5	0	0
1701894964250	t	supermarket_testcue_greenhouse_left	0.0	1	0	4.8862	913.9680000000001	631.04	1.0	5.1924	875.808	702.88	0.9903	-0.181	-0.21	0.9608	-33.1486	5.5178	-30.5237	0.0	14	0.0	1.0	0.5	0	0
1701894964258	t	supermarket_testcue_greenhouse_left	0.0	1	0	4.8976	915.1199999999999	630.72	1.0	5.1481	876.0960000000001	700.8	0.9944	-0.1821	-0.2049	0.9617	-33.2213	5.5313	-30.5221	0.0	14	0.0	1.0	0.5	0	0
1701894964266	t	supermarket_testcue_greenhouse_left	0.0	1	0	4.9	914.1120000000001	628.96	1.0	5.1793	876.528	699.36	0.9944	-0.1844	-0.2015	0.962	-33.2271	5.5422	-30.5204	0.0	14	0.0	1.0	0.5	0	0
1701894964275	t	supermarket_testcue_greenhouse_left	0.0	1	0	4.8705	913.536	627.0400000000001	1.0	5.147	876.384	696.64	0.9968	-0.1828	-0.1905	0.9645	-33.2386	5.5437	-30.5169	0.0	14	0.0	1.0	0.5	0	0
1701894964283	t	supermarket_testcue_greenhouse_left	0.0	1	0	4.9848	913.3919999999999	628.16	1.0	5.1582	876.672	697.2800000000001	0.9968	-0.1829	-0.1955	0.9635	-33.2158	5.5539	-30.5125	0.0	14	0.0	1.0	0.5	0	0
1701894964291	t	supermarket_testcue_greenhouse_left	0.0	1	0	4.9387	913.8240000000001	627.52	1.0	5.2091	877.8240000000001	698.24	0.9991	-0.1873	-0.203	0.9611	-33.1446	5.57	-30.5069	0.0	14	0.0	1.0	0.5	0	0
1701894964300	t	supermarket_testcue_greenhouse_left	0.0	1	0	4.9425	913.3919999999999	627.0400000000001	1.0	5.1938	875.808	696.16	0.9991	-0.1765	-0.1976	0.9642	-32.4803	5.5869	-30.4799	0.0	14	0.0	1.0	0.5	0	0
