Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701908266946	t	steamshower_testcue_enclosure_left	0.0	3	0	5.2753	730.224	733.12	0.9292	5.1076	817.776	867.52	0.941	0.1664	-0.3374	0.9266	5.8613	6.1695	-36.2205	0.0	15	1.0	1.0	1.0	100	MYKEYWORD 100
1701908266954	t	steamshower_testcue_enclosure_left	0.0	3	0	5.2651	730.3679999999999	734.5600000000001	0.9624	5.1031	818.3520000000001	866.56	0.9877	0.165	-0.3395	0.926	5.585	6.1701	-36.2417	0.0	15	1.0	1.0	1.0	0	0
1701908266962	t	steamshower_testcue_enclosure_left	0.0	3	0	5.2753	730.224	733.12	0.9629	5.1078	817.776	865.6	0.9878	0.166	-0.3365	0.9269	5.7715	6.1755	-36.2267	0.0	15	1.0	1.0	1.0	0	0
1701908266970	t	steamshower_testcue_enclosure_left	0.0	3	0	5.2927	729.792	732.3199999999999	0.9504	5.1048	817.92	865.1199999999999	0.9655	0.167	-0.3349	0.9273	6.3022	6.183	-36.1857	0.0	15	1.0	1.0	1.0	0	0
1701908266979	t	steamshower_testcue_enclosure_left	0.0	3	0	5.2749	730.224	732.3199999999999	0.9504	5.1078	817.776	864.48	0.9655	0.1664	-0.3349	0.9275	6.8	6.1901	-36.1473	0.0	15	1.0	1.0	1.0	0	0
1701908266987	t	steamshower_testcue_enclosure_left	0.0	3	0	5.2841	730.3679999999999	731.8399999999999	0.9656	5.1096	817.632	863.84	0.9742	0.1662	-0.3337	0.9279	7.2133	6.1955	-36.1155	0.0	15	1.0	1.0	1.0	0	0
1701908266995	t	steamshower_testcue_enclosure_left	0.0	3	0	5.2939	730.224	731.36	0.9656	5.1087	817.3439999999999	863.04	0.9742	0.1666	-0.3323	0.9283	7.2272	6.1967	-36.1146	0.0	15	1.0	1.0	1.0	0	0
1701908267004	t	steamshower_testcue_enclosure_left	0.0	3	0	5.2828	729.936	731.04	0.9676	5.0486	818.2080000000001	855.3599999999999	0.9579	0.1625	-0.325	0.9316	7.2122	6.2033	-36.1216	0.0	15	1.0	1.0	1.0	0	0
1701908267012	t	steamshower_testcue_enclosure_left	0.0	3	0	5.2907	729.648	730.5600000000001	0.9676	5.0462	817.2	856.9599999999999	0.9579	0.1624	-0.3259	0.9313	6.9262	6.2051	-36.1512	0.0	15	1.0	1.0	1.0	0	0
1701908267020	t	steamshower_testcue_enclosure_left	0.0	3	0	5.323	729.072	725.28	0.9652	5.0642	818.2080000000001	853.76	0.9669	0.162	-0.3174	0.9343	6.9307	6.2334	-36.1455	0.0	15	1.0	1.0	1.0	0	0
1701908267029	t	steamshower_testcue_enclosure_left	0.0	3	0	5.1753	728.928	724.48	0.9652	4.8748	815.472	853.92	0.9669	0.1654	-0.3178	0.9336	6.9423	6.2478	-36.1437	0.0	15	1.0	1.0	1.0	0	0
