Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701977673023	t	lighthouse_testcue_clocktower_right	0.0	31	0	5.2328	747.072	1082.56	1.0	5.3792	795.168	1185.76	1.0	0.0256	0.1197	0.9925	-1.8787	-5.3004	-27.6012	0.0	18	1.0	1.0	1.0	100	MYKEYWORD 100
1701977673031	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.9745	750.8159999999999	1080.32	1.0	4.902	798.192	1182.72	1.0	0.0231	0.1198	0.9925	-1.737	-5.2651	-27.6089	0.0	18	1.0	1.0	1.0	0	0
1701977673040	t	lighthouse_testcue_clocktower_right	0.0	31	0	5.0544	768.5279999999999	1072.64	1.0	4.7005	811.44	1174.8799999999999	1.0	-0.0146	0.1366	0.9905	-1.8525	-5.1998	-27.6379	0.0	18	1.0	1.0	1.0	0	0
1701977673048	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.9331	781.1999999999999	1060.32	1.0	4.7561	815.04	1162.56	1.0	-0.0226	0.1645	0.9861	2.7842	-4.9462	-27.7654	0.0	18	1.0	1.0	1.0	0	0
1701977673056	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.7997	790.992	1055.36	1.0	4.7875	824.544	1156.6399999999999	1.0	-0.0378	0.1687	0.9849	6.5487	-4.7395	-27.8582	0.0	18	1.0	1.0	1.0	0	0
1701977673065	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.7285	799.6320000000001	1048.32	1.0	4.802	827.1360000000001	1147.68	1.0	-0.0574	0.1825	0.9815	10.0637	-4.5439	-27.9557	0.0	18	1.0	1.0	1.0	0	0
1701977673073	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.8499	798.7679999999999	1044.96	1.0	4.7122	827.1360000000001	1144.0	1.0	-0.055	0.1905	0.9801	12.0617	-4.4483	-28.0123	0.0	18	1.0	1.0	1.0	0	0
1701977673081	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.8282	799.0559999999999	1046.4	1.0	4.4041	824.2560000000001	1148.0	1.0	-0.054	0.1823	0.9818	12.0408	-4.4586	-28.0017	0.0	18	1.0	1.0	1.0	0	0
1701977673090	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.8093	798.7679999999999	1047.04	1.0	4.5565	827.424	1144.48	1.0	-0.0575	0.1865	0.9808	11.2258	-4.4913	-27.9902	0.0	18	1.0	1.0	1.0	0	0
1701977673098	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.6713	796.464	1046.8799999999999	1.0	4.4607	828.864	1143.52	1.0	-0.0563	0.1887	0.9804	9.4411	-4.5577	-27.9525	0.0	18	1.0	1.0	1.0	0	0
1701977673106	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.7052	794.8800000000001	1047.36	1.0	4.3955	828.1439999999999	1143.2	1.0	-0.0524	0.1883	0.9807	6.3436	-4.6596	-27.8839	0.0	18	1.0	1.0	1.0	0	0
1701977673115	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.5381	795.456	1044.8	1.0	4.3104	827.568	1140.96	1.0	-0.0491	0.192	0.9801	2.8858	-4.7471	-27.8202	0.0	18	1.0	1.0	1.0	0	0
1701977673123	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.4598	793.44	1046.0800000000002	1.0	4.2914	827.712	1143.04	1.0	-0.0479	0.19	0.9806	1.0145	-4.8353	-27.7714	0.0	18	1.0	1.0	1.0	0	0
1701977673131	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.5801	793.44	1043.52	1.0	4.2873	827.9999999999999	1141.92	1.0	-0.0477	0.1962	0.9794	-0.3051	-4.8658	-27.7518	0.0	18	1.0	1.0	1.0	0	0
1701977673140	t	lighthouse_testcue_clocktower_right	0.0	31	0	4.5464	792.72	1043.2	1.0	4.2789	827.9999999999999	1142.08	1.0	-0.0449	0.1948	0.9798	-1.6913	-4.9035	-27.7234	0.0	18	1.0	1.0	1.0	0	0
